As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 27, 2019","3,537.68",108.77,--,"74,050,000.00"
"Mar 26, 2019","3,587.34",110.30,--,"73,950,000.00"
"Mar 25, 2019","3,524.59",108.37,--,"74,700,000.00"
"Mar 22, 2019","3,518.69",108.20,--,"74,950,000.00"
"Mar 21, 2019","3,640.15",111.93,--,"73,700,000.00"
"Mar 20, 2019","3,678.82",113.12,0.00,"74,950,000.00"
"Mar 19, 2019","3,704.45",113.91,--,"74,400,000.00"
"Mar 18, 2019","3,705.09",113.92,--,"72,800,000.00"
"Mar 15, 2019","3,713.26",114.18,--,"72,850,000.00"
"Mar 14, 2019","3,672.77",112.94,--,"73,300,000.00"
"Mar 13, 2019","3,685.74",113.34,--,"73,350,000.00"
"Mar 12, 2019","3,636.13",111.81,--,"73,450,000.00"
"Mar 11, 2019","3,608.55",110.97,--,"73,200,000.00"
"Mar 08, 2019","3,531.75",108.61,--,"73,000,000.00"
"Mar 07, 2019","3,549.96",109.17,--,"71,950,000.00"
"Mar 06, 2019","3,573.98",109.91,--,"73,050,000.00"
"Mar 05, 2019","3,689.89",113.47,--,"73,550,000.00"
"Mar 04, 2019","3,707.58",114.02,--,"72,900,000.00"
"Mar 01, 2019","3,744.18",115.14,--,"72,850,000.00"
"Feb 28, 2019","3,665.48",112.73,--,"73,000,000.00"
"Feb 27, 2019","3,713.88",114.22,--,"73,450,000.00"
"Feb 26, 2019","3,659.50",112.55,--,"73,550,000.00"
"Feb 25, 2019","3,674.42",113.00,--,"73,450,000.00"
"Feb 22, 2019","3,602.38",110.79,--,"73,500,000.00"
"Feb 21, 2019","3,546.82",109.09,--,"73,450,000.00"
"Feb 20, 2019","3,613.13",111.13,--,"73,550,000.00"
"Feb 19, 2019","3,621.52",111.38,--,"74,000,000.00"
"Feb 15, 2019","3,641.98",112.02,--,"74,100,000.00"
"Feb 14, 2019","3,581.73",110.17,--,"74,150,000.00"
"Feb 13, 2019","3,568.88",109.77,--,"74,100,000.00"
"Feb 12, 2019","3,559.12",109.47,--,"74,100,000.00"
"Feb 11, 2019","3,523.68",108.38,--,"74,100,000.00"
"Feb 08, 2019","3,505.61",107.83,--,"74,100,000.00"
"Feb 07, 2019","3,483.39",107.15,--,"74,200,000.00"
"Feb 06, 2019","3,572.40",109.89,--,"74,750,000.00"
"Feb 05, 2019","3,579.25",110.10,--,"74,750,000.00"
"Feb 04, 2019","3,584.00",110.25,--,"74,900,000.00"
"Feb 01, 2019","3,586.98",110.34,--,"74,600,000.00"
"Jan 31, 2019","3,568.22",109.77,--,"74,350,000.00"
"Jan 30, 2019","3,517.93",108.22,--,"74,400,000.00"
"Jan 29, 2019","3,492.28",107.43,--,"74,500,000.00"
"Jan 28, 2019","3,484.83",107.20,--,"74,550,000.00"
