As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Apr 03, 2019",497.50,58.42,--,"2,500,000.00"
"Apr 02, 2019",493.05,57.90,--,"2,500,000.00"
"Apr 01, 2019",490.23,57.57,--,"2,350,000.00"
"Mar 29, 2019",481.05,56.49,--,"2,350,000.00"
"Mar 28, 2019",476.49,55.96,--,"2,350,000.00"
"Mar 27, 2019",472.93,55.54,--,"2,300,000.00"
"Mar 26, 2019",473.55,55.62,--,"2,300,000.00"
"Mar 25, 2019",468.65,55.04,--,"2,300,000.00"
"Mar 22, 2019",470.14,55.22,--,"2,300,000.00"
"Mar 21, 2019",482.98,56.73,--,"2,350,000.00"
"Mar 20, 2019",472.60,55.51,0.04,"2,350,000.00"
"Mar 19, 2019",476.57,56.01,--,"2,350,000.00"
"Mar 18, 2019",478.81,56.28,--,"2,350,000.00"
"Mar 15, 2019",479.08,56.31,--,"2,350,000.00"
"Mar 14, 2019",475.31,55.87,--,"2,350,000.00"
"Mar 13, 2019",475.53,55.90,--,"2,350,000.00"
"Mar 12, 2019",472.23,55.51,--,"2,350,000.00"
"Mar 11, 2019",475.38,55.88,--,"2,300,000.00"
"Mar 08, 2019",465.73,54.75,--,"2,300,000.00"
"Mar 07, 2019",466.91,54.89,--,"2,150,000.00"
"Mar 06, 2019",472.53,55.55,--,"2,150,000.00"
"Mar 05, 2019",478.03,56.19,--,"1,850,000.00"
"Mar 04, 2019",484.89,57.00,--,"1,800,000.00"
"Mar 01, 2019",486.59,57.20,--,"1,800,000.00"
"Feb 28, 2019",485.87,57.12,--,"1,700,000.00"
"Feb 27, 2019",488.89,57.47,--,"1,700,000.00"
"Feb 26, 2019",487.67,57.33,--,"1,650,000.00"
"Feb 25, 2019",488.18,57.39,--,"1,550,000.00"
"Feb 22, 2019",486.30,57.17,--,"1,000,000.00"
"Feb 21, 2019",476.83,56.06,--,"1,000,000.00"
"Feb 20, 2019",479.03,56.32,--,"1,000,000.00"
"Feb 19, 2019",476.87,56.07,--,"1,000,000.00"
"Feb 15, 2019",472.86,55.60,--,"1,000,000.00"
"Feb 14, 2019",463.23,54.47,--,"1,000,000.00"
"Feb 13, 2019",459.06,53.98,--,"1,000,000.00"
"Feb 12, 2019",456.09,53.63,--,"1,000,000.00"
"Feb 11, 2019",452.48,53.21,--,"1,000,000.00"
"Feb 08, 2019",447.24,52.59,--,"1,000,000.00"
"Feb 07, 2019",435.01,51.16,--,"1,000,000.00"
"Feb 06, 2019",443.00,52.09,--,"1,000,000.00"
"Feb 05, 2019",437.71,51.47,--,"1,000,000.00"
"Feb 04, 2019",438.58,51.58,--,"1,000,000.00"
"Feb 01, 2019",436.28,51.31,--,"1,000,000.00"
"Jan 31, 2019",434.25,51.07,--,"1,000,000.00"
"Jan 30, 2019",427.80,50.31,--,"1,000,000.00"
"Jan 29, 2019",427.37,50.26,--,"1,000,000.00"
"Jan 28, 2019",430.78,50.66,--,"1,000,000.00"
"Jan 25, 2019",432.95,50.92,--,"1,000,000.00"
"Jan 24, 2019",428.39,50.38,--,"1,000,000.00"
"Jan 23, 2019",423.78,49.84,--,"1,000,000.00"
"Jan 22, 2019",421.20,49.54,--,"1,000,000.00"
"Jan 18, 2019",428.95,50.45,--,"1,000,000.00"
"Jan 17, 2019",423.46,49.81,--,"1,000,000.00"
"Jan 16, 2019",423.30,49.79,--,"1,000,000.00"
"Jan 15, 2019",423.81,49.85,--,"1,000,000.00"
"Jan 14, 2019",418.73,49.25,--,"1,000,000.00"
"Jan 11, 2019",422.45,49.69,--,"1,000,000.00"
"Jan 10, 2019",422.19,49.66,--,"1,000,000.00"
"Jan 09, 2019",418.69,49.25,--,"1,000,000.00"
"Jan 08, 2019",417.06,49.06,--,"1,000,000.00"
"Jan 07, 2019",410.78,48.32,--,"1,000,000.00"
"Jan 04, 2019",403.90,47.52,--,"1,000,000.00"
"Jan 03, 2019",390.29,45.92,--,"1,000,000.00"
"Jan 02, 2019",403.34,47.46,--,"1,050,000.00"
"Dec 31, 2018",402.83,47.40,--,"1,050,000.00"
"Dec 28, 2018",398.04,46.84,--,"1,050,000.00"
"Dec 27, 2018",395.63,46.56,--,"1,050,000.00"
"Dec 26, 2018",391.98,46.13,--,"1,050,000.00"
"Dec 24, 2018",374.79,44.11,--,"1,050,000.00"
"Dec 21, 2018",383.71,45.16,--,"1,050,000.00"
"Dec 20, 2018",396.57,46.67,--,"1,050,000.00"
"Dec 19, 2018",402.26,47.34,--,"1,050,000.00"
"Dec 18, 2018",408.25,48.04,--,"1,050,000.00"
"Dec 17, 2018",408.95,48.13,0.04,"1,000,000.00"
"Dec 14, 2018",419.99,49.46,--,"1,000,000.00"
"Dec 13, 2018",428.27,50.44,--,"1,000,000.00"
"Dec 12, 2018",431.68,50.84,--,"1,000,000.00"
"Dec 11, 2018",425.68,50.13,--,"1,000,000.00"
"Dec 10, 2018",424.29,49.96,--,"1,000,000.00"
"Dec 07, 2018",419.47,49.41,--,"1,000,000.00"
"Dec 06, 2018",433.26,51.03,--,"1,000,000.00"
"Dec 04, 2018",428.20,50.43,--,"1,050,000.00"
"Dec 03, 2018",443.07,52.18,--,"1,050,000.00"
"Nov 30, 2018",434.66,51.20,--,"1,050,000.00"
