As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
3-Apr-19,"1,713.14",198.95,--,5900000.00
2-Apr-19,"1,675.04",194.53,--,5900000.00
1-Apr-19,"1,673.31",194.33,--,5600000.00
29-Mar-19,"1,632.67",189.62,--,5450000.00
28-Mar-19,"1,607.27",186.67,--,5450000.00
27-Mar-19,"1,610.36",187.03,--,5200000.00
26-Mar-19,"1,633.96",189.77,--,5800000.00
25-Mar-19,"1,617.58",187.87,--,6100000.00
22-Mar-19,"1,638.19",190.27,--,6350000.00
21-Mar-19,"1,686.69",195.89,--,6350000.00
20-Mar-19,"1,629.58",189.28,0.52,6200000.00
19-Mar-19,"1,645.14",191.61,--,6200000.00
18-Mar-19,"1,623.03",189.04,--,6200000.00
15-Mar-19,"1,627.21",189.54,--,6400000.00
14-Mar-19,"1,581.12",184.18,--,6450000.00
13-Mar-19,"1,590.12",185.23,--,6450000.00
12-Mar-19,"1,583.53",184.47,--,6350000.00
11-Mar-19,"1,577.40",183.76,--,6350000.00
8-Mar-19,"1,540.39",179.47,--,6300000.00
7-Mar-19,"1,541.42",179.59,--,6500000.00
6-Mar-19,"1,558.64",181.59,--,6550000.00
5-Mar-19,"1,584.33",184.58,--,6600000.00
4-Mar-19,"1,591.75",185.44,--,6250000.00
1-Mar-19,"1,591.61",185.43,--,6100000.00
28-Feb-19,"1,576.51",183.68,--,6100000.00
27-Feb-19,"1,575.66",183.58,--,6400000.00
26-Feb-19,"1,594.80",185.81,--,6350000.00
25-Feb-19,"1,605.74",187.08,--,6350000.00
22-Feb-19,"1,592.51",185.55,--,6350000.00
21-Feb-19,"1,575.53",183.58,--,6350000.00
20-Feb-19,"1,587.18",184.94,--,6350000.00
19-Feb-19,"1,572.86",183.27,--,6350000.00
15-Feb-19,"1,576.01",183.65,--,6650000.00
14-Feb-19,"1,567.76",182.69,--,6750000.00
13-Feb-19,"1,563.44",182.19,--,6700000.00
12-Feb-19,"1,558.78",181.64,--,6600000.00
11-Feb-19,"1,526.33",177.86,--,6550000.00
8-Feb-19,"1,518.79",176.99,--,6550000.00
7-Feb-19,"1,520.53",177.2,--,6600000.00
6-Feb-19,"1,555.33",181.25,--,6600000.00
5-Feb-19,"1,515.39",176.6,--,6650000.00
4-Feb-19,"1,507.87",175.73,--,6750000.00
1-Feb-19,"1,500.32",174.85,--,6750000.00
31-Jan-19,"1,482.48",172.78,--,6750000.00
30-Jan-19,"1,482.09",172.74,--,6350000.00
29-Jan-19,"1,439.83",167.81,--,6450000.00
28-Jan-19,"1,460.95",170.28,--,6400000.00
25-Jan-19,"1,492.11",173.91,--,6350000.00
24-Jan-19,"1,460.38",170.22,--,6200000.00
23-Jan-19,"1,381.22",161,--,6400000.00
22-Jan-19,"1,389.85",162,--,6750000.00
18-Jan-19,"1,430.58",166.76,--,6800000.00
17-Jan-19,"1,398.46",163.02,--,6850000.00
16-Jan-19,"1,382.66",161.18,--,6850000.00
15-Jan-19,"1,394.12",162.52,--,6700000.00
14-Jan-19,"1,390.92",162.15,--,7000000.00
11-Jan-19,"1,412.78",164.7,--,7000000.00
10-Jan-19,"1,399.21",163.12,--,7300000.00
9-Jan-19,"1,385.75",161.56,--,7400000.00
8-Jan-19,"1,351.63",157.59,--,7250000.00
7-Jan-19,"1,358.27",158.36,--,7050000.00
4-Jan-19,"1,332.32",155.35,--,6750000.00
3-Jan-19,"1,276.49",148.85,--,6700000.00
2-Jan-19,"1,357.17",158.24,--,6850000.00
31-Dec-18,"1,345.38",156.88,--,6700000.00
28-Dec-18,"1,336.29",155.82,--,6700000.00
27-Dec-18,"1,327.07",154.75,--,7300000.00
26-Dec-18,"1,317.31",153.62,--,7400000.00
24-Dec-18,"1,245.33",145.25,--,6950000.00
21-Dec-18,"1,282.37",149.56,--,7050000.00
20-Dec-18,"1,301.52",151.79,--,7000000.00
19-Dec-18,"1,312.81",153.1,--,7050000.00
18-Dec-18,"1,370.94",159.86,--,7100000.00
17-Dec-18,"1,352.01",157.66,0.34,7100000.00
14-Dec-18,"1,369.58",160.05,--,7100000.00
13-Dec-18,"1,389.38",162.36,--,7100000.00
12-Dec-18,"1,394.21",162.93,--,6950000.00
11-Dec-18,"1,373.95",160.57,--,7600000.00
10-Dec-18,"1,365.47",159.59,--,7600000.00
7-Dec-18,"1,346.49",157.38,--,8450000.00
6-Dec-18,"1,398.78",163.48,--,7750000.00
4-Dec-18,"1,405.37",164.25,--,7600000.00
3-Dec-18,"1,478.60",172.79,--,7650000.00
30-Nov-18,"1,440.10",168.3,--,7650000.00
29-Nov-18,"1,418.99",165.85,--,7650000.00
28-Nov-18,"1,430.55",167.19,--,7850000.00
27-Nov-18,"1,398.09",163.41,--,7950000.00
26-Nov-18,"1,395.31",163.09,--,7850000.00
23-Nov-18,"1,369.02",160.03,--,7850000.00
21-Nov-18,"1,369.56",160.1,--,7550000.00
20-Nov-18,"1,363.55",159.4,--,7700000.00
19-Nov-18,"1,361.21",159.13,--,7400000.00
16-Nov-18,"1,415.91",165.51,--,7600000.00
15-Nov-18,"1,432.70",167.48,--,7800000.00
14-Nov-18,"1,386.07",162.01,--,7200000.00
13-Nov-18,"1,381.04",161.43,--,7500000.00
12-Nov-18,"1,362.61",159.28,--,7700000.00
9-Nov-18,"1,425.92",166.67,--,7850000.00
8-Nov-18,"1,452.55",169.78,--,7800000.00
7-Nov-18,"1,458.63",170.49,--,7750000.00
6-Nov-18,"1,441.41",168.49,--,7700000.00
5-Nov-18,"1,424.34",166.49,--,7600000.00
2-Nov-18,"1,436.58",167.93,--,8000000.00
1-Nov-18,"1,458.51",170.49,--,7950000.00
31-Oct-18,"1,393.85",162.95,--,7800000.00
30-Oct-18,"1,376.77",160.95,--,7800000.00
29-Oct-18,"1,320.92",154.43,--,7350000.00
26-Oct-18,"1,335.81",156.17,--,5800000.00
25-Oct-18,"1,359.22",158.91,--,8700000.00
24-Oct-18,"1,328.17",155.29,--,8450000.00
23-Oct-18,"1,422.24",166.28,--,8350000.00
22-Oct-18,"1,429.87",167.17,--,8200000.00
19-Oct-18,"1,420.31",166.06,--,8400000.00
18-Oct-18,"1,442.74",168.69,--,8550000.00
17-Oct-18,"1,479.83",173.02,--,8650000.00
16-Oct-18,"1,486.36",173.79,--,8650000.00
15-Oct-18,"1,438.71",168.22,--,8250000.00
12-Oct-18,"1,452.33",169.82,--,8050000.00
11-Oct-18,"1,424.28",166.54,--,7950000.00
10-Oct-18,"1,439.04",168.27,--,8650000.00
9-Oct-18,"1,506.29",176.13,--,8650000.00
8-Oct-18,"1,507.27",176.25,--,8750000.00
5-Oct-18,"1,524.47",178.26,--,8800000.00
4-Oct-18,"1,560.75",182.5,--,8800000.00
3-Oct-18,"1,590.00",185.92,--,8850000.00
2-Oct-18,"1,588.22",185.72,--,8600000.00
1-Oct-18,"1,587.72",185.66,--,8850000.00
28-Sep-18,"1,583.33",185.16,--,8800000.00
27-Sep-18,"1,573.05",183.96,--,8600000.00
26-Sep-18,"1,566.04",183.14,0.82,8500000.00
25-Sep-18,"1,580.96",185.71,--,8500000.00
24-Sep-18,"1,608.34",188.92,--,8500000.00
21-Sep-18,"1,601.99",188.18,--,8550000.00
20-Sep-18,"1,607.31",188.81,--,8450000.00
19-Sep-18,"1,588.79",186.64,--,8450000.00
18-Sep-18,"1,585.52",186.26,--,8400000.00
17-Sep-18,"1,571.46",184.62,--,8550000.00
14-Sep-18,"1,594.41",187.31,--,8750000.00
13-Sep-18,"1,576.93",185.27,--,8750000.00
12-Sep-18,"1,558.20",183.07,--,9000000.00
11-Sep-18,"1,576.56",185.23,--,9000000.00
10-Sep-18,"1,592.25",187.07,--,8550000.00
7-Sep-18,"1,574.92",185.04,--,9950000.00
6-Sep-18,"1,581.37",185.8,--,9900000.00
5-Sep-18,"1,624.75",190.89,--,10650000.00
4-Sep-18,"1,632.97",191.85,--,10650000.00
31-Aug-18,"1,620.32",190.38,--,10650000.00
30-Aug-18,"1,611.02",189.29,--,10650000.00
29-Aug-18,"1,625.99",191.05,--,9100000.00
28-Aug-18,"1,621.53",190.53,--,9100000.00
27-Aug-18,"1,615.18",189.78,--,9100000.00
24-Aug-18,"1,590.25",186.87,--,9150000.00
23-Aug-18,"1,567.39",184.19,--,9050000.00
22-Aug-18,"1,565.53",183.97,--,9150000.00
21-Aug-18,"1,558.06",183.1,--,8800000.00
20-Aug-18,"1,527.81",179.55,--,8900000.00
17-Aug-18,"1,529.09",179.71,--,9100000.00
16-Aug-18,"1,540.27",181.02,--,9250000.00
15-Aug-18,"1,542.31",181.26,--,9350000.00
14-Aug-18,"1,564.64",183.89,--,9350000.00
13-Aug-18,"1,567.23",184.19,--,10050000.00
10-Aug-18,"1,564.97",183.93,--,10100000.00
9-Aug-18,"1,604.55",188.58,--,10100000.00
8-Aug-18,"1,621.54",190.58,--,10800000.00
