As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
3-Apr-19,105.26,36.61,--,396700000.00
2-Apr-19,105.11,36.56,--,395250000.00
1-Apr-19,105,36.53,0.18,394050000.00
29-Mar-19,104.32,36.47,--,392150000.00
28-Mar-19,103.99,36.33,--,391850000.00
27-Mar-19,103.97,36.33,--,391850000.00
26-Mar-19,104.05,36.38,--,391850000.00
25-Mar-19,103.95,36.35,--,391850000.00
22-Mar-19,104.13,36.41,--,391850000.00
21-Mar-19,104.33,36.47,--,391550000.00
20-Mar-19,104.14,36.41,--,391400000.00
19-Mar-19,104.19,36.43,--,391400000.00
18-Mar-19,104.49,36.53,--,391100000.00
15-Mar-19,104.54,36.55,--,390500000.00
14-Mar-19,104.44,36.51,--,390000000.00
13-Mar-19,104.34,36.47,--,389650000.00
12-Mar-19,104.06,36.38,--,389300000.00
11-Mar-19,103.87,36.32,--,389000000.00
8-Mar-19,103.82,36.3,--,389000000.00
7-Mar-19,103.75,36.28,--,389700000.00
6-Mar-19,104.1,36.41,--,389700000.00
5-Mar-19,104.07,36.4,--,389700000.00
4-Mar-19,103.72,36.28,--,389700000.00
1-Mar-19,103.83,36.31,0.18,389350000.00
28-Feb-19,103.08,36.23,--,389350000.00
27-Feb-19,103.11,36.23,--,389500000.00
26-Feb-19,103.01,36.21,--,390200000.00
25-Feb-19,103.04,36.23,--,390200000.00
22-Feb-19,103.02,36.21,--,390200000.00
21-Feb-19,102.92,36.18,--,390800000.00
20-Feb-19,103.01,36.21,--,391000000.00
19-Feb-19,102.96,36.2,--,391000000.00
15-Feb-19,102.79,36.13,--,391000000.00
14-Feb-19,102.44,36.02,--,391400000.00
13-Feb-19,102.41,36.01,--,391400000.00
12-Feb-19,102.05,35.89,--,391550000.00
11-Feb-19,101.66,35.75,--,391950000.00
8-Feb-19,101.42,35.66,--,392200000.00
7-Feb-19,101.36,35.64,--,393550000.00
6-Feb-19,101.62,35.75,--,393950000.00
5-Feb-19,101.93,35.88,--,393650000.00
4-Feb-19,101.8,35.84,--,393450000.00
1-Feb-19,101.72,35.81,0.17,393350000.00
31-Jan-19,101.68,35.92,--,390400000.00
30-Jan-19,101.88,36,--,387900000.00
29-Jan-19,101.26,35.77,--,387250000.00
28-Jan-19,101.27,35.78,--,387250000.00
25-Jan-19,101.18,35.75,--,386200000.00
24-Jan-19,100.78,35.62,--,386000000.00
23-Jan-19,100.36,35.49,--,386000000.00
22-Jan-19,100.35,35.49,--,386300000.00
18-Jan-19,100.77,35.68,--,386300000.00
17-Jan-19,100.08,35.44,--,386300000.00
16-Jan-19,99.76,35.34,--,386400000.00
15-Jan-19,99.95,35.4,--,386850000.00
14-Jan-19,99.81,35.35,--,386850000.00
