As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
27-Mar-19,"8,888.42",155.57,--,122800000.00
26-Mar-19,"8,929.90",156.29,--,122650000.00
25-Mar-19,"8,864.59",155.15,--,122350000.00
22-Mar-19,"8,872.31",155.29,--,122350000.00
21-Mar-19,"9,049.92",158.4,--,121550000.00
20-Mar-19,"8,948.39",156.62,0.63,121650000.00
19-Mar-19,"8,977.03",157.75,--,122150000.00
18-Mar-19,"8,980.87",157.81,--,122100000.00
15-Mar-19,"8,946.40",157.21,--,123400000.00
14-Mar-19,"8,904.49",156.47,--,123400000.00
13-Mar-19,"8,909.67",156.56,--,123250000.00
12-Mar-19,"8,849.42",155.5,--,123250000.00
11-Mar-19,"8,822.89",155.04,--,123250000.00
8-Mar-19,"8,694.97",152.79,--,123400000.00
7-Mar-19,"8,712.85",153.11,--,123400000.00
6-Mar-19,"8,780.63",154.3,--,123400000.00
5-Mar-19,"8,842.32",155.38,--,123400000.00
4-Mar-19,"8,853.34",155.58,--,123400000.00
1-Mar-19,"8,892.14",156.26,--,123400000.00
28-Feb-19,"8,832.12",155.2,--,123400000.00
27-Feb-19,"8,855.74",155.62,--,123400000.00
26-Feb-19,"8,853.47",155.58,--,123200000.00
25-Feb-19,"8,863.98",155.77,--,123050000.00
22-Feb-19,"8,851.27",155.55,--,123050000.00
21-Feb-19,"8,792.12",154.5,--,123050000.00
20-Feb-19,"8,822.69",155.04,--,122400000.00
19-Feb-19,"8,807.00",154.77,--,122400000.00
15-Feb-19,"8,793.33",154.53,--,122400000.00
14-Feb-19,"8,699.68",152.88,--,122400000.00
13-Feb-19,"8,718.11",153.21,--,122400000.00
12-Feb-19,"8,691.82",152.75,--,122950000.00
11-Feb-19,"8,581.49",150.81,--,123050000.00
8-Feb-19,"8,572.14",150.65,--,123450000.00
7-Feb-19,"8,563.05",150.49,--,123450000.00
6-Feb-19,"8,638.97",151.82,--,123600000.00
5-Feb-19,"8,657.55",152.15,--,123600000.00
4-Feb-19,"8,616.62",151.43,--,123600000.00
1-Feb-19,"8,557.34",150.39,--,124850000.00
31-Jan-19,"8,542.87",150.14,--,125300000.00
30-Jan-19,"8,468.86",148.84,--,125300000.00
29-Jan-19,"8,340.25",146.58,--,126050000.00
28-Jan-19,"8,352.05",146.78,--,126250000.00
25-Jan-19,"8,413.41",147.86,--,126250000.00
24-Jan-19,"8,338.08",146.54,--,126500000.00
23-Jan-19,"8,320.52",146.23,--,126500000.00
22-Jan-19,"8,305.12",145.96,--,127300000.00
18-Jan-19,"8,424.52",148.06,--,127700000.00
17-Jan-19,"8,315.68",146.15,--,127700000.00
16-Jan-19,"8,251.38",145.02,--,128750000.00
15-Jan-19,"8,228.97",144.63,--,128750000.00
14-Jan-19,"8,143.41",143.13,--,128850000.00
11-Jan-19,"8,187.20",143.9,--,128850000.00
10-Jan-19,"8,187.80",143.91,--,128850000.00
9-Jan-19,"8,149.16",143.23,--,129000000.00
8-Jan-19,"8,109.15",142.53,--,129000000.00
7-Jan-19,"8,027.26",141.09,--,129200000.00
4-Jan-19,"7,964.44",139.99,--,129200000.00
3-Jan-19,"7,699.77",135.34,--,129200000.00
2-Jan-19,"7,887.85",138.64,--,129350000.00
31-Dec-18,"7,882.31",138.54,--,127050000.00
28-Dec-18,"7,813.32",137.33,--,126400000.00
27-Dec-18,"7,819.65",137.44,--,124850000.00
26-Dec-18,"7,754.61",136.3,--,122350000.00
24-Dec-18,"7,387.53",129.85,--,122000000.00
21-Dec-18,"7,591.50",133.41,--,121450000.00
20-Dec-18,"7,752.14",136.23,--,120000000.00
19-Dec-18,"7,877.65",138.44,--,119800000.00
18-Dec-18,"8,000.07",140.59,--,118300000.00
17-Dec-18,"7,998.59",140.57,0.81,118100000.00
14-Dec-18,"8,172.14",144.45,--,117800000.00
13-Dec-18,"8,324.95",147.15,--,117050000.00
12-Dec-18,"8,332.21",147.28,--,116450000.00
11-Dec-18,"8,285.83",146.46,--,116800000.00
