As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 27, 2019","1,469.66",149.31,--,"282,350,000.00"
"Mar 26, 2019","1,477.36",150.10,--,"282,350,000.00"
"Mar 25, 2019","1,470.03",149.35,--,"282,350,000.00"
"Mar 22, 2019","1,469.93",149.35,--,"283,400,000.00"
"Mar 21, 2019","1,502.17",152.62,--,"283,250,000.00"
"Mar 20, 2019","1,481.36",150.51,0.43,"283,300,000.00"
"Mar 19, 2019","1,480.26",150.83,--,"283,200,000.00"
"Mar 18, 2019","1,477.65",150.56,--,"283,200,000.00"
"Mar 15, 2019","1,472.43",150.03,--,"283,100,000.00"
"Mar 14, 2019","1,464.92",149.27,--,"283,000,000.00"
"Mar 13, 2019","1,465.99",149.37,--,"283,400,000.00"
"Mar 12, 2019","1,455.95",148.35,--,"283,550,000.00"
"Mar 11, 2019","1,451.16",147.86,--,"283,250,000.00"
"Mar 08, 2019","1,426.84",145.39,--,"284,100,000.00"
"Mar 07, 2019","1,428.93",145.60,--,"284,400,000.00"
"Mar 06, 2019","1,442.88",147.02,--,"284,350,000.00"
"Mar 05, 2019","1,452.15",147.97,--,"284,750,000.00"
"Mar 04, 2019","1,452.93",148.04,--,"284,750,000.00"
"Mar 01, 2019","1,460.11",148.78,--,"284,750,000.00"
"Feb 28, 2019","1,448.37",147.58,--,"284,750,000.00"
"Feb 27, 2019","1,452.34",147.99,--,"284,750,000.00"
"Feb 26, 2019","1,451.97",147.95,--,"284,300,000.00"
"Feb 25, 2019","1,452.30",147.99,--,"284,300,000.00"
"Feb 22, 2019","1,450.25",147.78,--,"284,300,000.00"
"Feb 21, 2019","1,436.58",146.39,--,"284,300,000.00"
"Feb 20, 2019","1,442.25",146.97,--,"284,400,000.00"
"Feb 19, 2019","1,441.51",146.89,--,"284,400,000.00"
"Feb 15, 2019","1,440.95",146.84,--,"284,400,000.00"
"Feb 14, 2019","1,430.24",145.74,--,"284,400,000.00"
"Feb 13, 2019","1,432.00",145.92,--,"284,400,000.00"
"Feb 12, 2019","1,428.13",145.53,--,"284,550,000.00"
"Feb 11, 2019","1,408.33",143.51,--,"284,400,000.00"
"Feb 08, 2019","1,407.75",143.46,--,"284,400,000.00"
"Feb 07, 2019","1,404.86",143.16,--,"284,400,000.00"
"Feb 06, 2019","1,419.00",144.60,--,"285,050,000.00"
"Feb 05, 2019","1,423.60",145.07,--,"284,450,000.00"
"Feb 04, 2019","1,412.92",143.99,--,"284,450,000.00"
"Feb 01, 2019","1,397.63",142.43,--,"284,800,000.00"
"Jan 31, 2019","1,398.34",142.50,--,"286,100,000.00"
"Jan 30, 2019","1,382.83",140.93,--,"286,300,000.00"
"Jan 29, 2019","1,352.59",137.85,--,"286,450,000.00"
"Jan 28, 2019","1,359.25",138.52,--,"289,050,000.00"
"Jan 25, 2019","1,374.03",140.03,--,"289,050,000.00"
"Jan 24, 2019","1,357.38",138.34,--,"288,850,000.00"
"Jan 23, 2019","1,352.78",137.87,--,"288,900,000.00"
"Jan 22, 2019","1,351.09",137.70,--,"290,100,000.00"
"Jan 18, 2019","1,373.81",140.01,--,"290,650,000.00"
"Jan 17, 2019","1,356.00",138.20,--,"291,000,000.00"
"Jan 16, 2019","1,345.22",137.10,--,"291,100,000.00"
"Jan 15, 2019","1,343.71",136.95,--,"291,550,000.00"
"Jan 14, 2019","1,324.28",134.97,--,"293,200,000.00"
"Jan 11, 2019","1,333.94",135.96,--,"295,200,000.00"
"Jan 10, 2019","1,336.98",136.27,--,"295,300,000.00"
"Jan 09, 2019","1,330.12",135.57,--,"295,400,000.00"
"Jan 08, 2019","1,322.18",134.76,--,"294,800,000.00"
"Jan 07, 2019","1,306.35",133.15,--,"295,550,000.00"
"Jan 04, 2019","1,292.74",131.76,--,"295,800,000.00"
"Jan 03, 2019","1,243.56",126.75,--,"295,800,000.00"
"Jan 02, 2019","1,283.16",130.79,--,"295,800,000.00"
"Dec 31, 2018","1,283.01",130.78,--,"295,100,000.00"
"Dec 28, 2018","1,270.70",129.52,0.02,"294,800,000.00"
"Dec 27, 2018","1,272.16",129.70,--,"292,850,000.00"
"Dec 26, 2018","1,261.97",128.66,--,"292,400,000.00"
"Dec 24, 2018","1,193.64",121.70,--,"292,400,000.00"
"Dec 21, 2018","1,223.26",124.72,--,"292,700,000.00"
"Dec 20, 2018","1,256.44",128.10,--,"292,100,000.00"
"Dec 19, 2018","1,278.94",130.39,--,"292,050,000.00"
"Dec 18, 2018","1,302.76",132.82,--,"292,450,000.00"
"Dec 17, 2018","1,295.79",132.11,0.37,"292,450,000.00"
"Dec 14, 2018","1,326.94",135.67,--,"291,800,000.00"
"Dec 13, 2018","1,356.45",138.68,--,"291,150,000.00"
"Dec 12, 2018","1,358.01",138.85,--,"290,500,000.00"
