As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
27-Mar-19,"1,579.67",122.46,--,306600000.00
26-Mar-19,"1,586.12",122.96,--,306550000.00
25-Mar-19,"1,570.72",121.77,--,306550000.00
22-Mar-19,"1,573.59",122,--,306400000.00
21-Mar-19,"1,602.01",124.2,--,306100000.00
20-Mar-19,"1,588.38",123.13,0.67,306100000.00
19-Mar-19,"1,599.85",124.69,--,306650000.00
18-Mar-19,"1,604.08",125.02,--,306900000.00
15-Mar-19,"1,597.43",124.51,--,306600000.00
14-Mar-19,"1,590.61",123.98,--,306650000.00
13-Mar-19,"1,591.29",124.03,--,306850000.00
12-Mar-19,"1,580.67",123.2,--,307000000.00
11-Mar-19,"1,576.39",122.87,--,307000000.00
8-Mar-19,"1,557.12",121.37,--,308000000.00
7-Mar-19,"1,561.24",121.69,--,308000000.00
6-Mar-19,"1,570.30",122.39,--,308150000.00
5-Mar-19,"1,582.28",123.33,--,308300000.00
4-Mar-19,"1,585.37",123.57,--,308300000.00
1-Mar-19,"1,591.43",124.05,--,308500000.00
28-Feb-19,"1,582.75",123.37,--,308550000.00
27-Feb-19,"1,586.87",123.69,--,308150000.00
26-Feb-19,"1,586.46",123.66,--,308150000.00
25-Feb-19,"1,589.87",123.93,--,308500000.00
22-Feb-19,"1,587.55",123.75,--,309350000.00
21-Feb-19,"1,581.28",123.26,--,309500000.00
20-Feb-19,"1,586.05",123.63,--,310550000.00
19-Feb-19,"1,581.23",123.25,--,310550000.00
15-Feb-19,"1,576.95",122.92,--,310450000.00
14-Feb-19,"1,555.11",121.22,--,310450000.00
13-Feb-19,"1,559.79",121.59,--,311200000.00
12-Feb-19,"1,554.59",121.18,--,311800000.00
11-Feb-19,"1,536.68",119.79,--,311800000.00
8-Feb-19,"1,533.96",119.58,--,311800000.00
7-Feb-19,"1,533.86",119.57,--,311800000.00
6-Feb-19,"1,545.62",120.49,--,312850000.00
5-Feb-19,"1,547.26",120.62,--,313300000.00
4-Feb-19,"1,544.25",120.38,--,313550000.00
1-Feb-19,"1,539.69",120.02,--,314200000.00
31-Jan-19,"1,533.75",119.56,--,316500000.00
30-Jan-19,"1,524.14",118.82,--,316700000.00
29-Jan-19,"1,511.06",117.79,--,317700000.00
28-Jan-19,"1,508.03",117.56,--,321800000.00
25-Jan-19,"1,513.89",118.02,--,322300000.00
24-Jan-19,"1,505.07",117.33,--,324200000.00
23-Jan-19,"1,503.79",117.23,--,322400000.00
22-Jan-19,"1,500.12",116.95,--,326150000.00
18-Jan-19,"1,518.10",118.35,--,327500000.00
17-Jan-19,"1,498.56",116.83,--,327850000.00
16-Jan-19,"1,487.28",115.95,--,328300000.00
15-Jan-19,"1,480.92",115.45,--,329400000.00
14-Jan-19,"1,471.46",114.72,--,332400000.00
11-Jan-19,"1,476.61",115.12,--,335600000.00
10-Jan-19,"1,473.52",114.88,--,335850000.00
9-Jan-19,"1,467.16",114.38,--,336250000.00
8-Jan-19,"1,461.49",113.94,--,336850000.00
7-Jan-19,"1,449.43",113,--,339000000.00
4-Jan-19,"1,441.76",112.4,--,339600000.00
3-Jan-19,"1,400.62",109.19,--,339600000.00
2-Jan-19,"1,424.81",111.08,--,339200000.00
31-Dec-18,"1,422.99",110.94,--,339000000.00
28-Dec-18,"1,411.71",110.06,--,337950000.00
27-Dec-18,"1,412.39",110.11,--,336700000.00
26-Dec-18,"1,400.21",109.16,--,335000000.00
24-Dec-18,"1,343.26",104.72,--,334550000.00
21-Dec-18,"1,383.97",107.86,--,333900000.00
20-Dec-18,"1,405.36",109.53,--,333100000.00
19-Dec-18,"1,425.79",111.12,--,332600000.00
18-Dec-18,"1,443.68",112.52,--,331300000.00
17-Dec-18,"1,450.69",113.06,0.83,331150000.00
14-Dec-18,"1,478.88",116.11,--,329750000.00
13-Dec-18,"1,501.47",117.88,--,327450000.00
12-Dec-18,"1,502.37",117.95,--,325650000.00
11-Dec-18,"1,497.46",117.57,--,322600000.00
10-Dec-18,"1,500.75",117.83,--,322200000.00
7-Dec-18,"1,506.73",118.3,--,320600000.00
6-Dec-18,"1,533.66",120.41,--,320050000.00
4-Dec-18,"1,540.93",120.98,--,319400000.00
3-Dec-18,"1,586.28",124.55,--,317200000.00
30-Nov-18,"1,574.15",123.59,--,316350000.00
29-Nov-18,"1,563.12",122.73,--,316350000.00
28-Nov-18,"1,565.36",122.91,--,314150000.00
27-Nov-18,"1,541.57",121.04,--,312950000.00
26-Nov-18,"1,537.91",120.75,--,312800000.00
23-Nov-18,"1,518.88",119.26,--,312350000.00
21-Nov-18,"1,527.78",119.96,--,312150000.00
20-Nov-18,"1,524.06",119.67,--,311600000.00
19-Nov-18,"1,552.39",121.89,--,310600000.00
16-Nov-18,"1,561.40",122.6,--,310050000.00
15-Nov-18,"1,553.45",121.98,--,309300000.00
14-Nov-18,"1,538.58",120.81,--,309050000.00
13-Nov-18,"1,548.58",121.6,--,308400000.00
12-Nov-18,"1,550.82",121.78,--,308400000.00
9-Nov-18,"1,573.35",123.55,--,308000000.00
8-Nov-18,"1,582.90",124.3,--,307650000.00
7-Nov-18,"1,585.25",124.49,--,305650000.00
6-Nov-18,"1,562.94",122.73,--,305400000.00
5-Nov-18,"1,554.13",122.04,--,305500000.00
2-Nov-18,"1,538.26",120.8,--,304750000.00
1-Nov-18,"1,542.69",121.15,--,304800000.00
31-Oct-18,"1,528.51",120.03,--,303600000.00
30-Oct-18,"1,520.93",119.44,--,302800000.00
29-Oct-18,"1,496.27",117.5,--,302150000.00
26-Oct-18,"1,493.54",117.29,--,299850000.00
25-Oct-18,"1,513.73",118.87,--,299300000.00
24-Oct-18,"1,495.59",117.45,--,298550000.00
23-Oct-18,"1,533.13",120.4,--,298550000.00
22-Oct-18,"1,541.71",121.08,--,298550000.00
19-Oct-18,"1,555.74",122.18,--,298300000.00
18-Oct-18,"1,554.07",122.05,--,298250000.00
17-Oct-18,"1,569.41",123.26,--,298250000.00
16-Oct-18,"1,566.45",123.03,--,298250000.00
15-Oct-18,"1,541.06",121.03,--,298500000.00
12-Oct-18,"1,544.12",121.27,--,298500000.00
11-Oct-18,"1,534.96",120.55,--,298150000.00
10-Oct-18,"1,574.19",123.63,--,298150000.00
9-Oct-18,"1,615.17",126.85,--,298200000.00
8-Oct-18,"1,619.52",127.2,--,297950000.00
5-Oct-18,"1,613.87",126.76,--,297950000.00
4-Oct-18,"1,619.21",127.18,--,297950000.00
3-Oct-18,"1,621.75",127.38,--,297300000.00
2-Oct-18,"1,620.36",127.27,--,297300000.00
1-Oct-18,"1,617.05",127.01,--,297300000.00
28-Sep-18,"1,611.98",126.62,--,297300000.00
27-Sep-18,"1,611.07",126.55,--,297400000.00
26-Sep-18,"1,610.87",126.53,0.79,297400000.00
25-Sep-18,"1,620.82",128.11,--,297900000.00
24-Sep-18,"1,626.96",128.59,--,298000000.00
21-Sep-18,"1,639.15",129.56,--,298450000.00
20-Sep-18,"1,636.78",129.37,--,298450000.00
19-Sep-18,"1,624.84",128.43,--,298450000.00
18-Sep-18,"1,620.47",128.09,--,298450000.00
17-Sep-18,"1,614.03",127.58,--,298650000.00
14-Sep-18,"1,615.86",127.73,--,298650000.00
13-Sep-18,"1,613.01",127.5,--,298650000.00
12-Sep-18,"1,606.78",127.01,--,298950000.00
11-Sep-18,"1,605.14",126.88,--,298950000.00
10-Sep-18,"1,604.66",126.84,--,299050000.00
7-Sep-18,"1,601.33",126.58,--,299400000.00
6-Sep-18,"1,605.15",126.88,--,299400000.00
5-Sep-18,"1,610.44",127.3,--,300000000.00
