As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
27-Mar-19,"4,338.43",170.63,--,131150000.00
26-Mar-19,"4,363.26",171.6,--,131150000.00
25-Mar-19,"4,332.14",170.38,--,131150000.00
22-Mar-19,"4,326.31",170.15,--,131200000.00
21-Mar-19,"4,405.79",173.28,--,131200000.00
20-Mar-19,"4,356.72",171.34,0.59,131000000.00
19-Mar-19,"4,349.84",171.66,--,131000000.00
18-Mar-19,"4,341.78",171.34,--,131000000.00
15-Mar-19,"4,335.70",171.11,--,131000000.00
14-Mar-19,"4,310.74",170.12,--,131000000.00
13-Mar-19,"4,318.21",170.41,--,131100000.00
12-Mar-19,"4,287.43",169.2,--,131100000.00
11-Mar-19,"4,274.62",168.69,--,131100000.00
8-Mar-19,"4,211.79",166.22,--,131100000.00
7-Mar-19,"4,225.16",166.74,--,131350000.00
6-Mar-19,"4,260.81",168.15,--,131500000.00
5-Mar-19,"4,285.88",169.14,--,131400000.00
4-Mar-19,"4,287.73",169.22,--,131500000.00
1-Mar-19,"4,301.22",169.75,--,131500000.00
28-Feb-19,"4,267.52",168.42,--,131500000.00
27-Feb-19,"4,267.46",168.42,--,131500000.00
26-Feb-19,"4,263.50",168.27,--,131300000.00
25-Feb-19,"4,261.75",168.2,--,131300000.00
22-Feb-19,"4,258.01",168.06,--,131300000.00
21-Feb-19,"4,219.90",166.55,--,131650000.00
20-Feb-19,"4,228.97",166.91,--,131800000.00
19-Feb-19,"4,225.89",166.79,--,131950000.00
15-Feb-19,"4,222.03",166.64,--,131950000.00
14-Feb-19,"4,184.21",165.15,--,131950000.00
13-Feb-19,"4,187.03",165.26,--,132450000.00
12-Feb-19,"4,177.67",164.89,--,132400000.00
11-Feb-19,"4,122.91",162.73,--,132400000.00
8-Feb-19,"4,118.21",162.55,--,132150000.00
7-Feb-19,"4,104.59",162.02,--,132200000.00
6-Feb-19,"4,143.44",163.55,--,132450000.00
5-Feb-19,"4,158.10",164.13,--,132450000.00
4-Feb-19,"4,133.13",163.14,--,132450000.00
1-Feb-19,"4,100.23",161.85,--,132450000.00
31-Jan-19,"4,100.00",161.84,--,132450000.00
30-Jan-19,"4,052.70",159.97,--,132800000.00
29-Jan-19,"3,977.11",156.99,--,132950000.00
28-Jan-19,"3,992.33",157.59,--,132950000.00
25-Jan-19,"4,034.94",159.28,--,132950000.00
24-Jan-19,"4,007.62",158.2,--,133150000.00
23-Jan-19,"4,004.49",158.08,--,133200000.00
22-Jan-19,"3,996.45",157.76,--,133200000.00
18-Jan-19,"4,052.97",159.99,--,133200000.00
17-Jan-19,"4,006.57",158.16,--,133300000.00
16-Jan-19,"3,975.17",156.92,--,133600000.00
15-Jan-19,"3,979.52",157.1,--,135000000.00
14-Jan-19,"3,921.71",154.82,--,134950000.00
11-Jan-19,"3,948.88",155.89,--,135000000.00
10-Jan-19,"3,952.53",156.03,--,135000000.00
9-Jan-19,"3,936.12",155.39,--,134750000.00
8-Jan-19,"3,918.97",154.71,--,134750000.00
7-Jan-19,"3,874.96",152.97,--,134750000.00
4-Jan-19,"3,846.28",151.85,--,134750000.00
3-Jan-19,"3,711.51",146.53,--,134750000.00
2-Jan-19,"3,808.39",150.35,--,134800000.00
31-Dec-18,"3,813.64",150.56,--,133600000.00
28-Dec-18,"3,777.86",149.15,--,132450000.00
27-Dec-18,"3,783.16",149.36,--,131850000.00
26-Dec-18,"3,748.47",147.99,--,131250000.00
24-Dec-18,"3,558.35",140.48,--,131000000.00
21-Dec-18,"3,657.18",144.4,--,148650000.00
20-Dec-18,"3,751.91",148.15,--,148300000.00
19-Dec-18,"3,814.76",150.63,--,130400000.00
18-Dec-18,"3,885.31",153.41,--,130400000.00
17-Dec-18,"3,865.71",152.64,0.51,130250000.00
14-Dec-18,"3,955.87",156.72,--,130250000.00
13-Dec-18,"4,045.70",160.28,--,130550000.00
12-Dec-18,"4,043.19",160.18,--,130550000.00
11-Dec-18,"4,012.55",158.97,--,130450000.00
10-Dec-18,"4,007.21",158.76,--,130250000.00
7-Dec-18,"3,977.98",157.6,--,130150000.00
6-Dec-18,"4,092.63",162.14,--,130100000.00
4-Dec-18,"4,082.45",161.74,--,129900000.00
3-Dec-18,"4,231.04",167.62,--,129800000.00
30-Nov-18,"4,173.31",165.34,--,129700000.00
29-Nov-18,"4,133.13",163.75,--,129700000.00
28-Nov-18,"4,142.08",164.1,--,129050000.00
27-Nov-18,"4,022.72",159.37,--,128900000.00
26-Nov-18,"4,010.11",158.87,--,129050000.00
23-Nov-18,"3,938.57",156.04,--,129150000.00
21-Nov-18,"3,961.74",156.96,--,129150000.00
20-Nov-18,"3,945.77",156.33,--,129600000.00
19-Nov-18,"4,010.14",158.88,--,129350000.00
16-Nov-18,"4,121.33",163.29,--,129250000.00
15-Nov-18,"4,119.50",163.22,--,129750000.00
14-Nov-18,"4,063.98",161.02,--,129750000.00
13-Nov-18,"4,095.95",162.29,--,129700000.00
12-Nov-18,"4,101.45",162.51,--,129700000.00
9-Nov-18,"4,205.98",166.65,--,129850000.00
8-Nov-18,"4,255.43",168.6,--,129850000.00
7-Nov-18,"4,263.64",168.92,--,129550000.00
6-Nov-18,"4,151.00",164.49,--,129750000.00
5-Nov-18,"4,124.45",163.45,--,129750000.00
2-Nov-18,"4,122.36",163.35,--,129750000.00
1-Nov-18,"4,161.48",164.91,--,129650000.00
31-Oct-18,"4,110.30",162.86,--,129800000.00
30-Oct-18,"4,041.82",160.18,--,129800000.00
29-Oct-18,"3,981.88",157.77,--,129550000.00
26-Oct-18,"4,038.96",159.95,--,129550000.00
25-Oct-18,"4,123.78",163.29,--,129550000.00
24-Oct-18,"4,021.08",159.28,--,129550000.00
23-Oct-18,"4,171.78",165.21,--,129550000.00
22-Oct-18,"4,192.30",166.01,--,129550000.00
19-Oct-18,"4,190.91",165.97,--,129700000.00
18-Oct-18,"4,199.28",166.33,--,129700000.00
17-Oct-18,"4,279.15",169.49,--,129300000.00
16-Oct-18,"4,283.39",169.65,--,129300000.00
15-Oct-18,"4,171.91",165.23,--,129300000.00
12-Oct-18,"4,211.72",166.81,--,129600000.00
11-Oct-18,"4,122.04",163.26,--,129600000.00
10-Oct-18,"4,190.96",166,--,129900000.00
9-Oct-18,"4,362.60",172.79,--,129900000.00
8-Oct-18,"4,361.74",172.77,--,130000000.00
5-Oct-18,"4,382.68",173.61,--,130050000.00
4-Oct-18,"4,416.07",174.93,--,130050000.00
3-Oct-18,"4,478.67",177.41,--,130000000.00
2-Oct-18,"4,476.18",177.3,--,129850000.00
1-Oct-18,"4,486.58",177.72,--,129800000.00
28-Sep-18,"4,471.49",177.13,--,129800000.00
27-Sep-18,"4,467.95",176.98,--,129800000.00
26-Sep-18,"4,443.14",176.02,0.47,129800000.00
25-Sep-18,"4,450.62",176.78,--,130100000.00
24-Sep-18,"4,447.51",176.67,--,130100000.00
21-Sep-18,"4,448.73",176.72,--,130100000.00
20-Sep-18,"4,456.27",177.01,--,130100000.00
19-Sep-18,"4,416.80",175.46,--,130100000.00
18-Sep-18,"4,419.76",175.57,--,130100000.00
17-Sep-18,"4,389.68",174.38,--,130450000.00
14-Sep-18,"4,434.45",176.15,--,130350000.00
13-Sep-18,"4,435.96",176.19,--,130350000.00
12-Sep-18,"4,400.39",174.8,--,130700000.00
11-Sep-18,"4,402.93",174.88,--,130350000.00
10-Sep-18,"4,375.36",173.82,--,130350000.00
7-Sep-18,"4,368.08",173.52,--,130350000.00
6-Sep-18,"4,377.41",173.88,--,129750000.00
5-Sep-18,"4,394.29",174.53,--,129600000.00
4-Sep-18,"4,432.33",176.03,--,129600000.00
31-Aug-18,"4,439.19",176.3,--,129600000.00
30-Aug-18,"4,434.07",176.1,--,129850000.00
29-Aug-18,"4,447.40",176.64,--,129950000.00
28-Aug-18,"4,408.79",175.14,--,130000000.00
27-Aug-18,"4,403.25",174.92,--,130000000.00
24-Aug-18,"4,366.11",173.46,--,130000000.00
23-Aug-18,"4,331.66",172.08,--,130000000.00
22-Aug-18,"4,333.79",172.17,--,129850000.00
21-Aug-18,"4,326.88",171.9,--,129850000.00
20-Aug-18,"4,319.67",171.6,--,129800000.00
17-Aug-18,"4,314.88",171.4,--,129800000.00
