As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 27, 2019","5,453.51",111.58,--,"134,400,000.00"
"Mar 26, 2019","5,472.19",111.96,--,"134,800,000.00"
"Mar 25, 2019","5,433.16",111.16,--,"135,050,000.00"
"Mar 22, 2019","5,450.45",111.52,--,"135,100,000.00"
"Mar 21, 2019","5,560.97",113.78,--,"135,100,000.00"
"Mar 20, 2019","5,503.18",112.59,0.64,"135,100,000.00"
"Mar 19, 2019","5,547.29",114.14,--,"135,100,000.00"
"Mar 18, 2019","5,560.08",114.40,--,"135,150,000.00"
"Mar 15, 2019","5,525.11",113.68,--,"135,150,000.00"
"Mar 14, 2019","5,502.20",113.21,--,"135,150,000.00"
"Mar 13, 2019","5,497.69",113.12,--,"135,150,000.00"
"Mar 12, 2019","5,460.34",112.35,--,"135,150,000.00"
"Mar 11, 2019","5,443.99",112.02,--,"135,150,000.00"
"Mar 08, 2019","5,366.67",110.43,--,"135,150,000.00"
"Mar 07, 2019","5,370.77",110.51,--,"135,250,000.00"
"Mar 06, 2019","5,410.84",111.34,--,"135,350,000.00"
"Mar 05, 2019","5,450.00",112.14,--,"135,350,000.00"
"Mar 04, 2019","5,460.11",112.35,--,"135,350,000.00"
"Mar 01, 2019","5,485.72",112.88,--,"135,350,000.00"
"Feb 28, 2019","5,453.60",112.22,--,"135,350,000.00"
"Feb 27, 2019","5,482.99",112.82,--,"135,600,000.00"
"Feb 26, 2019","5,493.20",113.03,--,"135,600,000.00"
"Feb 25, 2019","5,504.74",113.27,--,"135,600,000.00"
"Feb 22, 2019","5,494.21",113.06,--,"135,600,000.00"
"Feb 21, 2019","5,474.58",112.65,--,"135,600,000.00"
"Feb 20, 2019","5,501.35",113.20,--,"135,600,000.00"
"Feb 19, 2019","5,483.02",112.82,--,"135,400,000.00"
"Feb 15, 2019","5,470.44",112.57,--,"135,400,000.00"
"Feb 14, 2019","5,399.83",111.12,--,"135,250,000.00"
"Feb 13, 2019","5,422.08",111.57,--,"135,250,000.00"
"Feb 12, 2019","5,400.14",111.12,--,"135,250,000.00"
"Feb 11, 2019","5,332.92",109.74,--,"135,250,000.00"
"Feb 08, 2019","5,331.55",109.71,--,"135,550,000.00"
"Feb 07, 2019","5,339.75",109.88,--,"135,550,000.00"
"Feb 06, 2019","5,388.41",110.89,--,"136,400,000.00"
"Feb 05, 2019","5,391.58",110.95,--,"136,400,000.00"
"Feb 04, 2019","5,374.03",110.59,--,"136,400,000.00"
"Feb 01, 2019","5,344.96",109.99,--,"136,400,000.00"
"Jan 31, 2019","5,333.71",109.76,--,"136,400,000.00"
"Jan 30, 2019","5,303.55",109.14,--,"136,950,000.00"
"Jan 29, 2019","5,240.51",107.84,--,"136,850,000.00"
"Jan 28, 2019","5,234.48",107.72,--,"137,050,000.00"
"Jan 25, 2019","5,260.12",108.25,--,"138,300,000.00"
"Jan 24, 2019","5,205.96",107.14,--,"138,550,000.00"
"Jan 23, 2019","5,195.06",106.91,--,"138,950,000.00"
"Jan 22, 2019","5,182.56",106.66,--,"139,200,000.00"
"Jan 18, 2019","5,257.79",108.21,--,"139,500,000.00"
"Jan 17, 2019","5,180.00",106.61,--,"139,400,000.00"
"Jan 16, 2019","5,141.64",105.82,--,"139,550,000.00"
"Jan 15, 2019","5,111.18",105.19,--,"141,200,000.00"
"Jan 14, 2019","5,079.01",104.53,--,"141,400,000.00"
"Jan 11, 2019","5,095.42",104.87,--,"143,550,000.00"
"Jan 10, 2019","5,091.76",104.80,--,"143,200,000.00"
"Jan 09, 2019","5,066.91",104.29,--,"143,600,000.00"
"Jan 08, 2019","5,044.38",103.82,--,"143,850,000.00"
"Jan 07, 2019","5,004.83",103.01,--,"143,850,000.00"
"Jan 04, 2019","4,972.39",102.34,--,"147,400,000.00"
"Jan 03, 2019","4,817.46",99.15,--,"147,400,000.00"
"Jan 02, 2019","4,933.20",101.54,--,"147,450,000.00"
"Dec 31, 2018","4,912.53",101.11,--,"145,850,000.00"
"Dec 28, 2018","4,875.07",100.34,--,"143,450,000.00"
"Dec 27, 2018","4,878.58",100.42,--,"143,450,000.00"
"Dec 26, 2018","4,839.90",99.62,--,"142,200,000.00"
"Dec 24, 2018","4,629.55",95.29,--,"140,800,000.00"
"Dec 21, 2018","4,758.27",97.93,--,"160,250,000.00"
"Dec 20, 2018","4,831.07",99.43,--,"160,350,000.00"
"Dec 19, 2018","4,904.07",100.93,--,"140,500,000.00"
"Dec 18, 2018","4,963.12",102.15,--,"140,500,000.00"
"Dec 17, 2018","4,991.36",102.73,0.74,"139,900,000.00"
"Dec 14, 2018","5,084.19",105.40,--,"139,650,000.00"
"Dec 13, 2018","5,162.10",107.01,--,"140,050,000.00"
"Dec 12, 2018","5,166.08",107.10,--,"139,100,000.00"
"Dec 11, 2018","5,151.62",106.80,--,"138,600,000.00"
"Dec 10, 2018","5,163.21",107.04,--,"138,600,000.00"
"Dec 07, 2018","5,187.83",107.55,--,"138,400,000.00"
"Dec 06, 2018","5,279.86",109.46,--,"138,300,000.00"
"Dec 04, 2018","5,309.30",110.07,--,"137,500,000.00"
