As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
27-Mar-19,668.9,89.76,--,4650000.00
26-Mar-19,670.31,89.95,--,4650000.00
25-Mar-19,666.68,89.46,--,4650000.00
22-Mar-19,668.69,89.74,--,4650000.00
21-Mar-19,691.11,92.74,--,4650000.00
20-Mar-19,683.31,91.7,0.4,4650000.00
19-Mar-19,682.85,92.03,--,4650000.00
18-Mar-19,684.99,92.32,--,4650000.00
15-Mar-19,683.68,92.15,--,4650000.00
14-Mar-19,681.4,91.84,--,4650000.00
13-Mar-19,689.23,92.9,--,4650000.00
12-Mar-19,685.77,92.44,--,4700000.00
11-Mar-19,683.29,92.1,--,4700000.00
8-Mar-19,673.53,90.8,--,4700000.00
7-Mar-19,674,90.86,--,4700000.00
6-Mar-19,679.91,91.66,--,4700000.00
5-Mar-19,679.18,91.56,--,4700000.00
4-Mar-19,683.16,92.1,--,4700000.00
1-Mar-19,681.29,91.85,--,4700000.00
28-Feb-19,682.6,92.02,--,4700000.00
27-Feb-19,691.41,93.21,--,4700000.00
26-Feb-19,691.62,93.24,--,4700000.00
25-Feb-19,696.36,93.88,--,4700000.00
22-Feb-19,691.78,93.26,--,4700000.00
21-Feb-19,688.31,92.8,--,4700000.00
20-Feb-19,690.68,93.12,--,4700000.00
19-Feb-19,677.83,91.39,--,4700000.00
15-Feb-19,672.88,90.73,--,4700000.00
14-Feb-19,663.59,89.48,--,4750000.00
13-Feb-19,668.25,90.11,--,4750000.00
12-Feb-19,666.85,89.92,--,4750000.00
11-Feb-19,652.31,87.96,--,4750000.00
8-Feb-19,649.97,87.65,--,4750000.00
7-Feb-19,651.24,87.82,--,4800000.00
6-Feb-19,663.67,89.5,--,4800000.00
5-Feb-19,668.05,90.09,--,4800000.00
4-Feb-19,663.62,89.49,--,4800000.00
1-Feb-19,664.35,89.59,--,4800000.00
31-Jan-19,659.86,88.98,--,4800000.00
30-Jan-19,672.5,90.68,--,4800000.00
29-Jan-19,663.31,89.45,--,4800000.00
28-Jan-19,656.77,88.57,--,4800000.00
25-Jan-19,658.22,88.77,--,4800000.00
24-Jan-19,644.11,86.87,--,4800000.00
23-Jan-19,648.05,87.4,--,4800000.00
22-Jan-19,652.28,87.97,--,4800000.00
