As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 27, 2019","1,412.32",202.63,--,"4,200,000.00"
"Mar 26, 2019","1,415.21",203.05,--,"4,200,000.00"
"Mar 25, 2019","1,409.26",202.21,--,"4,200,000.00"
"Mar 22, 2019","1,406.51",201.81,--,"4,200,000.00"
"Mar 21, 2019","1,432.09",205.52,--,"4,200,000.00"
"Mar 20, 2019","1,416.23",203.18,0.34,"4,200,000.00"
"Mar 19, 2019","1,412.10",203.00,--,"4,200,000.00"
"Mar 18, 2019","1,411.05",202.84,--,"4,200,000.00"
"Mar 15, 2019","1,402.89",201.68,--,"4,200,000.00"
"Mar 14, 2019","1,393.55",200.35,--,"4,200,000.00"
"Mar 13, 2019","1,395.52",200.65,--,"4,200,000.00"
"Mar 12, 2019","1,388.20",199.57,--,"4,200,000.00"
"Mar 11, 2019","1,385.92",199.27,--,"4,200,000.00"
"Mar 08, 2019","1,366.18",196.44,--,"4,200,000.00"
"Mar 07, 2019","1,371.55",197.21,--,"4,200,000.00"
"Mar 06, 2019","1,390.65",199.95,--,"4,200,000.00"
"Mar 05, 2019","1,395.84",200.71,--,"4,200,000.00"
"Mar 04, 2019","1,393.30",200.34,--,"4,200,000.00"
"Mar 01, 2019","1,398.37",201.08,--,"4,200,000.00"
"Feb 28, 2019","1,390.89",200.01,--,"4,200,000.00"
"Feb 27, 2019","1,393.98",200.47,--,"4,200,000.00"
"Feb 26, 2019","1,396.66",200.78,--,"4,200,000.00"
"Feb 25, 2019","1,395.07",200.52,--,"4,200,000.00"
"Feb 22, 2019","1,400.56",201.30,--,"4,200,000.00"
"Feb 21, 2019","1,392.01",200.07,--,"4,200,000.00"
"Feb 20, 2019","1,393.18",200.27,--,"4,200,000.00"
"Feb 19, 2019","1,395.82",200.64,--,"4,200,000.00"
"Feb 15, 2019","1,389.31",199.72,--,"4,200,000.00"
"Feb 14, 2019","1,378.07",198.14,--,"4,200,000.00"
"Feb 13, 2019","1,377.89",198.11,--,"4,200,000.00"
"Feb 12, 2019","1,372.02",197.29,--,"4,200,000.00"
"Feb 11, 2019","1,354.37",194.77,--,"4,250,000.00"
"Feb 08, 2019","1,356.56",195.07,--,"4,250,000.00"
"Feb 07, 2019","1,361.87",195.86,--,"4,250,000.00"
"Feb 06, 2019","1,368.82",196.85,--,"4,200,000.00"
"Feb 05, 2019","1,375.75",197.85,--,"4,200,000.00"
"Feb 04, 2019","1,364.31",196.19,--,"4,200,000.00"
"Feb 01, 2019","1,354.25",194.75,--,"4,250,000.00"
"Jan 31, 2019","1,369.86",196.99,--,"4,250,000.00"
"Jan 30, 2019","1,351.48",194.36,--,"4,250,000.00"
"Jan 29, 2019","1,332.43",191.65,--,"4,250,000.00"
"Jan 28, 2019","1,340.91",192.87,--,"4,250,000.00"
"Jan 25, 2019","1,347.22",193.76,--,"4,300,000.00"
"Jan 24, 2019","1,337.05",192.31,--,"4,300,000.00"
"Jan 23, 2019","1,332.59",191.67,--,"4,300,000.00"
"Jan 22, 2019","1,325.65",190.69,--,"4,300,000.00"
"Jan 18, 2019","1,351.27",194.35,--,"4,300,000.00"
"Jan 17, 2019","1,340.81",192.87,--,"4,300,000.00"
"Jan 16, 2019","1,334.51",191.92,--,"4,350,000.00"
"Jan 15, 2019","1,334.60",191.95,--,"4,350,000.00"
"Jan 14, 2019","1,319.18",189.70,--,"4,350,000.00"
"Jan 11, 2019","1,328.28",191.02,--,"4,400,000.00"
"Jan 10, 2019","1,328.13",190.99,--,"4,400,000.00"
"Jan 09, 2019","1,328.81",191.10,--,"4,450,000.00"
"Jan 08, 2019","1,324.26",190.47,--,"4,450,000.00"
