As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 27, 2019","1,031.69",35.91,--,"22,400,000.00"
"Mar 26, 2019","1,038.72",36.15,--,"22,400,000.00"
"Mar 25, 2019","1,023.97",35.64,--,"22,250,000.00"
"Mar 22, 2019","1,024.06",35.64,--,"22,250,000.00"
"Mar 21, 2019","1,053.30",36.66,--,"22,250,000.00"
"Mar 20, 2019","1,045.84",36.40,0.27,"22,250,000.00"
"Mar 19, 2019","1,035.59",36.31,--,"22,300,000.00"
"Mar 18, 2019","1,039.29",36.44,--,"22,300,000.00"
"Mar 15, 2019","1,024.13",35.91,--,"22,300,000.00"
"Mar 14, 2019","1,025.40",35.96,--,"22,300,000.00"
"Mar 13, 2019","1,024.75",35.94,--,"22,300,000.00"
"Mar 12, 2019","1,013.35",35.54,--,"22,300,000.00"
"Mar 11, 2019","1,005.86",35.28,--,"22,300,000.00"
"Mar 08, 2019",989.81,34.72,--,"22,500,000.00"
"Mar 07, 2019","1,009.55",35.41,--,"22,500,000.00"
"Mar 06, 2019","1,014.99",35.60,--,"22,550,000.00"
"Mar 05, 2019","1,029.27",36.10,--,"22,650,000.00"
"Mar 04, 2019","1,032.48",36.21,--,"22,750,000.00"
"Mar 01, 2019","1,029.73",36.11,--,"22,750,000.00"
"Feb 28, 2019","1,011.08",35.46,--,"22,750,000.00"
"Feb 27, 2019","1,021.40",35.82,--,"22,850,000.00"
"Feb 26, 2019","1,017.20",35.68,--,"22,850,000.00"
"Feb 25, 2019","1,021.94",35.84,--,"22,850,000.00"
"Feb 22, 2019","1,020.82",35.80,--,"22,850,000.00"
"Feb 21, 2019","1,017.29",35.68,--,"22,900,000.00"
"Feb 20, 2019","1,034.24",36.27,--,"22,900,000.00"
"Feb 19, 2019","1,030.09",36.13,--,"22,950,000.00"
"Feb 15, 2019","1,026.51",36.01,--,"22,950,000.00"
"Feb 14, 2019","1,009.59",35.42,--,"23,150,000.00"
"Feb 13, 2019","1,006.07",35.29,--,"23,150,000.00"
"Feb 12, 2019",993.15,34.84,--,"23,250,000.00"
"Feb 11, 2019",980.49,34.40,--,"23,250,000.00"
"Feb 08, 2019",975.29,34.22,--,"23,650,000.00"
"Feb 07, 2019",979.76,34.38,--,"24,000,000.00"
"Feb 06, 2019","1,001.95",35.16,--,"24,050,000.00"
"Feb 05, 2019","1,009.89",35.43,--,"24,450,000.00"
"Feb 04, 2019","1,009.36",35.42,--,"24,350,000.00"
"Feb 01, 2019","1,006.96",35.33,--,"24,350,000.00"
"Jan 31, 2019",989.79,34.73,--,"24,350,000.00"
"Jan 30, 2019",984.75,34.56,--,"24,550,000.00"
"Jan 29, 2019",970.82,34.07,--,"25,100,000.00"
"Jan 28, 2019",967.67,33.96,--,"25,100,000.00"
"Jan 25, 2019",977.86,34.32,--,"25,100,000.00"
"Jan 24, 2019",965.51,33.88,--,"25,100,000.00"
"Jan 23, 2019",959.36,33.67,--,"25,200,000.00"
"Jan 22, 2019",969.58,34.03,--,"25,200,000.00"
"Jan 18, 2019",992.90,34.85,--,"25,200,000.00"
"Jan 17, 2019",974.18,34.19,--,"25,200,000.00"
"Jan 16, 2019",964.98,33.87,--,"25,300,000.00"
"Jan 15, 2019",966.28,33.92,--,"25,500,000.00"
"Jan 14, 2019",962.74,33.79,--,"25,500,000.00"
"Jan 11, 2019",964.14,33.84,--,"25,500,000.00"
"Jan 10, 2019",970.68,34.07,--,"25,250,000.00"
"Jan 09, 2019",967.65,33.97,--,"25,100,000.00"
"Jan 08, 2019",952.80,33.45,--,"25,000,000.00"
"Jan 07, 2019",944.22,33.15,--,"25,000,000.00"
"Jan 04, 2019",930.22,32.66,--,"24,950,000.00"
"Jan 03, 2019",897.02,31.49,--,"24,750,000.00"
"Jan 02, 2019",906.03,31.81,--,"24,650,000.00"
"Dec 31, 2018",887.65,31.17,--,"24,350,000.00"
"Dec 28, 2018",883.30,31.01,--,"24,200,000.00"
"Dec 27, 2018",891.44,31.30,--,"24,050,000.00"
"Dec 26, 2018",886.40,31.12,--,"23,900,000.00"
"Dec 24, 2018",832.80,29.25,--,"23,900,000.00"
"Dec 21, 2018",868.02,30.48,--,"24,450,000.00"
"Dec 20, 2018",878.37,30.84,--,"24,300,000.00"
"Dec 19, 2018",903.81,31.74,--,"24,300,000.00"
"Dec 18, 2018",915.47,32.15,--,"24,300,000.00"
"Dec 17, 2018",937.32,32.91,0.23,"24,400,000.00"
"Dec 14, 2018",956.08,33.81,--,"24,400,000.00"
"Dec 13, 2018",980.95,34.69,--,"24,400,000.00"
"Dec 12, 2018",977.71,34.57,--,"24,450,000.00"
"Dec 11, 2018",974.24,34.45,--,"24,200,000.00"
"Dec 10, 2018",974.04,34.44,--,"24,200,000.00"
"Dec 07, 2018",990.81,35.04,--,"24,200,000.00"
"Dec 06, 2018",996.43,35.23,--,"24,200,000.00"
"Dec 04, 2018","1,015.30",35.90,--,"24,200,000.00"
"Dec 03, 2018","1,046.46",36.99,--,"24,200,000.00"
"Nov 30, 2018","1,022.26",36.14,--,"24,200,000.00"
"Nov 29, 2018","1,026.39",36.29,--,"24,150,000.00"
"Nov 28, 2018","1,020.43",36.08,--,"24,200,000.00"
"Nov 27, 2018","1,003.32",35.48,--,"24,200,000.00"
"Nov 26, 2018","1,007.09",35.61,--,"24,200,000.00"
"Nov 23, 2018",990.08,35.02,--,"24,200,000.00"
"Nov 21, 2018","1,023.08",36.18,--,"24,200,000.00"
"Nov 20, 2018","1,006.60",35.60,--,"24,200,000.00"
"Nov 19, 2018","1,041.81",36.84,--,"24,200,000.00"
"Nov 16, 2018","1,043.21",36.89,--,"24,250,000.00"
"Nov 15, 2018","1,032.78",36.52,--,"24,250,000.00"
"Nov 14, 2018","1,015.73",35.92,--,"24,350,000.00"
"Nov 13, 2018","1,017.14",35.97,--,"24,350,000.00"
"Nov 12, 2018","1,042.16",36.85,--,"24,350,000.00"
"Nov 09, 2018","1,066.13",37.70,--,"24,400,000.00"
"Nov 08, 2018","1,067.39",37.74,--,"24,400,000.00"
"Nov 07, 2018","1,092.73",38.64,--,"24,550,000.00"
"Nov 06, 2018","1,074.92",38.01,--,"24,500,000.00"
"Nov 05, 2018","1,072.44",37.92,--,"24,500,000.00"
"Nov 02, 2018","1,054.71",37.30,--,"24,500,000.00"
"Nov 01, 2018","1,057.10",37.38,--,"24,700,000.00"
"Oct 31, 2018","1,047.56",37.05,--,"24,600,000.00"
"Oct 30, 2018","1,039.71",36.77,--,"24,550,000.00"
"Oct 29, 2018","1,016.73",35.96,--,"24,600,000.00"
"Oct 26, 2018","1,038.22",36.72,--,"24,600,000.00"
"Oct 25, 2018","1,046.95",37.03,--,"24,600,000.00"
"Oct 24, 2018","1,034.71",36.60,--,"24,700,000.00"
"Oct 23, 2018","1,077.26",38.10,--,"24,700,000.00"
"Oct 22, 2018","1,108.11",39.19,--,"24,700,000.00"
"Oct 19, 2018","1,120.92",39.64,--,"24,800,000.00"
"Oct 18, 2018","1,129.67",39.95,--,"24,800,000.00"
"Oct 17, 2018","1,136.84",40.20,--,"24,900,000.00"
"Oct 16, 2018","1,145.95",40.53,--,"25,000,000.00"
"Oct 15, 2018","1,135.13",40.14,--,"25,000,000.00"
"Oct 12, 2018","1,142.64",40.41,--,"25,150,000.00"
"Oct 11, 2018","1,137.75",40.24,--,"25,150,000.00"
"Oct 10, 2018","1,172.97",41.48,--,"25,200,000.00"
"Oct 09, 2018","1,217.75",43.06,--,"25,200,000.00"
"Oct 08, 2018","1,205.60",42.64,--,"25,100,000.00"
"Oct 05, 2018","1,206.43",42.67,--,"25,100,000.00"
"Oct 04, 2018","1,207.22",42.69,--,"25,100,000.00"
"Oct 03, 2018","1,215.15",42.98,--,"24,950,000.00"
"Oct 02, 2018","1,203.96",42.57,--,"24,950,000.00"
"Oct 01, 2018","1,202.94",42.54,--,"25,250,000.00"
"Sep 28, 2018","1,185.84",41.95,--,"25,250,000.00"
"Sep 27, 2018","1,188.03",42.03,--,"25,250,000.00"
"Sep 26, 2018","1,185.79",41.95,0.24,"25,250,000.00"
"Sep 25, 2018","1,199.02",42.66,--,"25,300,000.00"
"Sep 24, 2018","1,192.15",42.42,--,"25,650,000.00"
"Sep 21, 2018","1,174.46",41.79,--,"25,650,000.00"
"Sep 20, 2018","1,166.13",41.49,--,"25,650,000.00"
"Sep 19, 2018","1,166.69",41.51,--,"25,700,000.00"
"Sep 18, 2018","1,161.06",41.32,--,"25,350,000.00"
"Sep 17, 2018","1,151.66",40.98,--,"25,350,000.00"
"Sep 14, 2018","1,150.77",40.95,--,"25,450,000.00"
"Sep 13, 2018","1,144.44",40.73,--,"25,450,000.00"
"Sep 12, 2018","1,144.97",40.75,--,"25,500,000.00"
"Sep 11, 2018","1,138.09",40.50,--,"25,500,000.00"
"Sep 10, 2018","1,125.46",40.05,--,"25,500,000.00"
"Sep 07, 2018","1,125.78",40.07,--,"25,600,000.00"
"Sep 06, 2018","1,126.06",40.08,--,"25,600,000.00"
"Sep 05, 2018","1,149.00",40.89,--,"25,950,000.00"
"Sep 04, 2018","1,151.07",40.96,--,"26,150,000.00"
"Aug 31, 2018","1,154.97",41.10,--,"26,150,000.00"
"Aug 30, 2018","1,163.34",41.40,--,"25,950,000.00"
"Aug 29, 2018","1,167.12",41.54,--,"26,000,000.00"
"Aug 28, 2018","1,159.01",41.25,--,"25,800,000.00"
"Aug 27, 2018","1,164.86",41.46,--,"25,800,000.00"
"Aug 24, 2018","1,156.75",41.17,--,"25,750,000.00"
"Aug 23, 2018","1,147.33",40.84,--,"25,750,000.00"
"Aug 22, 2018","1,153.52",41.06,--,"25,750,000.00"
"Aug 21, 2018","1,139.10",40.55,--,"25,750,000.00"
"Aug 20, 2018","1,132.15",40.30,--,"25,750,000.00"
"Aug 17, 2018","1,124.13",40.02,--,"25,750,000.00"
"Aug 16, 2018","1,120.67",39.90,--,"25,750,000.00"
"Aug 15, 2018","1,112.01",39.59,--,"25,750,000.00"
"Aug 14, 2018","1,153.57",41.06,--,"25,750,000.00"
"Aug 13, 2018","1,149.64",40.92,--,"25,750,000.00"
"Aug 10, 2018","1,165.21",41.48,--,"25,700,000.00"
"Aug 09, 2018","1,158.97",41.26,--,"25,700,000.00"
"Aug 08, 2018","1,168.93",41.61,--,"25,700,000.00"
"Aug 07, 2018","1,178.31",41.95,--,"25,700,000.00"
"Aug 06, 2018","1,170.65",41.67,--,"25,700,000.00"
"Aug 03, 2018","1,165.58",41.49,--,"25,700,000.00"
"Aug 02, 2018","1,171.03",41.69,--,"25,750,000.00"
"Aug 01, 2018","1,175.47",41.85,--,"25,750,000.00"
"Jul 31, 2018","1,191.28",42.41,--,"25,750,000.00"
"Jul 30, 2018","1,194.77",42.53,--,"25,750,000.00"
"Jul 27, 2018","1,183.46",42.13,--,"25,750,000.00"
"Jul 26, 2018","1,190.99",42.40,--,"25,750,000.00"
"Jul 25, 2018","1,179.94",42.01,--,"25,700,000.00"
"Jul 24, 2018","1,169.63",41.64,--,"25,700,000.00"
"Jul 23, 2018","1,155.17",41.13,--,"25,700,000.00"
"Jul 20, 2018","1,160.13",41.31,--,"25,750,000.00"
"Jul 19, 2018","1,164.33",41.46,--,"25,750,000.00"
"Jul 18, 2018","1,164.05",41.45,--,"25,700,000.00"
"Jul 17, 2018","1,163.33",41.42,--,"25,850,000.00"
"Jul 16, 2018","1,167.37",41.57,--,"25,850,000.00"
"Jul 13, 2018","1,182.17",42.09,--,"25,850,000.00"
"Jul 12, 2018","1,175.84",41.87,--,"25,850,000.00"
"Jul 11, 2018","1,173.97",41.80,--,"25,900,000.00"
"Jul 10, 2018","1,200.20",42.74,--,"25,900,000.00"
"Jul 09, 2018","1,192.28",42.46,--,"25,900,000.00"
"Jul 06, 2018","1,174.51",41.83,--,"25,900,000.00"
"Jul 05, 2018","1,165.00",41.49,--,"25,600,000.00"
"Jul 03, 2018","1,166.36",41.54,--,"25,400,000.00"
"Jul 02, 2018","1,157.63",41.23,--,"24,850,000.00"
"Jun 29, 2018","1,176.58",41.90,--,"24,850,000.00"
"Jun 28, 2018","1,169.67",41.66,--,"24,850,000.00"
"Jun 27, 2018","1,171.13",41.71,--,"24,900,000.00"
"Jun 26, 2018","1,155.39",41.15,0.23,"24,900,000.00"
"Jun 25, 2018","1,138.53",40.78,--,"24,900,000.00"
"Jun 22, 2018","1,164.79",41.72,--,"25,100,000.00"
"Jun 21, 2018","1,138.18",40.77,--,"25,100,000.00"
"Jun 20, 2018","1,160.81",41.58,--,"25,250,000.00"
"Jun 19, 2018","1,154.77",41.37,--,"25,250,000.00"
"Jun 18, 2018","1,156.64",41.43,--,"26,150,000.00"
"Jun 15, 2018","1,142.67",40.93,--,"26,200,000.00"
"Jun 14, 2018","1,167.90",41.84,--,"26,050,000.00"
"Jun 13, 2018","1,170.97",41.95,--,"26,100,000.00"
"Jun 12, 2018","1,175.71",42.12,--,"26,100,000.00"
"Jun 11, 2018","1,184.10",42.42,--,"26,100,000.00"
"Jun 08, 2018","1,180.03",42.27,--,"26,100,000.00"
"Jun 07, 2018","1,182.93",42.38,--,"26,100,000.00"
"Jun 06, 2018","1,163.46",41.69,--,"26,300,000.00"
"Jun 05, 2018","1,158.10",41.49,--,"26,350,000.00"
"Jun 04, 2018","1,161.16",41.60,--,"26,200,000.00"
"Jun 01, 2018","1,173.41",42.04,--,"26,200,000.00"
"May 31, 2018","1,168.42",41.86,--,"26,200,000.00"
"May 30, 2018","1,178.48",42.22,--,"26,500,000.00"
"May 29, 2018","1,142.52",40.94,--,"26,700,000.00"
"May 25, 2018","1,144.95",41.03,--,"26,750,000.00"
"May 24, 2018","1,175.75",42.13,--,"26,750,000.00"
"May 23, 2018","1,195.04",42.82,--,"27,000,000.00"
"May 22, 2018","1,195.57",42.84,--,"27,000,000.00"
"May 21, 2018","1,212.39",43.44,--,"26,850,000.00"
"May 18, 2018","1,199.48",42.98,--,"26,850,000.00"
"May 17, 2018","1,208.87",43.31,--,"26,850,000.00"
"May 16, 2018","1,190.75",42.67,--,"26,750,000.00"
"May 15, 2018","1,185.24",42.47,--,"26,600,000.00"
"May 14, 2018","1,184.03",42.43,--,"26,600,000.00"
"May 11, 2018","1,175.95",42.14,--,"26,600,000.00"
"May 10, 2018","1,175.70",42.13,--,"26,600,000.00"
"May 09, 2018","1,167.11",41.82,--,"26,450,000.00"
"May 08, 2018","1,144.34",41.01,--,"26,500,000.00"
"May 07, 2018","1,134.34",40.65,--,"26,500,000.00"
"May 04, 2018","1,131.32",40.55,--,"26,500,000.00"
"May 03, 2018","1,124.53",40.30,--,"26,900,000.00"
"May 02, 2018","1,128.68",40.45,--,"26,900,000.00"
"May 01, 2018","1,123.03",40.25,--,"26,900,000.00"
"Apr 30, 2018","1,129.24",40.47,--,"26,700,000.00"
"Apr 27, 2018","1,129.27",40.48,--,"26,700,000.00"
"Apr 26, 2018","1,142.57",40.95,--,"26,750,000.00"
"Apr 25, 2018","1,126.16",40.37,--,"26,850,000.00"
"Apr 24, 2018","1,116.81",40.03,--,"26,850,000.00"
"Apr 23, 2018","1,129.25",40.48,--,"27,400,000.00"
"Apr 20, 2018","1,122.45",40.24,--,"26,600,000.00"
"Apr 19, 2018","1,128.24",40.44,--,"26,600,000.00"
"Apr 18, 2018","1,127.03",40.40,--,"26,500,000.00"
"Apr 17, 2018","1,108.41",39.73,--,"26,500,000.00"
"Apr 16, 2018","1,103.29",39.55,--,"26,500,000.00"
"Apr 13, 2018","1,092.40",39.16,--,"26,500,000.00"
"Apr 12, 2018","1,080.19",38.73,--,"26,500,000.00"
"Apr 11, 2018","1,080.14",38.72,--,"26,050,000.00"
"Apr 10, 2018","1,068.16",38.30,--,"26,000,000.00"
"Apr 09, 2018","1,033.23",37.05,--,"26,000,000.00"
"Apr 06, 2018","1,029.12",36.90,--,"26,050,000.00"
"Apr 05, 2018","1,049.46",37.63,--,"25,750,000.00"
"Apr 04, 2018","1,029.59",36.92,--,"25,750,000.00"
"Apr 03, 2018","1,030.86",36.96,--,"25,750,000.00"
"Apr 02, 2018","1,010.00",36.22,--,"25,750,000.00"
"Mar 29, 2018","1,031.69",37.00,--,"25,800,000.00"
"Mar 28, 2018","1,009.60",36.20,--,"25,800,000.00"
"Mar 27, 2018","1,028.62",36.89,--,"25,800,000.00"
"Mar 26, 2018","1,039.18",37.26,--,"25,900,000.00"
"Mar 23, 2018","1,021.23",36.62,--,"25,900,000.00"
"Mar 22, 2018","1,027.23",36.84,0.28,"25,900,000.00"
"Mar 21, 2018","1,049.16",37.91,--,"25,950,000.00"
"Mar 20, 2018","1,021.00",36.89,--,"25,950,000.00"
"Mar 19, 2018","1,011.86",36.57,--,"25,950,000.00"
"Mar 16, 2018","1,029.96",37.22,--,"25,950,000.00"
"Mar 15, 2018","1,019.02",36.82,--,"25,950,000.00"
"Mar 14, 2018","1,024.64",37.03,--,"26,150,000.00"
"Mar 13, 2018","1,030.90",37.25,--,"26,150,000.00"
"Mar 12, 2018","1,037.92",37.51,--,"26,200,000.00"
"Mar 09, 2018","1,038.13",37.52,--,"26,200,000.00"
"Mar 08, 2018","1,018.41",36.81,--,"26,200,000.00"
"Mar 07, 2018","1,019.02",36.83,--,"26,250,000.00"
"Mar 06, 2018","1,027.88",37.15,--,"26,250,000.00"
"Mar 05, 2018","1,027.79",37.14,--,"26,250,000.00"
"Mar 02, 2018","1,015.82",36.71,--,"27,150,000.00"
"Mar 01, 2018","1,010.29",36.52,--,"27,600,000.00"
"Feb 28, 2018","1,010.66",36.53,--,"27,650,000.00"
"Feb 27, 2018","1,034.70",37.39,--,"27,500,000.00"
"Feb 26, 2018","1,049.37",37.92,--,"29,550,000.00"
"Feb 23, 2018","1,042.72",37.68,--,"29,550,000.00"
"Feb 22, 2018","1,020.21",36.87,--,"29,650,000.00"
"Feb 21, 2018","1,008.48",36.45,--,"29,650,000.00"
"Feb 20, 2018","1,025.89",37.08,--,"29,650,000.00"
"Feb 16, 2018","1,031.29",37.28,--,"29,700,000.00"
"Feb 15, 2018","1,033.79",37.37,--,"29,700,000.00"
"Feb 14, 2018","1,035.52",37.43,--,"29,300,000.00"
"Feb 13, 2018","1,019.49",36.85,--,"29,650,000.00"
"Feb 12, 2018","1,024.29",37.02,--,"29,200,000.00"
"Feb 09, 2018","1,006.52",36.39,--,"29,350,000.00"
"Feb 08, 2018","1,006.76",36.40,--,"29,350,000.00"
"Feb 07, 2018","1,039.57",37.58,--,"29,450,000.00"
"Feb 06, 2018","1,058.30",38.26,--,"29,700,000.00"
"Feb 05, 2018","1,049.78",37.95,--,"29,700,000.00"
"Feb 02, 2018","1,096.14",39.63,--,"29,850,000.00"
"Feb 01, 2018","1,143.32",41.33,--,"29,900,000.00"
"Jan 31, 2018","1,130.72",40.88,--,"30,000,000.00"
"Jan 30, 2018","1,130.23",40.86,--,"30,000,000.00"
