As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
27-Mar-19,"1,124.63",123.12,--,10650000.00
26-Mar-19,"1,129.81",123.69,--,10700000.00
25-Mar-19,"1,113.99",121.96,--,10800000.00
22-Mar-19,"1,117.87",122.39,--,10950000.00
21-Mar-19,"1,153.91",126.33,--,11050000.00
20-Mar-19,"1,157.64",126.74,0.56,11050000.00
19-Mar-19,"1,182.54",130.04,--,11050000.00
18-Mar-19,"1,191.46",131.02,--,11050000.00
15-Mar-19,"1,180.25",129.79,--,11050000.00
14-Mar-19,"1,173.02",129,--,11100000.00
13-Mar-19,"1,166.28",128.26,--,11700000.00
12-Mar-19,"1,157.27",127.27,--,12000000.00
11-Mar-19,"1,155.31",127.06,--,12000000.00
8-Mar-19,"1,143.37",125.75,--,12000000.00
7-Mar-19,"1,142.33",125.64,--,12000000.00
6-Mar-19,"1,155.44",127.08,--,12000000.00
5-Mar-19,"1,165.17",128.15,--,12000000.00
4-Mar-19,"1,167.92",128.46,--,12000000.00
1-Mar-19,"1,176.00",129.35,--,12050000.00
28-Feb-19,"1,168.65",128.54,--,12050000.00
27-Feb-19,"1,170.74",128.77,--,12050000.00
26-Feb-19,"1,165.02",128.15,--,12050000.00
25-Feb-19,"1,167.07",128.37,--,12050000.00
22-Feb-19,"1,163.77",128.01,--,12050000.00
21-Feb-19,"1,160.84",127.7,--,12050000.00
20-Feb-19,"1,167.11",128.39,--,12050000.00
19-Feb-19,"1,160.38",127.65,--,12050000.00
15-Feb-19,"1,158.91",127.49,--,12050000.00
14-Feb-19,"1,136.46",125.03,--,12050000.00
13-Feb-19,"1,145.74",126.05,--,12050000.00
12-Feb-19,"1,142.06",125.65,--,12150000.00
11-Feb-19,"1,125.13",123.79,--,12150000.00
8-Feb-19,"1,123.53",123.62,--,12150000.00
7-Feb-19,"1,128.65",124.18,--,12150000.00
6-Feb-19,"1,135.82",124.97,--,12150000.00
5-Feb-19,"1,138.16",125.23,--,12150000.00
4-Feb-19,"1,139.22",125.35,--,12150000.00
1-Feb-19,"1,132.06",124.57,--,12200000.00
31-Jan-19,"1,124.51",123.74,--,12200000.00
30-Jan-19,"1,128.94",124.23,--,12200000.00
29-Jan-19,"1,124.74",123.77,--,12100000.00
28-Jan-19,"1,129.73",124.32,--,12100000.00
25-Jan-19,"1,132.91",124.67,--,12100000.00
