As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 27, 2019","1,104.69",116.88,--,"14,400,000.00"
"Mar 26, 2019","1,108.68",117.30,--,"14,600,000.00"
"Mar 25, 2019","1,096.35",116.00,--,"14,400,000.00"
"Mar 22, 2019","1,098.88",116.27,--,"14,750,000.00"
"Mar 21, 2019","1,123.98",118.92,--,"14,750,000.00"
"Mar 20, 2019","1,119.61",118.46,0.57,"14,750,000.00"
"Mar 19, 2019","1,135.73",120.75,--,"14,750,000.00"
"Mar 18, 2019","1,143.53",121.58,--,"14,750,000.00"
"Mar 15, 2019","1,136.94",120.89,--,"14,800,000.00"
"Mar 14, 2019","1,132.19",120.38,--,"14,800,000.00"
"Mar 13, 2019","1,127.51",119.89,--,"14,750,000.00"
"Mar 12, 2019","1,120.45",119.14,--,"15,000,000.00"
"Mar 11, 2019","1,117.55",118.83,--,"14,950,000.00"
"Mar 08, 2019","1,104.59",117.46,--,"14,950,000.00"
"Mar 07, 2019","1,104.32",117.43,--,"14,950,000.00"
"Mar 06, 2019","1,113.96",118.46,--,"15,000,000.00"
"Mar 05, 2019","1,121.89",119.30,--,"15,100,000.00"
"Mar 04, 2019","1,123.79",119.51,--,"15,100,000.00"
"Mar 01, 2019","1,128.30",119.99,--,"15,200,000.00"
"Feb 28, 2019","1,123.40",119.47,--,"15,250,000.00"
"Feb 27, 2019","1,123.91",119.53,--,"15,250,000.00"
"Feb 26, 2019","1,121.29",119.25,--,"15,250,000.00"
"Feb 25, 2019","1,123.78",119.52,--,"15,250,000.00"
"Feb 22, 2019","1,122.92",119.43,--,"15,400,000.00"
"Feb 21, 2019","1,121.11",119.24,--,"15,450,000.00"
"Feb 20, 2019","1,125.23",119.68,--,"15,450,000.00"
"Feb 19, 2019","1,121.85",119.32,--,"15,450,000.00"
"Feb 15, 2019","1,120.15",119.15,--,"15,450,000.00"
"Feb 14, 2019","1,102.67",117.29,--,"15,450,000.00"
"Feb 13, 2019","1,110.68",118.15,--,"15,450,000.00"
"Feb 12, 2019","1,106.82",117.74,--,"15,450,000.00"
"Feb 11, 2019","1,095.83",116.57,--,"15,450,000.00"
"Feb 08, 2019","1,092.78",116.25,--,"15,450,000.00"
"Feb 07, 2019","1,096.07",116.61,--,"15,450,000.00"
"Feb 06, 2019","1,100.85",117.11,--,"15,450,000.00"
"Feb 05, 2019","1,104.80",117.53,--,"15,450,000.00"
"Feb 04, 2019","1,103.92",117.44,--,"15,450,000.00"
"Feb 01, 2019","1,098.17",116.83,--,"15,450,000.00"
"Jan 31, 2019","1,092.04",116.19,--,"15,450,000.00"
"Jan 30, 2019","1,090.88",116.06,--,"15,450,000.00"
"Jan 29, 2019","1,083.80",115.32,--,"15,350,000.00"
"Jan 28, 2019","1,085.03",115.45,--,"15,350,000.00"
"Jan 25, 2019","1,085.96",115.54,--,"15,350,000.00"
"Jan 24, 2019","1,075.65",114.45,--,"15,700,000.00"
"Jan 23, 2019","1,072.87",114.15,--,"15,600,000.00"
"Jan 22, 2019","1,072.97",114.16,--,"15,600,000.00"
