As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
27-Mar-19,"1,524.14",190.82,--,12300000.00
26-Mar-19,"1,538.00",192.55,--,12450000.00
25-Mar-19,"1,527.55",191.25,--,12350000.00
22-Mar-19,"1,528.71",191.4,--,12350000.00
21-Mar-19,"1,559.21",195.21,--,12350000.00
20-Mar-19,"1,551.98",194.31,0.52,12350000.00
19-Mar-19,"1,562.58",196.16,--,12350000.00
18-Mar-19,"1,550.88",194.7,--,12200000.00
15-Mar-19,"1,553.16",194.99,--,12200000.00
14-Mar-19,"1,544.94",193.96,--,12200000.00
13-Mar-19,"1,547.84",194.26,--,12200000.00
12-Mar-19,"1,530.40",192.08,--,12200000.00
11-Mar-19,"1,520.20",190.81,--,12200000.00
8-Mar-19,"1,501.45",188.46,--,12200000.00
7-Mar-19,"1,504.78",188.88,--,12200000.00
6-Mar-19,"1,516.12",190.3,--,12150000.00
5-Mar-19,"1,540.77",193.4,--,12150000.00
4-Mar-19,"1,541.91",193.54,--,12150000.00
1-Mar-19,"1,563.25",196.22,--,12150000.00
28-Feb-19,"1,540.36",193.36,--,12150000.00
27-Feb-19,"1,545.45",194,--,12150000.00
26-Feb-19,"1,550.55",194.64,--,12150000.00
25-Feb-19,"1,555.90",195.31,--,12150000.00
22-Feb-19,"1,551.79",194.8,--,12150000.00
21-Feb-19,"1,536.61",192.9,--,12150000.00
20-Feb-19,"1,550.13",194.6,--,12400000.00
19-Feb-19,"1,552.80",194.93,--,12400000.00
15-Feb-19,"1,557.45",195.53,--,12450000.00
14-Feb-19,"1,534.78",192.69,--,12450000.00
13-Feb-19,"1,530.95",192.21,--,13050000.00
12-Feb-19,"1,526.56",191.66,--,12800000.00
11-Feb-19,"1,506.56",189.16,--,12800000.00
8-Feb-19,"1,507.56",189.29,--,12800000.00
7-Feb-19,"1,505.27",189.01,--,12800000.00
6-Feb-19,"1,522.29",191.14,--,12900000.00
5-Feb-19,"1,517.74",190.57,--,12900000.00
4-Feb-19,"1,519.03",190.74,--,12900000.00
1-Feb-19,"1,523.23",191.27,--,12850000.00
31-Jan-19,"1,519.72",190.83,--,12850000.00
30-Jan-19,"1,501.72",188.58,--,12950000.00
29-Jan-19,"1,480.43",185.91,--,12950000.00
28-Jan-19,"1,474.17",185.13,--,12950000.00
25-Jan-19,"1,491.96",187.36,--,12950000.00
24-Jan-19,"1,487.98",186.87,--,12950000.00
23-Jan-19,"1,499.13",188.27,--,12950000.00
22-Jan-19,"1,498.14",188.15,--,12950000.00
18-Jan-19,"1,509.97",189.64,--,12950000.00
17-Jan-19,"1,492.88",187.5,--,12950000.00
16-Jan-19,"1,479.27",185.79,--,12900000.00
15-Jan-19,"1,481.48",186.07,--,12600000.00
14-Jan-19,"1,455.38",182.8,--,12600000.00
11-Jan-19,"1,471.91",184.88,--,12600000.00
10-Jan-19,"1,467.67",184.35,--,12600000.00
