As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
3-Apr-19,"8,155.91",35.75,--,32450000.00
2-Apr-19,"8,075.02",35.4,--,31950000.00
1-Apr-19,"8,083.35",35.44,--,32550000.00
29-Mar-19,"8,042.77",35.26,--,33950000.00
28-Mar-19,"8,083.47",35.44,--,35300000.00
27-Mar-19,"8,173.44",35.83,--,33150000.00
26-Mar-19,"8,007.41",35.11,--,32650000.00
25-Mar-19,"8,013.41",35.13,--,32050000.00
22-Mar-19,"7,846.92",34.4,--,31600000.00
21-Mar-19,"7,898.71",34.63,--,30950000.00
20-Mar-19,"7,726.70",33.88,0.06,31000000.00
19-Mar-19,"7,784.64",34.19,--,31550000.00
18-Mar-19,"7,904.36",34.72,--,31550000.00
15-Mar-19,"7,875.82",34.6,--,30250000.00
14-Mar-19,"7,884.91",34.64,--,30300000.00
13-Mar-19,"7,922.55",34.8,--,29100000.00
12-Mar-19,"7,995.14",35.12,--,29250000.00
11-Mar-19,"8,000.30",35.14,--,29500000.00
8-Mar-19,"7,879.59",34.62,--,29500000.00
7-Mar-19,"7,876.86",34.6,--,29250000.00
6-Mar-19,"7,773.37",34.15,--,29500000.00
5-Mar-19,"7,814.16",34.33,--,30100000.00
4-Mar-19,"7,959.32",34.97,--,30700000.00
1-Mar-19,"7,857.70",34.52,--,31100000.00
28-Feb-19,"7,873.34",34.59,--,31650000.00
27-Feb-19,"7,990.56",35.11,--,33500000.00
26-Feb-19,"8,048.83",35.36,--,33600000.00
25-Feb-19,"8,107.85",35.62,--,33850000.00
22-Feb-19,"8,165.97",35.88,--,33850000.00
21-Feb-19,"8,082.15",35.51,--,33850000.00
20-Feb-19,"8,008.96",35.19,--,33950000.00
19-Feb-19,"8,062.86",35.43,--,32400000.00
15-Feb-19,"8,012.37",35.21,--,32800000.00
14-Feb-19,"7,934.55",34.87,--,32650000.00
13-Feb-19,"7,955.11",34.96,--,33350000.00
12-Feb-19,"8,017.11",35.23,--,31950000.00
11-Feb-19,"7,680.08",33.75,--,31500000.00
8-Feb-19,"7,656.28",33.65,--,31600000.00
7-Feb-19,"7,705.41",33.87,--,31400000.00
6-Feb-19,"7,642.20",33.59,--,31600000.00
5-Feb-19,"7,782.03",34.2,--,31650000.00
4-Feb-19,"7,742.51",34.03,--,31150000.00
1-Feb-19,"7,762.36",34.12,--,31200000.00
31-Jan-19,"7,792.97",34.25,--,29900000.00
30-Jan-19,"7,612.15",33.46,--,29500000.00
29-Jan-19,"7,529.50",33.1,--,28750000.00
28-Jan-19,"7,427.70",32.65,--,29200000.00
25-Jan-19,"7,428.82",32.66,--,28700000.00
24-Jan-19,"7,442.50",32.72,--,28350000.00
23-Jan-19,"7,317.22",32.17,--,28000000.00
22-Jan-19,"7,271.66",31.97,--,28750000.00
18-Jan-19,"7,397.95",32.52,--,29200000.00
17-Jan-19,"7,403.49",32.55,--,29200000.00
16-Jan-19,"7,406.11",32.56,--,29250000.00
15-Jan-19,"7,485.04",32.91,--,29000000.00
14-Jan-19,"7,481.63",32.89,--,28750000.00
11-Jan-19,"7,591.29",33.38,--,28900000.00
10-Jan-19,"7,546.80",33.18,--,29100000.00
9-Jan-19,"7,599.01",33.41,--,27950000.00
8-Jan-19,"7,355.85",32.34,--,28400000.00
7-Jan-19,"7,304.34",32.12,--,28200000.00
4-Jan-19,"7,123.90",31.33,--,26850000.00
3-Jan-19,"6,844.15",30.1,--,26200000.00
2-Jan-19,"6,914.57",30.41,--,26350000.00
31-Dec-18,"6,819.19",29.99,--,26300000.00
28-Dec-18,"6,821.03",30,--,26450000.00
27-Dec-18,"6,812.83",29.96,--,26650000.00
26-Dec-18,"6,771.57",29.78,--,28050000.00
24-Dec-18,"6,482.82",28.51,--,28050000.00
21-Dec-18,"6,616.44",29.1,--,27300000.00
20-Dec-18,"6,837.30",30.07,--,27300000.00
19-Dec-18,"6,887.59",30.29,--,26550000.00
18-Dec-18,"6,959.86",30.61,--,26550000.00
17-Dec-18,"6,841.15",30.09,0.06,27200000.00
14-Dec-18,"6,890.95",30.37,--,27200000.00
13-Dec-18,"6,969.73",30.71,--,27700000.00
