As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
27-Mar-19,"1,169.85",149.06,--,5850000.00
26-Mar-19,"1,170.22",149.11,--,5850000.00
25-Mar-19,"1,160.04",147.82,--,5850000.00
22-Mar-19,"1,157.97",147.56,--,5850000.00
21-Mar-19,"1,186.24",151.16,--,5850000.00
20-Mar-19,"1,172.23",149.38,0.64,5850000.00
19-Mar-19,"1,178.80",150.86,--,5800000.00
18-Mar-19,"1,182.48",151.34,--,5950000.00
15-Mar-19,"1,173.51",150.19,--,5950000.00
14-Mar-19,"1,172.94",150.12,--,5950000.00
13-Mar-19,"1,176.42",150.57,--,5950000.00
12-Mar-19,"1,167.49",149.43,--,5950000.00
11-Mar-19,"1,173.47",150.2,--,5850000.00
8-Mar-19,"1,160.76",148.58,--,5850000.00
7-Mar-19,"1,163.04",148.87,--,5850000.00
6-Mar-19,"1,170.48",149.82,--,5850000.00
5-Mar-19,"1,180.72",151.13,--,5850000.00
4-Mar-19,"1,186.87",151.92,--,5850000.00
1-Mar-19,"1,193.54",152.78,--,5850000.00
28-Feb-19,"1,188.56",152.14,--,5850000.00
27-Feb-19,"1,192.51",152.65,--,5850000.00
26-Feb-19,"1,188.30",152.11,--,5900000.00
25-Feb-19,"1,191.00",152.46,--,5900000.00
22-Feb-19,"1,187.06",151.96,--,5900000.00
21-Feb-19,"1,178.39",150.86,--,5900000.00
20-Feb-19,"1,182.83",151.43,--,5900000.00
19-Feb-19,"1,176.28",150.59,--,5900000.00
15-Feb-19,"1,176.44",150.62,--,6000000.00
14-Feb-19,"1,161.02",148.65,--,6000000.00
13-Feb-19,"1,165.49",149.22,--,6000000.00
12-Feb-19,"1,159.23",148.43,--,6050000.00
11-Feb-19,"1,141.05",146.1,--,6050000.00
8-Feb-19,"1,135.65",145.42,--,6100000.00
7-Feb-19,"1,132.67",145.04,--,6100000.00
6-Feb-19,"1,141.16",146.13,--,6200000.00
5-Feb-19,"1,141.47",146.17,--,6200000.00
4-Feb-19,"1,131.53",144.9,--,6200000.00
