As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
26-Mar-19,"37,798.79",229.79,--,15550000.00
25-Mar-19,"37,579.26",228.46,--,15550000.00
22-Mar-19,"37,462.09",227.76,--,15550000.00
21-Mar-19,"38,387.10",233.37,--,15200000.00
20-Mar-19,"37,905.60",230.45,0,15100000.00
19-Mar-19,"37,949.72",230.72,--,15150000.00
18-Mar-19,"37,626.32",228.66,--,14900000.00
15-Mar-19,"37,917.00",230.54,--,15400000.00
14-Mar-19,"37,604.89",228.65,--,15350000.00
13-Mar-19,"37,575.74",228.48,--,14400000.00
12-Mar-19,"37,289.20",226.74,--,14500000.00
11-Mar-19,"37,049.10",225.28,--,14500000.00
8-Mar-19,"36,567.53",222.36,--,14850000.00
7-Mar-19,"36,664.00",222.95,--,14950000.00
6-Mar-19,"36,868.45",224.19,--,14800000.00
5-Mar-19,"37,387.15",227.35,--,14850000.00
4-Mar-19,"37,459.02",227.79,--,14700000.00
1-Mar-19,"37,863.26",230.25,--,14600000.00
28-Feb-19,"37,188.56",226.15,--,14550000.00
27-Feb-19,"37,080.30",225.5,--,14550000.00
26-Feb-19,"36,867.24",224.2,--,14500000.00
25-Feb-19,"37,168.75",226.04,--,14500000.00
22-Feb-19,"36,925.50",224.57,--,14350000.00
21-Feb-19,"36,738.73",223.43,--,14300000.00
20-Feb-19,"36,872.31",224.25,--,14300000.00
19-Feb-19,"36,699.44",223.2,--,14250000.00
15-Feb-19,"36,793.39",223.78,--,14250000.00
14-Feb-19,"36,247.17",220.46,--,14250000.00
13-Feb-19,"36,309.47",220.84,--,13600000.00
12-Feb-19,"36,383.21",221.29,--,13450000.00
11-Feb-19,"35,847.32",218.04,--,13400000.00
8-Feb-19,"35,496.93",215.92,--,13400000.00
7-Feb-19,"35,284.21",214.63,--,13350000.00
6-Feb-19,"35,549.81",216.24,--,13350000.00
5-Feb-19,"35,449.95",215.64,--,13250000.00
4-Feb-19,"35,307.51",214.78,--,13000000.00
1-Feb-19,"35,243.32",214.39,--,13000000.00
31-Jan-19,"35,388.61",215.28,--,12900000.00
30-Jan-19,"34,973.37",212.76,--,12950000.00
29-Jan-19,"34,112.50",207.53,--,13800000.00
28-Jan-19,"34,190.49",208,--,13800000.00
25-Jan-19,"34,713.06",211.19,--,13650000.00
24-Jan-19,"34,701.92",211.12,--,13600000.00
23-Jan-19,"34,490.02",209.83,--,13550000.00
22-Jan-19,"34,483.39",209.79,--,13500000.00
18-Jan-19,"34,706.06",211.16,--,13400000.00
17-Jan-19,"34,232.19",208.28,--,13400000.00
16-Jan-19,"33,821.97",205.79,--,13350000.00
15-Jan-19,"33,792.61",205.61,--,13350000.00
14-Jan-19,"33,014.65",200.89,--,13350000.00
11-Jan-19,"33,405.17",203.27,--,13300000.00
10-Jan-19,"33,554.52",204.18,--,13350000.00
9-Jan-19,"33,312.96",202.71,--,13350000.00
8-Jan-19,"32,631.26",198.57,--,13350000.00
7-Jan-19,"32,211.56",196.02,--,13350000.00
4-Jan-19,"32,113.25",195.43,--,13400000.00
3-Jan-19,"30,977.80",188.53,--,13450000.00
2-Jan-19,"31,980.26",194.63,--,13450000.00
31-Dec-18,"32,826.37",199.77,--,13300000.00
28-Dec-18,"32,356.68",196.93,--,13350000.00
27-Dec-18,"32,232.18",196.17,--,13350000.00
26-Dec-18,"31,751.10",193.25,--,13300000.00
24-Dec-18,"30,197.54",183.8,--,13400000.00
21-Dec-18,"31,012.19",188.76,--,13550000.00
20-Dec-18,"31,481.51",191.62,--,14550000.00
19-Dec-18,"32,250.53",196.3,--,14650000.00
18-Dec-18,"32,693.05",198.99,--,14650000.00
17-Dec-18,"32,616.84",198.53,0.29,14350000.00
14-Dec-18,"33,482.23",204.11,--,14350000.00
13-Dec-18,"34,285.25",209,--,14150000.00
12-Dec-18,"34,461.42",210.08,--,14200000.00
11-Dec-18,"34,142.21",208.13,--,14250000.00
10-Dec-18,"33,986.37",207.19,--,14250000.00
7-Dec-18,"33,602.42",204.85,--,14250000.00
6-Dec-18,"34,628.51",211.11,--,14300000.00
4-Dec-18,"34,659.02",211.3,--,14300000.00
3-Dec-18,"35,877.14",218.73,--,14200000.00
30-Nov-18,"35,505.62",216.47,--,14200000.00
29-Nov-18,"35,178.65",214.48,--,14200000.00
28-Nov-18,"35,017.06",213.5,--,14000000.00
27-Nov-18,"33,971.73",207.13,--,14150000.00
26-Nov-18,"33,830.38",206.27,--,14150000.00
23-Nov-18,"33,438.35",203.91,--,14150000.00
21-Nov-18,"33,414.60",203.76,--,14100000.00
20-Nov-18,"33,206.90",202.51,--,14150000.00
19-Nov-18,"33,462.12",204.05,--,14050000.00
16-Nov-18,"34,674.28",211.43,--,14000000.00
15-Nov-18,"34,192.21",208.48,--,13950000.00
14-Nov-18,"33,578.98",204.77,--,13750000.00
13-Nov-18,"33,778.72",205.97,--,13800000.00
12-Nov-18,"34,045.08",207.61,--,13750000.00
9-Nov-18,"35,238.47",214.84,--,13800000.00
8-Nov-18,"35,620.82",217.16,--,13700000.00
7-Nov-18,"35,369.18",215.63,--,13600000.00
6-Nov-18,"34,552.53",210.68,--,13600000.00
5-Nov-18,"34,264.51",208.91,--,13600000.00
2-Nov-18,"34,270.82",208.96,--,13450000.00
1-Nov-18,"34,315.05",209.22,--,13450000.00
