As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
26-Mar-19,"12,649.79",153.41,--,2500000.00
25-Mar-19,"12,526.07",151.91,--,2500000.00
22-Mar-19,"12,566.85",152.41,--,2500000.00
21-Mar-19,"12,810.88",155.37,--,2500000.00
20-Mar-19,"12,709.46",154.14,0.56,2500000.00
19-Mar-19,"12,771.82",155.46,--,2500000.00
18-Mar-19,"12,648.05",153.97,--,2500000.00
15-Mar-19,"12,597.25",153.38,--,2600000.00
14-Mar-19,"12,565.63",153,--,2600000.00
13-Mar-19,"12,663.33",154.13,--,2600000.00
12-Mar-19,"12,572.41",153.03,--,2600000.00
11-Mar-19,"12,491.87",152.05,--,2600000.00
8-Mar-19,"12,389.49",150.81,--,2600000.00
7-Mar-19,"12,438.04",151.41,--,2600000.00
6-Mar-19,"12,498.79",152.14,--,2600000.00
5-Mar-19,"12,814.70",155.98,--,2600000.00
4-Mar-19,"12,852.11",156.44,--,2600000.00
1-Mar-19,"12,928.14",157.36,--,2600000.00
28-Feb-19,"12,711.42",154.73,--,2600000.00
27-Feb-19,"12,543.45",152.69,--,2600000.00
26-Feb-19,"12,503.88",152.22,--,2600000.00
25-Feb-19,"12,489.96",152.05,--,2600000.00
22-Feb-19,"12,477.90",151.91,--,2600000.00
21-Feb-19,"12,278.52",149.48,--,2600000.00
20-Feb-19,"12,397.11",150.93,--,2600000.00
19-Feb-19,"12,476.25",151.89,--,2600000.00
15-Feb-19,"12,516.62",152.39,--,2600000.00
14-Feb-19,"12,340.12",150.24,--,2600000.00
13-Feb-19,"12,234.60",148.96,--,2600000.00
12-Feb-19,"12,193.24",148.46,--,2600000.00
11-Feb-19,"11,995.42",146.05,--,2600000.00
8-Feb-19,"12,030.46",146.48,--,2650000.00
7-Feb-19,"11,950.26",145.51,--,2650000.00
6-Feb-19,"12,159.82",148.06,--,2650000.00
5-Feb-19,"12,195.39",148.49,--,2650000.00
4-Feb-19,"12,162.95",148.1,--,2650000.00
1-Feb-19,"12,142.43",147.85,--,2650000.00
31-Jan-19,"12,063.72",146.9,--,2650000.00
30-Jan-19,"11,923.25",145.19,--,2650000.00
