As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
27-Mar-19,"2,433.97",188.47,--,21500000.00
26-Mar-19,"2,453.25",189.96,--,21400000.00
25-Mar-19,"2,445.34",189.35,--,21500000.00
22-Mar-19,"2,454.92",190.1,--,21600000.00
21-Mar-19,"2,515.40",194.78,--,21600000.00
20-Mar-19,"2,461.60",190.62,0.4,21550000.00
19-Mar-19,"2,455.44",190.55,--,21450000.00
18-Mar-19,"2,445.46",189.78,--,21450000.00
15-Mar-19,"2,440.81",189.42,--,21500000.00
14-Mar-19,"2,422.73",188.02,--,21500000.00
13-Mar-19,"2,424.66",188.18,--,21500000.00
12-Mar-19,"2,410.87",187.11,--,21550000.00
11-Mar-19,"2,396.08",185.97,--,21550000.00
8-Mar-19,"2,342.57",181.83,--,21550000.00
7-Mar-19,"2,342.43",181.82,--,21600000.00
6-Mar-19,"2,366.69",183.7,--,21500000.00
5-Mar-19,"2,379.10",184.66,--,21500000.00
4-Mar-19,"2,377.80",184.56,--,21550000.00
1-Mar-19,"2,381.13",184.83,--,21550000.00
28-Feb-19,"2,363.27",183.45,--,21550000.00
27-Feb-19,"2,372.68",184.18,--,21550000.00
26-Feb-19,"2,374.74",184.34,--,21550000.00
25-Feb-19,"2,371.94",184.13,--,21600000.00
22-Feb-19,"2,358.57",183.1,--,21600000.00
21-Feb-19,"2,328.21",180.75,--,21650000.00
20-Feb-19,"2,333.27",181.14,--,21600000.00
19-Feb-19,"2,333.29",181.14,--,21700000.00
15-Feb-19,"2,329.95",180.89,--,21650000.00
14-Feb-19,"2,320.59",180.17,--,21650000.00
13-Feb-19,"2,315.66",179.79,--,21450000.00
12-Feb-19,"2,316.79",179.88,--,21450000.00
11-Feb-19,"2,283.39",177.29,--,21450000.00
8-Feb-19,"2,284.63",177.39,--,21450000.00
7-Feb-19,"2,273.38",176.52,--,21500000.00
6-Feb-19,"2,308.83",179.28,--,21500000.00
5-Feb-19,"2,309.89",179.36,--,21450000.00
4-Feb-19,"2,288.75",177.72,--,21450000.00
1-Feb-19,"2,248.52",174.61,--,21450000.00
31-Jan-19,"2,243.45",174.2,--,21450000.00
30-Jan-19,"2,214.65",171.97,--,21400000.00
29-Jan-19,"2,147.86",166.79,--,21400000.00
28-Jan-19,"2,174.24",168.84,--,21400000.00
25-Jan-19,"2,204.53",171.19,--,21550000.00
24-Jan-19,"2,169.00",168.44,--,21550000.00
23-Jan-19,"2,150.94",167.04,--,21600000.00
22-Jan-19,"2,144.90",166.57,--,21650000.00
18-Jan-19,"2,187.86",169.91,--,21600000.00
17-Jan-19,"2,156.53",167.48,--,21600000.00
16-Jan-19,"2,141.01",166.28,--,21600000.00
15-Jan-19,"2,141.47",166.32,--,21650000.00
14-Jan-19,"2,100.85",163.17,--,21700000.00
11-Jan-19,"2,120.84",164.72,--,21700000.00
10-Jan-19,"2,125.15",165.06,--,21700000.00
9-Jan-19,"2,118.84",164.57,--,21750000.00
8-Jan-19,"2,097.42",162.91,--,21800000.00
7-Jan-19,"2,074.74",161.15,--,21800000.00
4-Jan-19,"2,058.01",159.86,--,21900000.00
3-Jan-19,"1,968.04",152.88,--,21900000.00
2-Jan-19,"2,063.19",160.27,--,21900000.00
31-Dec-18,"2,056.70",159.77,--,21850000.00
28-Dec-18,"2,043.62",158.76,--,21850000.00
27-Dec-18,"2,047.57",159.05,--,21800000.00
26-Dec-18,"2,034.61",158.04,--,21900000.00
24-Dec-18,"1,914.06",148.7,--,21850000.00
21-Dec-18,"1,962.05",152.28,--,21850000.00
20-Dec-18,"2,027.84",157.39,--,21900000.00
19-Dec-18,"2,062.98",160.11,--,21900000.00
18-Dec-18,"2,109.37",163.71,--,21650000.00
17-Dec-18,"2,085.52",161.86,0.34,21450000.00
14-Dec-18,"2,137.57",166.25,--,21450000.00
13-Dec-18,"2,187.17",170.1,--,21500000.00
12-Dec-18,"2,184.69",169.91,--,21200000.00
11-Dec-18,"2,162.81",168.22,--,21250000.00
10-Dec-18,"2,156.83",167.75,--,21400000.00
7-Dec-18,"2,125.84",165.35,--,21400000.00
6-Dec-18,"2,201.32",171.21,--,21400000.00
4-Dec-18,"2,189.31",170.29,--,21450000.00
3-Dec-18,"2,277.33",177.12,--,21450000.00
30-Nov-18,"2,237.93",174.07,--,21450000.00
29-Nov-18,"2,215.77",172.35,--,21400000.00
28-Nov-18,"2,225.08",173.08,--,21450000.00
27-Nov-18,"2,152.90",167.47,--,21500000.00
26-Nov-18,"2,154.15",167.57,--,21500000.00
23-Nov-18,"2,105.11",163.77,--,21500000.00
21-Nov-18,"2,122.90",165.16,--,21500000.00
20-Nov-18,"2,103.47",163.65,--,21700000.00
19-Nov-18,"2,136.63",166.23,--,21700000.00
16-Nov-18,"2,226.66",173.22,--,21700000.00
15-Nov-18,"2,233.07",173.72,--,21950000.00
14-Nov-18,"2,183.63",169.88,--,22100000.00
13-Nov-18,"2,202.37",171.34,--,22100000.00
12-Nov-18,"2,198.82",171.07,--,22100000.00
9-Nov-18,"2,277.00",177.15,--,22250000.00
8-Nov-18,"2,318.77",180.4,--,22250000.00
7-Nov-18,"2,330.75",181.33,--,22250000.00
6-Nov-18,"2,267.27",176.4,--,22250000.00
5-Nov-18,"2,251.45",175.17,--,22300000.00
2-Nov-18,"2,264.65",176.21,--,22300000.00
1-Nov-18,"2,307.87",179.57,--,22350000.00
31-Oct-18,"2,283.41",177.63,--,22450000.00
30-Oct-18,"2,225.88",173.16,--,22500000.00
29-Oct-18,"2,189.13",170.31,--,22500000.00
26-Oct-18,"2,234.29",173.82,--,22500000.00
25-Oct-18,"2,281.44",177.49,--,22500000.00
24-Oct-18,"2,208.46",171.82,--,22450000.00
23-Oct-18,"2,319.15",180.43,--,22350000.00
22-Oct-18,"2,325.72",180.94,--,22350000.00
19-Oct-18,"2,307.02",179.5,--,22350000.00
18-Oct-18,"2,315.12",180.13,--,22500000.00
17-Oct-18,"2,366.74",184.14,--,22350000.00
16-Oct-18,"2,376.96",184.94,--,22500000.00
15-Oct-18,"2,306.46",179.46,--,22450000.00
12-Oct-18,"2,338.88",181.99,--,22350000.00
11-Oct-18,"2,275.40",177.05,--,22450000.00
10-Oct-18,"2,294.55",178.54,--,22550000.00
9-Oct-18,"2,406.21",187.23,--,22650000.00
8-Oct-18,"2,402.01",186.91,--,22650000.00
5-Oct-18,"2,428.00",188.93,--,22650000.00
4-Oct-18,"2,458.39",191.3,--,22650000.00
3-Oct-18,"2,506.02",195.01,--,22650000.00
2-Oct-18,"2,493.22",194.01,--,22600000.00
1-Oct-18,"2,497.12",194.32,--,22550000.00
28-Sep-18,"2,492.64",193.98,--,22550000.00
27-Sep-18,"2,487.48",193.58,--,22550000.00
26-Sep-18,"2,468.64",192.11,0.37,22600000.00
25-Sep-18,"2,477.00",193.14,--,22650000.00
24-Sep-18,"2,475.25",193.01,--,22650000.00
21-Sep-18,"2,460.64",191.87,--,23050000.00
20-Sep-18,"2,472.58",192.81,--,23050000.00
19-Sep-18,"2,444.75",190.64,--,22650000.00
18-Sep-18,"2,449.20",190.99,--,22650000.00
17-Sep-18,"2,435.19",189.9,--,22650000.00
14-Sep-18,"2,473.54",192.89,--,22650000.00
13-Sep-18,"2,472.07",192.78,--,22650000.00
12-Sep-18,"2,443.73",190.58,--,22700000.00
11-Sep-18,"2,458.43",191.72,--,22700000.00
10-Sep-18,"2,439.21",190.23,--,22700000.00
7-Sep-18,"2,432.41",189.71,--,22700000.00
6-Sep-18,"2,439.47",190.26,--,22700000.00
5-Sep-18,"2,464.90",192.24,--,22800000.00
4-Sep-18,"2,501.94",195.12,--,22800000.00
31-Aug-18,"2,510.73",195.82,--,22800000.00
30-Aug-18,"2,507.13",195.54,--,22800000.00
29-Aug-18,"2,512.18",195.93,--,22800000.00
28-Aug-18,"2,488.08",194.06,--,22800000.00
27-Aug-18,"2,481.82",193.57,--,22800000.00
24-Aug-18,"2,457.29",191.67,--,22800000.00
23-Aug-18,"2,429.79",189.53,--,22800000.00
