As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 27, 2019","4,149.00",29.76,--,"16,750,000.00"
"Mar 26, 2019","4,159.02",29.83,--,"17,050,000.00"
"Mar 25, 2019","4,110.14",29.48,--,"17,050,000.00"
"Mar 22, 2019","4,109.49",29.48,--,"17,050,000.00"
"Mar 21, 2019","4,149.65",29.76,--,"17,100,000.00"
"Mar 20, 2019","4,086.82",29.32,0.17,"17,050,000.00"
"Mar 19, 2019","4,096.08",29.56,--,"17,050,000.00"
"Mar 18, 2019","4,126.75",29.78,--,"17,000,000.00"
"Mar 15, 2019","4,119.16",29.72,--,"15,850,000.00"
"Mar 14, 2019","4,084.10",29.47,--,"15,850,000.00"
"Mar 13, 2019","4,085.94",29.48,--,"15,500,000.00"
"Mar 12, 2019","4,070.09",29.37,--,"15,500,000.00"
"Mar 11, 2019","4,067.54",29.35,--,"16,250,000.00"
"Mar 08, 2019","4,001.36",28.88,--,"16,250,000.00"
"Mar 07, 2019","4,007.66",28.92,--,"16,250,000.00"
"Mar 06, 2019","4,015.05",28.98,--,"16,450,000.00"
"Mar 05, 2019","4,039.44",29.15,--,"16,600,000.00"
"Mar 04, 2019","4,068.77",29.36,--,"16,600,000.00"
"Mar 01, 2019","4,114.59",29.70,--,"16,700,000.00"
"Feb 28, 2019","4,113.82",29.69,--,"16,700,000.00"
"Feb 27, 2019","4,129.76",29.81,--,"16,550,000.00"
"Feb 26, 2019","4,116.59",29.71,--,"16,600,000.00"
"Feb 25, 2019","4,125.57",29.78,--,"16,750,000.00"
"Feb 22, 2019","4,128.95",29.80,--,"16,750,000.00"
"Feb 21, 2019","4,085.99",29.49,--,"16,850,000.00"
"Feb 20, 2019","4,103.31",29.62,--,"16,800,000.00"
"Feb 19, 2019","4,072.05",29.39,--,"16,800,000.00"
"Feb 15, 2019","4,047.24",29.21,--,"16,800,000.00"
"Feb 14, 2019","3,955.74",28.55,--,"16,800,000.00"
"Feb 13, 2019","3,952.99",28.53,--,"16,550,000.00"
"Feb 12, 2019","3,945.51",28.48,--,"16,750,000.00"
"Feb 11, 2019","3,907.13",28.20,--,"16,800,000.00"
"Feb 08, 2019","3,883.27",28.03,--,"16,600,000.00"
"Feb 07, 2019","3,828.10",27.63,--,"16,700,000.00"
"Feb 06, 2019","3,866.98",27.92,--,"16,700,000.00"
"Feb 05, 2019","3,859.68",27.86,--,"16,650,000.00"
"Feb 04, 2019","3,878.72",28.00,--,"16,300,000.00"
"Feb 01, 2019","3,884.86",28.05,--,"16,100,000.00"
"Jan 31, 2019","3,886.90",28.06,--,"16,150,000.00"
"Jan 30, 2019","3,823.21",27.60,--,"16,050,000.00"
"Jan 29, 2019","3,828.63",27.64,--,"15,800,000.00"
"Jan 28, 2019","3,857.66",27.85,--,"15,900,000.00"
"Jan 25, 2019","3,889.21",28.08,--,"16,000,000.00"
"Jan 24, 2019","3,873.12",27.96,--,"16,200,000.00"
"Jan 23, 2019","3,870.92",27.95,--,"16,200,000.00"
"Jan 22, 2019","3,838.40",27.71,--,"16,200,000.00"
"Jan 18, 2019","3,886.95",28.06,--,"16,200,000.00"
"Jan 17, 2019","3,836.28",27.70,--,"16,400,000.00"
"Jan 16, 2019","3,839.21",27.72,--,"16,350,000.00"
"Jan 15, 2019","3,858.45",27.86,--,"16,350,000.00"
"Jan 14, 2019","3,836.78",27.70,--,"16,500,000.00"
