14-mar-2019,,,,,,,,,,,,,,,
iShares 20+ Year Treasury Bond ETF,,,,,,,,,,,,,,,
Inception Date,22-jul-2002,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 10,186,996,785.75",,,,,,,,,,,,,,
Number of Securities,34.00,,,,,,,,,,,,,,
Share,"83,800,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nombre,Clase de activo,Peso (%),Precio,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Cupón (%),Plazo,YTM (%),Yield to Call (%),Yield to Worst (%),Duración,Par Value
TREASURY BOND,Fixed Income,9.20,90.38,"932,989,540.57","932,989,540.57",Bonos del Tesoro,BVVT273,US912810RK60,2.50,15-feb-2045,3.04,--,3.04,18.34,"1,030,183,500.00"
TREASURY BOND,Fixed Income,7.50,90.02,"760,606,159.47","760,606,159.47",Bonos del Tesoro,BD2C0D7,US912810RQ31,2.50,15-feb-2046,3.05,--,3.05,18.79,"843,151,500.00"
TREASURY BOND,Fixed Income,6.72,99.47,"680,741,927.25","680,741,927.25",Bonos del Tesoro,BYQP1M5,US912810RP57,3.00,15-nov-2045,3.03,--,3.03,17.88,"677,659,000.00"
TREASURY BOND,Fixed Income,6.43,101.69,"652,149,941.18","652,149,941.18",Bonos del Tesoro,BPYD753,US912810RH32,3.13,15-ago-2044,3.03,--,3.03,17.33,"639,860,900.00"
TREASURY BOND,Fixed Income,6.41,97.49,"650,204,364.44","650,204,364.44",Bonos del Tesoro,B8W8CX4,US912810RB61,2.88,15-may-2043,3.02,--,3.02,16.93,"660,526,500.00"
TREASURY BOND,Fixed Income,5.89,89.95,"597,244,054.47","597,244,054.47",Bonos del Tesoro,BYZ2TS9,US912810RS96,2.50,15-may-2046,3.05,--,3.05,18.76,"657,967,600.00"
TREASURY BOND,Fixed Income,4.83,121.03,"489,363,416.65","489,363,416.65",Bonos del Tesoro,B5M0864,US912810QL52,4.25,15-nov-2040,2.93,--,2.93,14.62,"399,726,900.00"
TREASURY BOND,Fixed Income,4.62,94.37,"468,401,779.05","468,401,779.05",Bonos del Tesoro,BF53YK6,US912810RY64,2.75,15-ago-2047,3.05,--,3.05,19.05,"495,263,900.00"
TREASURY BOND,Fixed Income,4.11,96.97,"416,894,051.52","416,894,051.52",Bonos del Tesoro,BZ1BP67,US912810RU43,2.88,15-nov-2046,3.04,--,3.04,18.44,"425,776,400.00"
TREASURY BOND,Fixed Income,3.90,112.75,"395,517,464.05","395,517,464.05",Bonos del Tesoro,BGK9QZ5,US912810RD28,3.75,15-nov-2043,3.01,--,3.01,16.27,"347,009,600.00"
TREASURY BOND,Fixed Income,3.72,110.54,"377,325,638.06","377,325,638.06",Bonos del Tesoro,BCZQWC2,US912810RC45,3.63,15-ago-2043,3.01,--,3.01,16.41,"340,529,600.00"
TREASURY BOND,Fixed Income,3.59,115.07,"364,083,153.18","364,083,153.18",Bonos del Tesoro,B50PG34,US912810QK79,3.88,15-ago-2040,2.92,--,2.92,14.90,"315,597,200.00"
TREASURY BOND,Fixed Income,3.51,97.14,"356,095,722.87","356,095,722.87",Bonos del Tesoro,BYSJ1Z8,US912810RN00,2.88,15-ago-2045,3.03,--,3.03,18.06,"365,784,800.00"
TREASURY BOND,Fixed Income,3.42,99.28,"347,007,858.80","347,007,858.80",Bonos del Tesoro,BF0T9Z9,US912810RX81,3.00,15-may-2047,3.04,--,3.04,18.48,"346,095,800.00"
