14-mar-2019,,,,,,,,,,,,,,,
iShares Core MSCI EAFE ETF,,,,,,,,,,,,,,,
Inception Date,18-oct-2012,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 58,729,535,154.33",,,,,,,,,,,,,,
Number of Securities,"2,476.00",,,,,,,,,,,,,,
Share,"964,800,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
NESN,NESTLE SA,Equity,1.79,94.18,"11,060,633.00","1,041,700,315.40","1,041,700,315.40",Productos básicos de consumo,7123870,CH0038863350,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
NOVN,NOVARTIS AG,Equity,1.24,92.13,"7,832,028.00","721,564,907.28","721,564,907.28",Cuidado de la Salud,7103065,CH0012005267,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
ROG,ROCHE HOLDING PAR AG,Equity,1.19,273.58,"2,541,729.00","695,372,720.59","695,372,720.59",Cuidado de la Salud,7110388,CH0012032048,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
HSBA,HSBC HOLDINGS PLC,Equity,1.02,8.24,"72,330,004.00","596,055,158.52","596,055,158.52",Financieros,0540528,GB0005405286,London Stock Exchange,Reino Unido,USD,GBP,0.75
BP.,BP PLC,Equity,0.91,7.30,"72,369,310.00","528,608,721.45","528,608,721.45",Energía,0798059,GB0007980591,London Stock Exchange,Reino Unido,USD,GBP,0.75
RDSA,ROYAL DUTCH SHELL PLC,Equity,0.89,31.56,"16,375,557.00","516,819,260.15","516,819,260.15",Energía,B03MLX2,GB00B03MLX29,London Stock Exchange,Reino Unido,USD,GBP,0.75
FP,TOTAL SA,Equity,0.87,58.16,"8,698,674.00","505,929,254.40","505,929,254.40",Energía,B15C557,FR0000120271,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
7203,TOYOTA MOTOR CORP,Equity,0.83,58.57,"8,213,800.00","481,049,887.22","481,049,887.22",Consumo discrecional,6900643,JP3633400001,Tokyo Stock Exchange,Japón,USD,JPY,111.72
1299,AIA GROUP LTD,Equity,0.75,10.03,"43,824,600.00","439,644,488.18","439,644,488.18",Financieros,B4TX8S1,HK0000069689,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.85
RDSB,ROYAL DUTCH SHELL PLC CLASS B,Equity,0.74,31.75,"13,576,574.00","431,006,941.54","431,006,941.54",Energía,B03MM40,GB00B03MM408,London Stock Exchange,Reino Unido,USD,GBP,0.75
SAP,SAP,Equity,0.67,109.65,"3,551,541.00","389,439,433.77","389,439,433.77",Tecnología de la Información,4846288,DE0007164600,Xetra,Alemania,USD,EUR,0.88
AZN,ASTRAZENECA PLC,Equity,0.66,83.80,"4,589,444.00","384,606,637.57","384,606,637.57",Cuidado de la Salud,0989529,GB0009895292,London Stock Exchange,Reino Unido,USD,GBP,0.75
SAN,SANOFI SA,Equity,0.62,88.57,"4,065,940.00","360,123,385.75","360,123,385.75",Cuidado de la Salud,5671735,FR0000120578,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
MC,LVMH,Equity,0.62,356.77,"1,007,976.00","359,615,617.68","359,615,617.68",Consumo discrecional,4061412,FR0000121014,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
DGE,DIAGEO PLC,Equity,0.62,40.53,"8,867,381.00","359,363,321.98","359,363,321.98",Productos básicos de consumo,0237400,GB0002374006,London Stock Exchange,Reino Unido,USD,GBP,0.75
GSK,GLAXOSMITHKLINE PLC,Equity,0.62,20.04,"17,890,483.00","358,550,154.25","358,550,154.25",Cuidado de la Salud,0925288,GB0009252882,London Stock Exchange,Reino Unido,USD,GBP,0.75
ALV,ALLIANZ,Equity,0.59,225.41,"1,532,863.00","345,525,300.68","345,525,300.68",Financieros,5231485,DE0008404005,Xetra,Alemania,USD,EUR,0.88
NOVO B,NOVO NORDISK CLASS B,Equity,0.57,50.44,"6,591,380.00","332,489,516.02","332,489,516.02",Cuidado de la Salud,BHC8X90,DK0060534915,Omx Nordic Exchange Copenhagen A/S,Dinamarca,USD,DKK,6.60
BATS,BRITISH AMERICAN TOBACCO PLC,Equity,0.57,39.83,"8,322,705.00","331,485,645.81","331,485,645.81",Productos básicos de consumo,0287580,GB0002875804,London Stock Exchange,Reino Unido,USD,GBP,0.75
CBA,COMMONWEALTH BANK OF AUSTRALIA,Equity,0.56,51.49,"6,369,863.00","327,998,428.37","327,998,428.37",Financieros,6215035,AU000000CBA7,Asx - All Markets,Australia,USD,AUD,1.42
UNA,UNILEVER DUTCH CERTIFICATES NV,Equity,0.53,56.17,"5,542,087.00","311,310,446.26","311,310,446.26",Productos básicos de consumo,B12T3J1,NL0000009355,Euronext Amsterdam,Holanda,USD,EUR,0.88
SIE,SIEMENS N AG,Equity,0.52,109.47,"2,745,144.00","300,518,539.69","300,518,539.69",Industriales,5727973,DE0007236101,Xetra,Alemania,USD,EUR,0.88
9984,SOFTBANK GROUP CORP,Equity,0.50,96.63,"2,995,800.00","289,470,649.84","289,470,649.84",Comunicación,6770620,JP3436100006,Tokyo Stock Exchange,Japón,USD,JPY,111.72
SAN,BANCO SANTANDER SA,Equity,0.49,4.86,"58,694,540.00","285,011,763.20","285,011,763.20",Financieros,5705946,ES0113900J37,Bolsa De Madrid,España,USD,EUR,0.88
AIR,AIRBUS GROUP,Equity,0.48,132.26,"2,111,923.00","279,328,532.58","279,328,532.58",Industriales,4012250,NL0000235190,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
BHP,BHP GROUP LTD,Equity,0.48,26.24,"10,636,320.00","279,063,192.03","279,063,192.03",Materiales,6144690,AU000000BHP4,Asx - All Markets,Australia,USD,AUD,1.42
ASML,ASML HOLDING NV,Equity,0.47,183.31,"1,490,194.00","273,173,083.15","273,173,083.15",Tecnología de la Información,B929F46,NL0010273215,Euronext Amsterdam,Holanda,USD,EUR,0.88
BAYN,BAYER AG,Equity,0.45,76.63,"3,387,606.00","259,603,106.75","259,603,106.75",Cuidado de la Salud,5069211,DE000BAY0017,Xetra,Alemania,USD,EUR,0.88
