14-mar-2019,,,,,,,,,,,,,,,
iShares Core MSCI Emerging Markets ETF,,,,,,,,,,,,,,,
Inception Date,18-oct-2012,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 59,071,783,669.14",,,,,,,,,,,,,,
Number of Securities,"2,232.00",,,,,,,,,,,,,,
Share,"1,143,600,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
700,TENCENT HOLDINGS LTD,Equity,4.39,45.55,"56,484,800.00","2,573,132,883.65","2,573,132,883.65",Comunicación,BMMV2K8,KYG875721634,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
BABA,ALIBABA GROUP HOLDING ADR REPRESEN,Equity,3.94,180.36,"12,808,611.00","2,310,161,079.96","2,310,161,079.96",Consumo discrecional,BP41ZD1,US01609W1027,New York Stock Exchange Inc.,China,USD,USD,1.00
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Equity,3.15,7.59,"243,396,000.00","1,847,011,908.61","1,847,011,908.61",Tecnología de la Información,6889106,TW0002330008,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
005930,SAMSUNG ELECTRONICS LTD,Equity,3.11,38.64,"47,147,383.00","1,821,990,609.46","1,821,990,609.46",Tecnología de la Información,6771720,KR7005930003,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
NPN,NASPERS LTD,Equity,1.61,216.90,"4,343,136.00","942,011,976.24","942,011,976.24",Consumo discrecional,6622691,ZAE000015889,Johannesburg Stock Exchange,Sudáfrica,USD,ZAR,14.50
939,CHINA CONSTRUCTION BANK CORP H,Equity,1.44,0.89,"949,485,000.00","843,051,286.95","843,051,286.95",Financieros,B0LMTQ3,CNE1000002H1,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
941,CHINA MOBILE LTD,Equity,1.13,10.89,"60,624,000.00","660,303,823.59","660,303,823.59",Comunicación,6073556,HK0941009539,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
2318,PING AN INSURANCE (GROUP) CO OF CH,Equity,0.95,10.87,"51,252,000.00","557,246,632.14","557,246,632.14",Financieros,B01FLR7,CNE1000003X6,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
RELIANCE,RELIANCE INDUSTRIES LTD,Equity,0.93,19.32,"28,269,843.00","546,219,823.23","546,219,823.23",Energía,6099626,INE002A01018,National Stock Exchange Of India,India,USD,INR,69.43
1398,INDUSTRIAL AND COMMERCIAL BANK OF,Equity,0.89,0.76,"688,813,000.00","523,852,204.15","523,852,204.15",Financieros,B1G1QD8,CNE1000003G1,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
ITUB4,ITAU UNIBANCO HOLDING PREF SA,Equity,0.78,9.60,"47,830,382.00","459,180,648.73","459,180,648.73",Financieros,B037HR3,BRITUBACNPR1,XBSP,Brasil,USD,BRL,3.83
BIDU,BAIDU ADR REPTG INC CLASS A,Equity,0.78,167.74,"2,734,745.00","458,726,126.30","458,726,126.30",Comunicación,B0FXT17,US0567521085,NASDAQ,China,USD,USD,1.00
HDFC,HOUSING DEVELOPMENT FINANCE CORPOR,Equity,0.77,28.18,"16,079,471.00","453,198,729.32","453,198,729.32",Financieros,6171900,INE001A01036,National Stock Exchange Of India,India,USD,INR,69.43
VALE3,CIA VALE DO RIO DOCE SH,Equity,0.71,13.23,"31,328,583.00","414,331,806.05","414,331,806.05",Materiales,2196286,BRVALEACNOR0,XBSP,Brasil,USD,BRL,3.83
BBDC4,BANCO BRADESCO PREF SA,Equity,0.67,11.87,"33,000,202.00","391,685,364.48","391,685,364.48",Financieros,B00FM53,BRBBDCACNPR8,XBSP,Brasil,USD,BRL,3.83
3988,BANK OF CHINA LTD H,Equity,0.63,0.47,"787,938,000.00","367,372,159.06","367,372,159.06",Financieros,B154564,CNE1000001Z5,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
LKOH,NK LUKOIL,Equity,0.61,85.64,"4,146,327.00","355,082,871.13","355,082,871.13",Energía,B59SNS8,RU0009024277,Standard-Classica-Forts,Rusia,USD,RUB,65.49
INFY,INFOSYS LTD,Equity,0.60,10.20,"34,641,624.00","353,413,665.94","353,413,665.94",Tecnología de la Información,6205122,INE009A01021,National Stock Exchange Of India,India,USD,INR,69.43
000660,SK HYNIX INC,Equity,0.58,59.31,"5,750,024.00","341,038,702.04","341,038,702.04",Tecnología de la Información,6450267,KR7000660001,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
883,CNOOC LTD,Equity,0.53,1.75,"176,721,000.00","309,770,248.22","309,770,248.22",Energía,B00G0S5,HK0883013259,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
2317,HON HAI PRECISION INDUSTRY LTD,Equity,0.51,2.30,"130,225,928.00","299,626,674.03","299,626,674.03",Tecnología de la Información,6438564,TW0002317005,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
PETR4,PETROLEO BRASILEIRO PREF SA,Equity,0.49,7.35,"38,746,708.00","284,868,085.05","284,868,085.05",Energía,2684532,BRPETRACNPR6,XBSP,Brasil,USD,BRL,3.83
SBER,SBERBANK RUSSIA SPONSORED ADR REPR,Equity,0.48,12.60,"22,115,218.00","278,651,746.80","278,651,746.80",Financieros,B5SC091,US80585Y3080,London Stock Exchange,Rusia,USD,USD,1.00
TCS,TATA CONSULTANCY SERVICES LTD,Equity,0.44,28.62,"8,981,251.00","257,074,687.46","257,074,687.46",Tecnología de la Información,B01NPJ1,INE467B01029,National Stock Exchange Of India,India,USD,INR,69.43
005935,SAMSUNG ELECTRONICS NON VOTING PRE,Equity,0.43,30.85,"8,165,346.00","251,861,381.86","251,861,381.86",Tecnología de la Información,6773812,KR7005931001,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
PETR3,PETROBRAS,Equity,0.41,8.16,"29,518,879.00","240,890,312.16","240,890,312.16",Energía,2682365,BRPETRACNOR9,XBSP,Brasil,USD,BRL,3.83
AMXL,AMERICA MOVIL L,Equity,0.41,0.72,"332,677,072.00","239,759,494.92","239,759,494.92",Comunicación,2667470,MXP001691213,Bolsa Mexicana De Valores,México,USD,MXN,19.30
QNBK,QATAR NATIONAL BANK,Equity,0.38,49.16,"4,489,702.00","220,709,003.23","220,709,003.23",Financieros,6148197,QA0006929895,Qatar Exchange,Qatar,USD,QAR,3.64
386,CHINA PETROLEUM AND CHEMICAL CORP,Equity,0.36,0.84,"248,990,200.00","209,026,225.39","209,026,225.39",Energía,6291819,CNE1000002Q2,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
ABEV3,AMBEV SA,Equity,0.35,4.34,"46,580,599.00","202,392,295.68","202,392,295.68",Productos básicos de consumo,BG7ZWY7,BRABEVACNOR1,XBSP,Brasil,USD,BRL,3.83
JD,JD.COM ADR REPRESENTING INC CLASS,Equity,0.34,27.89,"7,241,299.00","201,959,829.11","201,959,829.11",Consumo discrecional,BMM27D9,US47215P1066,NASDAQ,China,USD,USD,1.00
GAZP,GAZPROM,Equity,0.34,2.33,"86,033,590.00","200,589,578.09","200,589,578.09",Energía,B59L4L7,RU0007661625,Standard-Classica-Forts,Rusia,USD,RUB,65.49
2628,CHINA LIFE INSURANCE LTD H,Equity,0.34,2.69,"73,498,000.00","198,024,535.19","198,024,535.19",Financieros,6718976,CNE1000002L3,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
AXISBANK,AXIS BANK LTD,Equity,0.33,10.67,"18,403,285.00","196,298,172.63","196,298,172.63",Financieros,BPFJHC7,INE238A01034,National Stock Exchange Of India,India,USD,INR,69.43
BBCA,BANK CENTRAL ASIA,Equity,0.32,1.92,"97,290,400.00","186,847,757.76","186,847,757.76",Financieros,B01C1P6,ID1000109507,Indonesia Stock Exchange,Indonesia,USD,IDR,"14,267.00"
NTES,NETEASE ADR INC,Equity,0.31,238.57,"768,083.00","183,241,561.31","183,241,561.31",Comunicación,2606440,US64110W1027,NASDAQ,China,USD,USD,1.00
B3SA3,B3 BRASIL BOLSA BALCAO SA,Equity,0.30,8.65,"20,473,328.00","177,165,329.54","177,165,329.54",Financieros,BG36ZK1,BRB3SAACNOR6,XBSP,Brasil,USD,BRL,3.83
