14-mar-2019,,,,,,,,,,,
iShares Core S&P 500 ETF,,,,,,,,,,,
Inception Date,15-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 169,001,161,736.76",,,,,,,,,,
Number of Securities,506.00,,,,,,,,,,
Share,"594,350,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
MSFT,MICROSOFT CORP,Equity,3.74,114.59,"54,829,217.00","6,282,879,976.03","6,282,879,976.03",Tecnología de la Información,2588173,US5949181045,NASDAQ
AAPL,APPLE INC,Equity,3.49,183.73,"31,980,528.00","5,875,782,409.44","5,875,782,409.44",Tecnología de la Información,2046251,US0378331005,NASDAQ
AMZN,AMAZON COM INC,Equity,2.92,"1,686.22","2,913,731.00","4,913,191,486.82","4,913,191,486.82",Consumo discrecional,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,1.73,170.17,"17,046,624.00","2,900,824,006.08","2,900,824,006.08",Comunicación,B7TL820,US30303M1027,NASDAQ
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.67,203.38,"13,798,973.00","2,806,435,128.74","2,806,435,128.74",Financieros,2073390,US0846707026,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.56,138.02,"19,033,882.00","2,627,056,393.64","2,627,056,393.64",Cuidado de la Salud,2475833,US4781601046,New York Stock Exchange Inc.
GOOG,ALPHABET INC CLASS C,Equity,1.54,"1,185.55","2,183,021.00","2,588,080,546.55","2,588,080,546.55",Comunicación,BYY88Y7,US02079K1079,NASDAQ
GOOGL,ALPHABET INC CLASS A,Equity,1.50,"1,192.53","2,121,250.00","2,529,654,262.50","2,529,654,262.50",Comunicación,BYVY8G0,US02079K3059,NASDAQ
JPM,JPMORGAN CHASE & CO,Equity,1.48,105.34,"23,600,773.00","2,486,105,427.82","2,486,105,427.82",Financieros,2190385,US46625H1005,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,1.44,80.44,"30,047,207.00","2,416,997,331.08","2,416,997,331.08",Energía,2326618,US30231G1022,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,1.14,154.20,"12,467,596.00","1,922,503,303.20","1,922,503,303.20",Tecnología de la Información,B2PZN04,US92826C8394,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,1.13,29.46,"64,777,634.00","1,908,349,097.64","1,908,349,097.64",Financieros,2295677,US0605051046,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.07,101.32,"17,681,370.00","1,791,476,408.40","1,791,476,408.40",Productos básicos de consumo,2704407,US7427181091,New York Stock Exchange Inc.
INTC,INTEL CORP,Equity,1.03,53.44,"32,380,299.00","1,730,403,178.56","1,730,403,178.56",Tecnología de la Información,2463247,US4581401001,NASDAQ
UNH,UNITEDHEALTH GROUP INC,Equity,1.03,253.27,"6,825,517.00","1,728,698,690.59","1,728,698,690.59",Cuidado de la Salud,2917766,US91324P1021,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,1.01,57.95,"29,324,779.00","1,699,370,943.05","1,699,370,943.05",Comunicación,2090571,US92343V1044,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,1.00,124.60,"13,560,782.00","1,689,673,437.20","1,689,673,437.20",Energía,2838555,US1667641005,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,1.00,41.19,"41,013,106.00","1,689,329,836.14","1,689,329,836.14",Cuidado de la Salud,2684703,US7170811035,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,1.00,52.74,"31,897,189.00","1,682,257,747.86","1,682,257,747.86",Tecnología de la Información,2198163,US17275R1023,NASDAQ
T,AT&T INC,Equity,0.93,30.28,"51,634,870.00","1,563,503,863.60","1,563,503,863.60",Comunicación,2831811,US00206R1023,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,0.90,50.35,"30,067,738.00","1,513,910,608.30","1,513,910,608.30",Financieros,2649100,US9497461015,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,0.89,81.49,"18,455,651.00","1,503,950,999.99","1,503,950,999.99",Cuidado de la Salud,2778844,US58933Y1055,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.88,229.51,"6,445,887.00","1,479,395,525.37","1,479,395,525.37",Tecnología de la Información,B121557,US57636Q1040,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.87,181.61,"8,016,380.00","1,455,854,771.80","1,455,854,771.80",Consumo discrecional,2434209,US4370761029,New York Stock Exchange Inc.
BA,BOEING,Equity,0.83,373.30,"3,746,650.00","1,398,624,445.00","1,398,624,445.00",Industriales,2108601,US0970231058,New York Stock Exchange Inc.
CMCSA,COMCAST CORP CLASS A,Equity,0.76,39.87,"32,221,132.00","1,284,656,532.84","1,284,656,532.84",Comunicación,2044545,US20030N1019,NASDAQ
KO,COCA-COLA,Equity,0.74,45.70,"27,187,439.00","1,242,465,962.30","1,242,465,962.30",Productos básicos de consumo,2206657,US1912161007,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.72,114.48,"10,565,053.00","1,209,487,267.44","1,209,487,267.44",Comunicación,2270726,US2546871060,New York Stock Exchange Inc.
PEP,PEPSICO INC,Equity,0.69,115.50,"10,017,923.00","1,157,070,106.50","1,157,070,106.50",Productos básicos de consumo,2681511,US7134481081,NASDAQ
C,CITIGROUP INC,Equity,0.66,64.11,"17,332,779.00","1,111,204,461.69","1,111,204,461.69",Financieros,2297907,US1729674242,New York Stock Exchange Inc.
NFLX,NETFLIX INC,Equity,0.66,358.82,"3,094,824.00","1,110,484,747.68","1,110,484,747.68",Comunicación,2857817,US64110L1061,NASDAQ
MCD,MCDONALDS CORP,Equity,0.59,182.74,"5,465,970.00","998,851,357.80","998,851,357.80",Consumo discrecional,2550707,US5801351017,New York Stock Exchange Inc.
WMT,WALMART INC,Equity,0.59,98.22,"10,103,248.00","992,341,018.56","992,341,018.56",Productos básicos de consumo,2936921,US9311421039,New York Stock Exchange Inc.
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.59,89.79,"11,025,564.00","989,985,391.56","989,985,391.56",Productos básicos de consumo,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
ABT,ABBOTT LABORATORIES,Equity,0.59,78.98,"12,464,641.00","984,457,346.18","984,457,346.18",Cuidado de la Salud,2002305,US0028241000,New York Stock Exchange Inc.
ORCL,ORACLE CORP,Equity,0.57,53.05,"18,076,396.00","958,952,807.80","958,952,807.80",Tecnología de la Información,2661568,US68389X1054,New York Stock Exchange Inc.
ADBE,ADOBE INC,Equity,0.55,267.69,"3,462,063.00","926,759,644.47","926,759,644.47",Tecnología de la Información,2008154,US00724F1012,NASDAQ
DWDP,DOWDUPONT INC,Equity,0.53,55.03,"16,281,366.00","895,963,570.98","895,963,570.98",Materiales,BYP66M4,US26078J1007,New York Stock Exchange Inc.
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.53,138.79,"6,453,496.00","895,680,709.84","895,680,709.84",Tecnología de la Información,2005973,US4592001014,New York Stock Exchange Inc.
MDT,MEDTRONIC PLC,Equity,0.53,93.33,"9,527,028.00","889,157,523.24","889,157,523.24",Cuidado de la Salud,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
CRM,SALESFORCE.COM INC,Equity,0.52,160.67,"5,429,089.00","872,291,729.63","872,291,729.63",Tecnología de la Información,2310525,US79466L3024,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Equity,0.51,165.17,"5,229,023.00","863,677,728.91","863,677,728.91",Industriales,2914734,US9078181081,New York Stock Exchange Inc.
MMM,3M,Equity,0.51,207.38,"4,131,416.00","856,773,050.08","856,773,050.08",Industriales,2595708,US88579Y1010,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,0.51,79.95,"10,667,130.00","852,837,043.50","852,837,043.50",Cuidado de la Salud,B92SR70,US00287Y1091,New York Stock Exchange Inc.
