14-mar-2019,,,,,,,,,,,
iShares Core S&P Mid-Cap ETF,,,,,,,,,,,
Inception Date,22-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 48,155,344,052.45",,,,,,,,,,
Number of Securities,399.00,,,,,,,,,,
Share,"253,600,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Equity,0.68,212.67,"1,542,368.00","328,015,402.56","328,015,402.56",Tecnología de la Información,2989356,US9892071054,NASDAQ
IEX,IDEX CORP,Equity,0.67,146.67,"2,198,974.00","322,523,516.58","322,523,516.58",Industriales,2456612,US45167R1041,New York Stock Exchange Inc.
STE,STERIS,Equity,0.62,123.55,"2,422,281.00","299,272,817.55","299,272,817.55",Cuidado de la Salud,BVVBC02,GB00BVVBC028,New York Stock Exchange Inc.
ULTI,ULTIMATE SOFTWARE GROUP INC,Equity,0.62,331.83,"896,362.00","297,439,802.46","297,439,802.46",Tecnología de la Información,2249964,US90385D1072,NASDAQ
DPZ,DOMINOS PIZZA INC,Equity,0.61,247.25,"1,192,357.00","294,810,268.25","294,810,268.25",Consumo discrecional,B01SD70,US25754A2015,New York Stock Exchange Inc.
TRMB,TRIMBLE INC,Equity,0.60,39.78,"7,199,349.00","286,390,103.22","286,390,103.22",Tecnología de la Información,2903958,US8962391004,NASDAQ
PTC,PTC INC,Equity,0.58,91.66,"3,061,429.00","280,610,582.14","280,610,582.14",Tecnología de la Información,B95N910,US69370C1009,NASDAQ
ODFL,OLD DOMINION FREIGHT LINE INC,Equity,0.58,147.70,"1,874,542.00","276,869,853.40","276,869,853.40",Industriales,2656423,US6795801009,NASDAQ
UGI,UGI CORP,Equity,0.57,54.80,"4,982,460.00","273,038,808.00","273,038,808.00",Servicios,2910118,US9026811052,New York Stock Exchange Inc.
CPT,CAMDEN PROPERTY TRUST REIT,Equity,0.56,101.38,"2,669,343.00","270,617,993.34","270,617,993.34",Bienes Raíces,2166320,US1331311027,New York Stock Exchange Inc.
LDOS,LEIDOS HOLDINGS INC,Equity,0.56,62.74,"4,292,525.00","269,313,018.50","269,313,018.50",Tecnología de la Información,BDV82B8,US5253271028,New York Stock Exchange Inc.
NVR,NVR INC,Equity,0.55,"2,722.77","97,374.00","265,127,005.98","265,127,005.98",Consumo discrecional,2637785,US62944T1051,New York Stock Exchange Inc.
Y,ALLEGHANY CORP,Equity,0.54,615.67,"425,281.00","261,832,753.27","261,832,753.27",Financieros,2016801,US0171751003,New York Stock Exchange Inc.
CGNX,COGNEX CORP,Equity,0.54,53.02,"4,932,254.00","261,508,107.08","261,508,107.08",Tecnología de la Información,2208288,US1924221039,NASDAQ
RGA,REINSURANCE GROUP OF AMERICA INC,Equity,0.54,144.27,"1,789,850.00","258,221,659.50","258,221,659.50",Financieros,2731193,US7593516047,New York Stock Exchange Inc.
LII,LENNOX INTERNATIONAL INC,Equity,0.54,248.22,"1,038,882.00","257,871,290.04","257,871,290.04",Industriales,2442053,US5261071071,New York Stock Exchange Inc.
FDS,FACTSET RESEARCH SYSTEMS INC,Equity,0.54,236.11,"1,089,839.00","257,321,886.29","257,321,886.29",Financieros,2329770,US3030751057,New York Stock Exchange Inc.
LYV,LIVE NATION ENTERTAINMENT INC,Equity,0.52,63.56,"3,964,499.00","251,983,556.44","251,983,556.44",Comunicación,B0T7YX2,US5380341090,New York Stock Exchange Inc.
MOH,MOLINA HEALTHCARE INC,Equity,0.52,140.13,"1,787,461.00","250,476,909.93","250,476,909.93",Cuidado de la Salud,2212706,US60855R1005,New York Stock Exchange Inc.
MKTX,MARKETAXESS HOLDINGS INC,Equity,0.52,231.81,"1,077,056.00","249,672,351.36","249,672,351.36",Financieros,B03Q9D0,US57060D1081,NASDAQ
OGE,OGE ENERGY CORP,Equity,0.51,42.83,"5,721,147.00","245,036,726.01","245,036,726.01",Servicios,2657802,US6708371033,New York Stock Exchange Inc.
NNN,NATIONAL RETAIL PROPERTIES REIT IN,Equity,0.51,53.43,"4,559,550.00","243,616,756.50","243,616,756.50",Bienes Raíces,2211811,US6374171063,New York Stock Exchange Inc.
TDY,TELEDYNE TECHNOLOGIES INC,Equity,0.49,227.40,"1,033,455.00","235,007,667.00","235,007,667.00",Industriales,2503477,US8793601050,New York Stock Exchange Inc.
STLD,STEEL DYNAMICS INC,Equity,0.48,35.12,"6,576,908.00","230,981,008.96","230,981,008.96",Materiales,2849472,US8581191009,NASDAQ
WRB,WR BERKLEY CORP,Equity,0.48,83.36,"2,750,117.00","229,249,753.12","229,249,753.12",Financieros,2093644,US0844231029,New York Stock Exchange Inc.
GGG,GRACO INC,Equity,0.48,47.94,"4,771,080.00","228,725,575.20","228,725,575.20",Industriales,2380443,US3841091040,New York Stock Exchange Inc.
WST,WEST PHARMACEUTICAL SERVICES INC,Equity,0.47,106.01,"2,123,580.00","225,120,715.80","225,120,715.80",Cuidado de la Salud,2950482,US9553061055,New York Stock Exchange Inc.
TYL,TYLER TECHNOLOGIES INC,Equity,0.47,201.62,"1,112,887.00","224,380,276.94","224,380,276.94",Tecnología de la Información,2909644,US9022521051,New York Stock Exchange Inc.
WEX,WEX INC,Equity,0.46,180.06,"1,235,598.00","222,481,775.88","222,481,775.88",Tecnología de la Información,B8383P2,US96208T1043,New York Stock Exchange Inc.
EWBC,EAST WEST BANCORP INC,Equity,0.46,52.74,"4,155,377.00","219,154,582.98","219,154,582.98",Financieros,2487407,US27579R1041,NASDAQ
KRC,KILROY REALTY REIT CORP,Equity,0.45,75.48,"2,887,996.00","217,985,938.08","217,985,938.08",Bienes Raíces,2495529,US49427F1084,New York Stock Exchange Inc.
RPM,RPM INTERNATIONAL INC,Equity,0.45,57.10,"3,804,482.00","217,235,922.20","217,235,922.20",Materiales,2756174,US7496851038,New York Stock Exchange Inc.
FICO,FAIR ISAAC CORP,Equity,0.45,261.24,"830,031.00","216,837,298.44","216,837,298.44",Tecnología de la Información,2330299,US3032501047,New York Stock Exchange Inc.
EXEL,EXELIXIS INC,Equity,0.44,24.76,"8,570,632.00","212,208,848.32","212,208,848.32",Cuidado de la Salud,2576941,US30161Q1040,NASDAQ
CDK,CDK GLOBAL INC,Equity,0.44,57.34,"3,691,403.00","211,665,048.02","211,665,048.02",Tecnología de la Información,BQXTWQ5,US12508E1010,NASDAQ
JLL,JONES LANG LASALLE INC,Equity,0.44,161.73,"1,306,233.00","211,257,063.09","211,257,063.09",Bienes Raíces,2040640,US48020Q1076,New York Stock Exchange Inc.
OHI,OMEGA HEALTHCARE INVESTORS REIT IN,Equity,0.44,36.69,"5,753,159.00","211,083,403.71","211,083,403.71",Bienes Raíces,2043274,US6819361006,New York Stock Exchange Inc.
CSL,CARLISLE COMPANIES INC,Equity,0.44,123.52,"1,706,925.00","210,839,376.00","210,839,376.00",Industriales,2176318,US1423391002,New York Stock Exchange Inc.
TECH,BIO TECHNE CORP,Equity,0.44,194.52,"1,082,586.00","210,584,628.72","210,584,628.72",Cuidado de la Salud,BSHZ3Q0,US09073M1045,NASDAQ
LPT,LIBERTY PROPERTY REIT TRUST,Equity,0.43,48.65,"4,237,415.00","206,150,239.75","206,150,239.75",Bienes Raíces,2513681,US5311721048,New York Stock Exchange Inc.
SCI,SERVICE,Equity,0.43,39.53,"5,187,137.00","205,047,525.61","205,047,525.61",Consumo discrecional,2797560,US8175651046,New York Stock Exchange Inc.
SBNY,SIGNATURE BANK,Equity,0.43,133.94,"1,530,253.00","204,962,086.82","204,962,086.82",Financieros,B00JQL9,US82669G1040,NASDAQ
TTC,TORO,Equity,0.42,67.39,"3,015,496.00","203,214,275.44","203,214,275.44",Industriales,2897040,US8910921084,New York Stock Exchange Inc.
HRC,HILL ROM HOLDINGS INC,Equity,0.42,104.63,"1,928,723.00","201,802,287.49","201,802,287.49",Cuidado de la Salud,2425924,US4314751029,New York Stock Exchange Inc.
TER,TERADYNE INC,Equity,0.42,39.27,"5,138,366.00","201,783,632.82","201,783,632.82",Tecnología de la Información,2884183,US8807701029,NASDAQ
NDSN,NORDSON CORP,Equity,0.41,131.23,"1,500,212.00","196,872,820.76","196,872,820.76",Industriales,2641838,US6556631025,NASDAQ
BRO,BROWN & BROWN INC,Equity,0.41,29.16,"6,723,500.00","196,057,260.00","196,057,260.00",Financieros,2692687,US1152361010,New York Stock Exchange Inc.
POST,POST HOLDINGS INC,Equity,0.41,102.36,"1,911,476.00","195,658,683.36","195,658,683.36",Productos básicos de consumo,B6T0518,US7374461041,New York Stock Exchange Inc.
CRL,CHARLES RIVER LABORATORIES INTERNA,Equity,0.40,140.99,"1,378,721.00","194,385,873.79","194,385,873.79",Cuidado de la Salud,2604336,US1598641074,New York Stock Exchange Inc.
ARW,ARROW ELECTRONICS INC,Equity,0.40,77.72,"2,498,875.00","194,212,565.00","194,212,565.00",Tecnología de la Información,2051404,US0427351004,New York Stock Exchange Inc.
MPW,MEDICAL PROPERTIES TRUST REIT INC,Equity,0.40,18.47,"10,461,385.00","193,221,780.95","193,221,780.95",Bienes Raíces,B0JL5L9,US58463J3041,New York Stock Exchange Inc.
