14-mar-2019,,,,,,,,,,,
iShares Core S&P Total U.S. Stock Market ETF,,,,,,,,,,,
Inception Date,20-ene-2004,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 18,553,604,551.53",,,,,,,,,,
Number of Securities,"3,348.00",,,,,,,,,,
Share,"288,000,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
MSFT,MICROSOFT CORP,Equity,3.10,114.59,"5,001,062.00","573,071,694.58","573,071,694.58",Tecnología de la Información,2588173,US5949181045,NASDAQ
AAPL,APPLE INC,Equity,2.90,183.73,"2,918,391.00","536,195,978.43","536,195,978.43",Tecnología de la Información,2046251,US0378331005,NASDAQ
AMZN,AMAZON COM INC,Equity,2.43,"1,686.22","266,530.00","449,428,216.60","449,428,216.60",Consumo discrecional,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,1.43,170.17,"1,556,934.00","264,943,458.78","264,943,458.78",Comunicación,B7TL820,US30303M1027,NASDAQ
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.39,203.38,"1,259,452.00","256,147,347.76","256,147,347.76",Financieros,2073390,US0846707026,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.30,138.02,"1,739,106.00","240,031,410.12","240,031,410.12",Cuidado de la Salud,2475833,US4781601046,New York Stock Exchange Inc.
GOOG,ALPHABET INC CLASS C,Equity,1.28,"1,185.55","198,911.00","235,818,936.05","235,818,936.05",Comunicación,BYY88Y7,US02079K1079,NASDAQ
GOOGL,ALPHABET INC CLASS A,Equity,1.25,"1,192.53","193,489.00","230,741,437.17","230,741,437.17",Comunicación,BYVY8G0,US02079K3059,NASDAQ
JPM,JPMORGAN CHASE & CO,Equity,1.23,105.34,"2,152,897.00","226,786,169.98","226,786,169.98",Financieros,2190385,US46625H1005,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,1.19,80.44,"2,739,641.00","220,376,722.04","220,376,722.04",Energía,2326618,US30231G1022,New York Stock Exchange Inc.
