14-mar-2019,,,,,,,,,,,,,,,
iShares Core U.S. Aggregate Bond ETF,,,,,,,,,,,,,,,
Inception Date,22-sep-2003,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 58,433,398,759.14",,,,,,,,,,,,,,
Number of Securities,"7,203.00",,,,,,,,,,,,,,
Share,"543,200,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nombre,Clase de activo,Peso (%),Precio,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Cupón (%),Plazo,YTM (%),Yield to Call (%),Yield to Worst (%),Duración,Par Value
BLACKROCK CASH CL INST SL AGENCY,Money Market,4.51,1.00,"2,629,471,121.13","2,629,471,121.13",Liquidez,BKGRT85,US0669225197,2.48,--,2.61,--,2.60,0.08,"2,628,419,753.00"
FNMA 30YR 2016 PRODUCTION,Fixed Income,1.53,98.39,"889,567,665.76","889,567,665.76",Hipotecas Respaldadas por Activos,--,--,3.00,01-dic-2046,3.22,--,3.22,5.75,"903,099,039.00"
GNMA2 30YR 2017 PRODUCTION,Fixed Income,1.16,101.33,"677,282,734.98","677,282,734.98",Hipotecas Respaldadas por Activos,--,--,3.50,20-nov-2047,3.24,--,3.24,4.56,"667,579,541.00"
GNMA2 30YR 2016 PRODUCTION,Fixed Income,1.14,99.53,"667,085,818.55","667,085,818.55",Hipotecas Respaldadas por Activos,--,--,3.00,20-feb-2046,3.07,--,3.07,5.84,"669,533,611.00"
FGOLD 30YR 2016 PRODUCTION,Fixed Income,0.97,98.53,"567,733,503.04","567,733,503.04",Hipotecas Respaldadas por Activos,--,--,3.00,01-feb-2047,3.21,--,3.21,5.81,"575,553,005.00"
GNMA2 30YR TBA(REG C),Fixed Income,0.77,102.73,"447,326,731.99","447,326,731.99",Hipotecas Respaldadas por Activos,--,US21H0406403,4.00,17-abr-2019,3.32,--,3.32,2.93,"434,687,000.00"
TREASURY NOTE,Fixed Income,0.74,99.17,"433,508,733.29","433,508,733.29",Tesoro,BH13VK3,US912828A420,2.00,30-nov-2020,2.50,--,2.50,1.66,"434,650,000.00"
GNMA2 30YR 2016 PRODUCTION,Fixed Income,0.72,101.51,"422,131,184.57","422,131,184.57",Hipotecas Respaldadas por Activos,--,--,3.50,20-jun-2046,3.19,--,3.19,4.56,"415,341,641.00"
TREASURY NOTE,Fixed Income,0.70,99.44,"408,071,758.77","408,071,758.77",Tesoro,BD5JSB9,US912828VV95,2.13,31-ago-2020,2.51,--,2.51,1.43,"410,020,000.00"
FNMA 30YR 4% LTV > 90 2017,Fixed Income,0.68,102.57,"396,494,582.75","396,494,582.75",Hipotecas Respaldadas por Activos,--,--,4.00,01-sep-2047,3.51,--,3.51,3.08,"386,025,327.00"
TREASURY NOTE,Fixed Income,0.63,100.21,"364,858,372.00","364,858,372.00",Tesoro,BM7S9P8,US912828WJ58,2.50,15-may-2024,2.46,--,2.46,4.79,"361,150,000.00"
GNMA2 30YR 2018 PRODUCTION,Fixed Income,0.59,103.64,"345,395,416.63","345,395,416.63",Hipotecas Respaldadas por Activos,--,--,4.50,20-ago-2048,3.38,--,3.38,1.43,"332,737,420.00"
FGOLD 30YR TBA(REG A),Fixed Income,0.58,100.57,"336,865,120.73","336,865,120.73",Hipotecas Respaldadas por Activos,--,US02R0326469,3.50,10-abr-2019,3.39,--,3.39,4.32,"334,678,000.00"
