14-mar-2019,,,,,,,,,,,,,,,
iShares Edge MSCI Min Vol EAFE ETF,,,,,,,,,,,,,,,
Inception Date,18-oct-2011,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 11,101,072,562.87",,,,,,,,,,,,,,
Number of Securities,287.00,,,,,,,,,,,,,,
Share,"154,600,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
3,HONG KONG AND CHINA GAS LTD,Equity,1.68,2.33,"79,466,092.00","185,253,343.47","185,253,343.47",Servicios,6436557,HK0003000038,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.85
NESN,NESTLE SA,Equity,1.60,94.18,"1,868,040.00","175,933,679.13","175,933,679.13",Productos básicos de consumo,7123870,CH0038863350,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
NOVN,NOVARTIS AG,Equity,1.48,92.13,"1,766,115.00","162,712,212.75","162,712,212.75",Cuidado de la Salud,7103065,CH0012005267,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
ROG,ROCHE HOLDING PAR AG,Equity,1.47,273.58,"593,072.00","162,254,154.61","162,254,154.61",Cuidado de la Salud,7110388,CH0012032048,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
2,CLP HOLDINGS LTD,Equity,1.47,11.61,"13,935,000.00","161,718,036.42","161,718,036.42",Servicios,6097017,HK0002007356,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.85
SCMN,SWISSCOM AG,Equity,1.32,480.86,"302,815.00","145,611,673.05","145,611,673.05",Comunicación,5533976,CH0008742519,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
9437,NTT DOCOMO INC,Equity,1.28,22.28,"6,338,600.00","141,245,477.09","141,245,477.09",Comunicación,6129277,JP3165650007,Tokyo Stock Exchange,Japón,USD,JPY,111.72
SREN,SWISS RE AG,Equity,1.16,98.64,"1,301,986.00","128,429,262.66","128,429,262.66",Financieros,B545MG5,CH0126881561,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
ZURN,ZURICH INSURANCE GROUP AG,Equity,1.15,331.52,"380,994.00","126,308,927.27","126,308,927.27",Financieros,5983816,CH0011075394,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
66,MTR CORP LTD,Equity,1.06,6.08,"19,184,248.00","116,572,542.45","116,572,542.45",Industriales,6290054,HK0066009694,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.85
DGE,DIAGEO PLC,Equity,1.03,40.53,"2,814,620.00","114,066,508.85","114,066,508.85",Productos básicos de consumo,0237400,GB0002374006,London Stock Exchange,Reino Unido,USD,GBP,0.75
9432,NIPPON TELEGRAPH AND TELEPHONE COR,Equity,1.00,42.67,"2,572,100.00","109,749,379.70","109,749,379.70",Comunicación,6641373,JP3735400008,Tokyo Stock Exchange,Japón,USD,JPY,111.72
GSK,GLAXOSMITHKLINE PLC,Equity,0.98,20.04,"5,381,252.00","107,847,772.17","107,847,772.17",Cuidado de la Salud,0925288,GB0009252882,London Stock Exchange,Reino Unido,USD,GBP,0.75
