14-mar-2019,,,,,,,,,,,
iShares Edge MSCI Min Vol USA ETF,,,,,,,,,,,
Inception Date,18-oct-2011,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 23,977,890,742.00",,,,,,,,,,
Number of Securities,213.00,,,,,,,,,,
Share,"412,200,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
V,VISA INC CLASS A,Equity,1.68,154.20,"2,598,507.00","400,689,779.40","400,689,779.40",Tecnología de la Información,B2PZN04,US92826C8394,New York Stock Exchange Inc.
WM,WASTE MANAGEMENT INC,Equity,1.57,101.16,"3,719,311.00","376,245,500.76","376,245,500.76",Industriales,2937667,US94106L1098,New York Stock Exchange Inc.
NEM,NEWMONT MINING CORP,Equity,1.47,33.42,"10,533,996.00","352,046,146.32","352,046,146.32",Materiales,2636607,US6516391066,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,1.41,182.74,"1,849,816.00","338,035,375.84","338,035,375.84",Consumo discrecional,2550707,US5801351017,New York Stock Exchange Inc.
FISV,FISERV INC,Equity,1.40,85.50,"3,905,173.00","333,892,291.50","333,892,291.50",Tecnología de la Información,2342034,US3377381088,NASDAQ
PFE,PFIZER INC,Equity,1.37,41.19,"7,959,886.00","327,867,704.34","327,867,704.34",Cuidado de la Salud,2684703,US7170811035,New York Stock Exchange Inc.
RSG,REPUBLIC SERVICES INC,Equity,1.37,78.93,"4,152,598.00","327,764,560.14","327,764,560.14",Industriales,2262530,US7607591002,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.37,138.02,"2,366,525.00","326,627,780.50","326,627,780.50",Cuidado de la Salud,2475833,US4781601046,New York Stock Exchange Inc.
PEP,PEPSICO INC,Equity,1.35,115.50,"2,800,194.00","323,422,407.00","323,422,407.00",Productos básicos de consumo,2681511,US7134481081,NASDAQ
VZ,VERIZON COMMUNICATIONS INC,Equity,1.35,57.95,"5,561,923.00","322,313,437.85","322,313,437.85",Comunicación,2090571,US92343V1044,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,1.34,45.70,"7,018,654.00","320,752,487.80","320,752,487.80",Productos básicos de consumo,2206657,US1912161007,New York Stock Exchange Inc.
NEE,NEXTERA ENERGY INC,Equity,1.29,190.98,"1,618,842.00","309,166,445.16","309,166,445.16",Servicios,2328915,US65339F1012,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Equity,1.27,164.82,"1,846,903.00","304,406,552.46","304,406,552.46",Tecnología de la Información,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
ED,CONSOLIDATED EDISON INC,Equity,1.19,84.98,"3,344,884.00","284,248,242.32","284,248,242.32",Servicios,2216850,US2091151041,New York Stock Exchange Inc.
TJX,TJX INC,Equity,1.16,52.10,"5,317,644.00","277,049,252.40","277,049,252.40",Consumo discrecional,2989301,US8725401090,New York Stock Exchange Inc.
DUK,DUKE ENERGY CORP,Equity,1.12,90.36,"2,963,358.00","267,769,028.88","267,769,028.88",Servicios,B7VD3F2,US26441C2044,New York Stock Exchange Inc.
MSI,MOTOROLA SOLUTIONS INC,Equity,1.11,140.09,"1,895,679.00","265,565,671.11","265,565,671.11",Tecnología de la Información,B5BKPQ4,US6200763075,New York Stock Exchange Inc.
LMT,LOCKHEED MARTIN CORP,Equity,1.08,298.51,"867,124.00","258,845,185.24","258,845,185.24",Industriales,2522096,US5398301094,New York Stock Exchange Inc.
XEL,XCEL ENERGY INC,Equity,1.08,56.16,"4,608,510.00","258,813,921.60","258,813,921.60",Servicios,2614807,US98389B1008,NASDAQ
PG,PROCTER & GAMBLE,Equity,1.07,101.32,"2,532,015.00","256,543,759.80","256,543,759.80",Productos básicos de consumo,2704407,US7427181091,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,1.07,81.49,"3,130,616.00","255,113,897.84","255,113,897.84",Cuidado de la Salud,2778844,US58933Y1055,New York Stock Exchange Inc.
SO,SOUTHERN,Equity,1.06,51.53,"4,928,192.00","253,949,733.76","253,949,733.76",Servicios,2829601,US8425871071,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,1.04,80.44,"3,083,303.00","248,020,893.32","248,020,893.32",Energía,2326618,US30231G1022,New York Stock Exchange Inc.
RTN,RAYTHEON,Equity,1.01,180.25,"1,345,506.00","242,527,456.50","242,527,456.50",Industriales,2758051,US7551115071,New York Stock Exchange Inc.
PSA,PUBLIC STORAGE REIT,Equity,1.00,218.57,"1,092,918.00","238,879,087.26","238,879,087.26",Bienes Raíces,2852533,US74460D1090,New York Stock Exchange Inc.
DHR,DANAHER CORP,Equity,0.98,128.11,"1,827,570.00","234,129,992.70","234,129,992.70",Cuidado de la Salud,2250870,US2358511028,New York Stock Exchange Inc.
T,AT&T INC,Equity,0.97,30.28,"7,620,254.00","230,741,291.12","230,741,291.12",Comunicación,2831811,US00206R1023,New York Stock Exchange Inc.
SYK,STRYKER CORP,Equity,0.96,193.35,"1,190,931.00","230,266,508.85","230,266,508.85",Cuidado de la Salud,2853688,US8636671013,New York Stock Exchange Inc.
NLY,ANNALY CAPITAL MANAGEMENT REIT INC,Equity,0.96,10.31,"22,289,058.00","229,800,187.98","229,800,187.98",Financieros,2113456,US0357104092,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.96,229.51,"996,393.00","228,682,157.43","228,682,157.43",Tecnología de la Información,B121557,US57636Q1040,New York Stock Exchange Inc.
MDT,MEDTRONIC PLC,Equity,0.95,93.33,"2,432,517.00","227,026,811.61","227,026,811.61",Cuidado de la Salud,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,0.95,253.27,"893,970.00","226,415,781.90","226,415,781.90",Cuidado de la Salud,2917766,US91324P1021,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,0.94,52.74,"4,262,784.00","224,819,228.16","224,819,228.16",Tecnología de la Información,2198163,US17275R1023,NASDAQ
AVB,AVALONBAY COMMUNITIES REIT INC,Equity,0.93,200.07,"1,114,577.00","222,993,420.39","222,993,420.39",Bienes Raíces,2131179,US0534841012,New York Stock Exchange Inc.
CB,CHUBB LTD,Equity,0.92,135.40,"1,615,267.00","218,707,151.80","218,707,151.80",Financieros,B3BQMF6,CH0044328745,New York Stock Exchange Inc.
MSFT,MICROSOFT CORP,Equity,0.91,114.59,"1,892,719.00","216,886,670.21","216,886,670.21",Tecnología de la Información,2588173,US5949181045,NASDAQ
FIS,FIDELITY NATIONAL INFORMATION SERV,Equity,0.90,107.78,"1,999,331.00","215,487,895.18","215,487,895.18",Tecnología de la Información,2769796,US31620M1062,New York Stock Exchange Inc.
CCI,CROWN CASTLE INTERNATIONAL REIT CO,Equity,0.90,124.01,"1,734,402.00","215,083,192.02","215,083,192.02",Bienes Raíces,BTGQCX1,US22822V1017,New York Stock Exchange Inc.
PAYX,PAYCHEX INC,Equity,0.90,78.99,"2,715,669.00","214,510,694.31","214,510,694.31",Tecnología de la Información,2674458,US7043261079,NASDAQ
APH,AMPHENOL CORP CLASS A,Equity,0.87,94.32,"2,201,315.00","207,628,030.80","207,628,030.80",Tecnología de la Información,2145084,US0320951017,New York Stock Exchange Inc.
JKHY,JACK HENRY ANS ASSOCIATES INC,Equity,0.82,135.84,"1,448,818.00","196,807,437.12","196,807,437.12",Tecnología de la Información,2469193,US4262811015,NASDAQ
YUM,YUM BRANDS INC,Equity,0.80,98.98,"1,935,021.00","191,528,378.58","191,528,378.58",Consumo discrecional,2098876,US9884981013,New York Stock Exchange Inc.
EQR,EQUITY RESIDENTIAL REIT,Equity,0.79,75.06,"2,507,547.00","188,216,477.82","188,216,477.82",Bienes Raíces,2319157,US29476L1070,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.79,181.61,"1,032,950.00","187,594,049.50","187,594,049.50",Consumo discrecional,2434209,US4370761029,New York Stock Exchange Inc.
MKC,MCCORMICK & CO NON-VOTING INC,Equity,0.78,139.46,"1,328,672.00","185,296,597.12","185,296,597.12",Productos básicos de consumo,2550161,US5797802064,New York Stock Exchange Inc.
AGNC,AGNC INVESTMENT REIT CORP,Equity,0.77,18.00,"10,251,417.00","184,525,506.00","184,525,506.00",Financieros,BYYHJL8,US00123Q1040,NASDAQ
ACGL,ARCH CAPITAL GROUP LTD,Equity,0.76,32.55,"5,574,529.00","181,450,918.95","181,450,918.95",Financieros,2740542,BMG0450A1053,NASDAQ
BAX,BAXTER INTERNATIONAL INC,Equity,0.76,76.51,"2,360,710.00","180,617,922.10","180,617,922.10",Cuidado de la Salud,2085102,US0718131099,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,0.75,56.40,"3,161,911.00","178,331,780.40","178,331,780.40",Productos básicos de consumo,2692632,US02209S1033,New York Stock Exchange Inc.
AON,AON PLC CLASS A,Equity,0.72,168.58,"1,018,757.00","171,742,055.06","171,742,055.06",Financieros,B5BT0K0,GB00B5BT0K07,New York Stock Exchange Inc.
AFL,AFLAC INC,Equity,0.70,49.70,"3,368,768.00","167,427,769.60","167,427,769.60",Financieros,2026361,US0010551028,New York Stock Exchange Inc.
MMC,MARSH & MCLENNAN INC,Equity,0.69,92.49,"1,769,995.00","163,706,837.55","163,706,837.55",Financieros,2567741,US5717481023,New York Stock Exchange Inc.
LLY,ELI LILLY,Equity,0.68,123.08,"1,326,344.00","163,246,419.52","163,246,419.52",Cuidado de la Salud,2516152,US5324571083,New York Stock Exchange Inc.
O,REALTY INCOME REIT CORP,Equity,0.67,71.91,"2,229,632.00","160,332,837.12","160,332,837.12",Bienes Raíces,2724193,US7561091049,New York Stock Exchange Inc.
ROST,ROSS STORES INC,Equity,0.66,89.24,"1,765,760.00","157,576,422.40","157,576,422.40",Consumo discrecional,2746711,US7782961038,NASDAQ
ECL,ECOLAB INC,Equity,0.66,173.60,"904,921.00","157,094,285.60","157,094,285.60",Materiales,2304227,US2788651006,New York Stock Exchange Inc.
MKL,MARKEL CORP,Equity,0.65,"1,004.73","155,559.00","156,294,794.07","156,294,794.07",Financieros,2566436,US5705351048,New York Stock Exchange Inc.
BDX,BECTON DICKINSON,Equity,0.64,252.26,"605,064.00","152,633,444.64","152,633,444.64",Cuidado de la Salud,2087807,US0758871091,New York Stock Exchange Inc.
WRB,WR BERKLEY CORP,Equity,0.64,83.36,"1,829,045.00","152,469,191.20","152,469,191.20",Financieros,2093644,US0844231029,New York Stock Exchange Inc.
WEC,WEC ENERGY GROUP INC,Equity,0.64,77.62,"1,954,926.00","151,741,356.12","151,741,356.12",Servicios,BYY8XK8,US92939U1060,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,0.62,203.38,"729,044.00","148,272,968.72","148,272,968.72",Financieros,2073390,US0846707026,New York Stock Exchange Inc.
ALL,ALLSTATE CORP,Equity,0.61,93.85,"1,560,812.00","146,482,206.20","146,482,206.20",Financieros,2019952,US0200021014,New York Stock Exchange Inc.
AMT,AMERICAN TOWER REIT CORP,Equity,0.61,187.97,"777,348.00","146,118,103.56","146,118,103.56",Bienes Raíces,B7FBFL2,US03027X1000,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.61,114.48,"1,266,126.00","144,946,104.48","144,946,104.48",Comunicación,2270726,US2546871060,New York Stock Exchange Inc.
PGR,PROGRESSIVE CORP,Equity,0.60,72.86,"1,981,062.00","144,340,177.32","144,340,177.32",Financieros,2705024,US7433151039,New York Stock Exchange Inc.
WMT,WALMART INC,Equity,0.60,98.22,"1,467,612.00","144,148,850.64","144,148,850.64",Productos básicos de consumo,2936921,US9311421039,New York Stock Exchange Inc.
DG,DOLLAR GENERAL CORP,Equity,0.60,111.64,"1,277,541.00","142,624,677.24","142,624,677.24",Consumo discrecional,B5B1S13,US2566771059,New York Stock Exchange Inc.
HSY,HERSHEY FOODS,Equity,0.59,110.38,"1,274,264.00","140,653,260.32","140,653,260.32",Productos básicos de consumo,2422806,US4278661081,New York Stock Exchange Inc.
SBUX,STARBUCKS CORP,Equity,0.58,70.74,"1,966,178.00","139,087,431.72","139,087,431.72",Consumo discrecional,2842255,US8552441094,NASDAQ
CMCSA,COMCAST CORP CLASS A,Equity,0.54,39.87,"3,240,429.00","129,195,904.23","129,195,904.23",Comunicación,2044545,US20030N1019,NASDAQ
AZO,AUTOZONE INC,Equity,0.54,950.22,"134,845.00","128,132,415.90","128,132,415.90",Consumo discrecional,2065955,US0533321024,New York Stock Exchange Inc.
ADP,AUTOMATIC DATA PROCESSING INC,Equity,0.53,153.51,"825,346.00","126,698,864.46","126,698,864.46",Tecnología de la Información,2065308,US0530151036,NASDAQ
ANTM,ANTHEM INC,Equity,0.53,305.45,"411,185.00","125,596,458.25","125,596,458.25",Cuidado de la Salud,BSPHGL4,US0367521038,New York Stock Exchange Inc.
AJG,ARTHUR J GALLAGHER,Equity,0.53,79.59,"1,576,429.00","125,467,984.11","125,467,984.11",Financieros,2359506,US3635761097,New York Stock Exchange Inc.
ORCL,ORACLE CORP,Equity,0.52,53.05,"2,333,322.00","123,782,732.10","123,782,732.10",Tecnología de la Información,2661568,US68389X1054,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,0.52,124.60,"992,048.00","123,609,180.80","123,609,180.80",Energía,2838555,US1667641005,New York Stock Exchange Inc.
UTX,UNITED TECHNOLOGIES CORP,Equity,0.50,126.89,"934,766.00","118,612,457.74","118,612,457.74",Industriales,2915500,US9130171096,New York Stock Exchange Inc.
AEP,AMERICAN ELECTRIC POWER INC,Equity,0.49,82.98,"1,422,479.00","118,037,307.42","118,037,307.42",Servicios,2026242,US0255371017,New York Stock Exchange Inc.
TRV,TRAVELERS COMPANIES INC,Equity,0.49,133.06,"879,901.00","117,079,627.06","117,079,627.06",Financieros,2769503,US89417E1091,New York Stock Exchange Inc.
USB,US BANCORP,Equity,0.48,51.71,"2,240,079.00","115,834,485.09","115,834,485.09",Financieros,2736035,US9029733048,New York Stock Exchange Inc.
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.48,47.35,"2,434,513.00","115,274,190.55","115,274,190.55",Productos básicos de consumo,B8CKK03,US6092071058,NASDAQ
CLX,CLOROX,Equity,0.48,159.83,"720,367.00","115,136,257.61","115,136,257.61",Productos básicos de consumo,2204026,US1890541097,New York Stock Exchange Inc.
HRL,HORMEL FOODS CORP,Equity,0.48,42.70,"2,676,183.00","114,273,014.10","114,273,014.10",Productos básicos de consumo,2437264,US4404521001,New York Stock Exchange Inc.
LH,LABORATORY CORPORATION OF AMERICA,Equity,0.47,152.82,"732,830.00","111,991,080.60","111,991,080.60",Cuidado de la Salud,2586122,US50540R4092,New York Stock Exchange Inc.
TMO,THERMO FISHER SCIENTIFIC INC,Equity,0.46,261.43,"422,420.00","110,433,260.60","110,433,260.60",Cuidado de la Salud,2886907,US8835561023,New York Stock Exchange Inc.
RNR,RENAISSANCERE HOLDING LTD,Equity,0.46,146.29,"750,236.00","109,752,024.44","109,752,024.44",Financieros,2728429,BMG7496G1033,New York Stock Exchange Inc.
CPT,CAMDEN PROPERTY TRUST REIT,Equity,0.45,101.38,"1,062,127.00","107,678,435.26","107,678,435.26",Bienes Raíces,2166320,US1331311027,New York Stock Exchange Inc.
D,DOMINION ENERGY INC,Equity,0.45,76.64,"1,397,385.00","107,095,586.40","107,095,586.40",Servicios,2542049,US25746U1097,New York Stock Exchange Inc.
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Equity,0.45,70.93,"1,503,188.00","106,621,124.84","106,621,124.84",Tecnología de la Información,2257019,US1924461023,NASDAQ
K,KELLOGG,Equity,0.44,53.81,"1,967,669.00","105,880,268.89","105,880,268.89",Productos básicos de consumo,2486813,US4878361082,New York Stock Exchange Inc.
HUM,HUMANA INC,Equity,0.43,279.82,"370,262.00","103,606,712.84","103,606,712.84",Cuidado de la Salud,2445063,US4448591028,New York Stock Exchange Inc.
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.43,89.79,"1,143,516.00","102,676,301.64","102,676,301.64",Productos básicos de consumo,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.42,138.79,"717,527.00","99,585,572.33","99,585,572.33",Tecnología de la Información,2005973,US4592001014,New York Stock Exchange Inc.
HRS,HARRIS CORP,Equity,0.41,160.44,"615,868.00","98,809,861.92","98,809,861.92",Industriales,2412001,US4138751056,New York Stock Exchange Inc.
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Equity,0.41,77.00,"1,270,164.00","97,802,628.00","97,802,628.00",Industriales,2325507,US3021301094,NASDAQ
CHRW,CH ROBINSON WORLDWIDE INC,Equity,0.41,89.34,"1,088,236.00","97,223,004.24","97,223,004.24",Industriales,2116228,US12541W2098,NASDAQ
UDR,UDR REIT INC,Equity,0.40,45.33,"2,132,688.00","96,674,747.04","96,674,747.04",Bienes Raíces,2727910,US9026531049,New York Stock Exchange Inc.
ESS,ESSEX PROPERTY TRUST REIT INC,Equity,0.40,290.93,"325,139.00","94,592,689.27","94,592,689.27",Bienes Raíces,2316619,US2971781057,New York Stock Exchange Inc.
CI,CIGNA CORP,Equity,0.40,169.56,"557,300.00","94,495,788.00","94,495,788.00",Cuidado de la Salud,BHJ0775,US1255231003,New York Stock Exchange Inc.
CVS,CVS HEALTH CORP,Equity,0.39,55.88,"1,680,499.00","93,906,284.12","93,906,284.12",Cuidado de la Salud,2577609,US1266501006,New York Stock Exchange Inc.
NKE,NIKE INC CLASS B,Equity,0.38,86.87,"1,032,026.00","89,652,098.62","89,652,098.62",Consumo discrecional,2640147,US6541061031,New York Stock Exchange Inc.
VRSN,VERISIGN INC,Equity,0.37,181.43,"485,847.00","88,147,221.21","88,147,221.21",Tecnología de la Información,2142922,US92343E1029,NASDAQ
BSX,BOSTON SCIENTIFIC CORP,Equity,0.36,40.05,"2,174,747.00","87,098,617.35","87,098,617.35",Cuidado de la Salud,2113434,US1011371077,New York Stock Exchange Inc.
NOC,NORTHROP GRUMMAN CORP,Equity,0.36,274.75,"314,961.00","86,535,534.75","86,535,534.75",Industriales,2648806,US6668071029,New York Stock Exchange Inc.
FFIV,F5 NETWORKS INC,Equity,0.35,153.18,"552,440.00","84,622,759.20","84,622,759.20",Tecnología de la Información,2427599,US3156161024,NASDAQ
CHD,CHURCH AND DWIGHT INC,Equity,0.35,66.93,"1,257,367.00","84,155,573.31","84,155,573.31",Productos básicos de consumo,2195841,US1713401024,New York Stock Exchange Inc.
SPG,SIMON PROPERTY GROUP REIT INC,Equity,0.35,179.79,"465,688.00","83,726,045.52","83,726,045.52",Bienes Raíces,2812452,US8288061091,New York Stock Exchange Inc.
FOX,TWENTY-FIRST CENTURY FOX INC CLASS,Equity,0.35,51.32,"1,621,958.00","83,238,884.56","83,238,884.56",Comunicación,BBM4S80,US90130A2006,NASDAQ
HON,HONEYWELL INTERNATIONAL INC,Equity,0.34,155.25,"528,583.00","82,062,510.75","82,062,510.75",Industriales,2020459,US4385161066,New York Stock Exchange Inc.
STZ,CONSTELLATION BRANDS INC CLASS A,Equity,0.34,170.61,"480,571.00","81,990,218.31","81,990,218.31",Productos básicos de consumo,2170473,US21036P1084,New York Stock Exchange Inc.
RE,EVEREST RE GROUP LTD,Equity,0.33,219.01,"365,239.00","79,990,993.39","79,990,993.39",Financieros,2556868,BMG3223R1088,New York Stock Exchange Inc.
WELL,WELLTOWER INC,Equity,0.33,77.88,"1,002,524.00","78,076,569.12","78,076,569.12",Bienes Raíces,BYVYHH4,US95040Q1040,New York Stock Exchange Inc.
SYY,SYSCO CORP,Equity,0.32,66.12,"1,170,313.00","77,381,095.56","77,381,095.56",Productos básicos de consumo,2868165,US8718291078,New York Stock Exchange Inc.
COO,COOPER INC,Equity,0.32,294.81,"260,509.00","76,800,658.29","76,800,658.29",Cuidado de la Salud,2222631,US2166484020,New York Stock Exchange Inc.
FRT,FEDERAL REALTY INVESTMENT TRUST RE,Equity,0.32,133.48,"566,364.00","75,598,266.72","75,598,266.72",Bienes Raíces,2333931,US3137472060,New York Stock Exchange Inc.
CME,CME GROUP INC CLASS A,Equity,0.32,168.43,"448,014.00","75,458,998.02","75,458,998.02",Financieros,2965839,US12572Q1058,NASDAQ
KMB,KIMBERLY CLARK CORP,Equity,0.32,118.45,"636,499.00","75,393,306.55","75,393,306.55",Productos básicos de consumo,2491839,US4943681035,New York Stock Exchange Inc.
CL,COLGATE-PALMOLIVE,Equity,0.31,66.25,"1,123,638.00","74,441,017.50","74,441,017.50",Productos básicos de consumo,2209106,US1941621039,New York Stock Exchange Inc.
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Equity,0.31,103.61,"704,987.00","73,043,703.07","73,043,703.07",Tecnología de la Información,B1VP7R6,US11133T1034,New York Stock Exchange Inc.
AAPL,APPLE INC,Equity,0.30,183.73,"396,026.00","72,761,856.98","72,761,856.98",Tecnología de la Información,2046251,US0378331005,NASDAQ
AFG,AMERICAN FINANCIAL GROUP INC,Equity,0.30,96.89,"735,925.00","71,303,773.25","71,303,773.25",Financieros,2134532,US0259321042,New York Stock Exchange Inc.
