14-mar-2019,,,,,,,,,,,
iShares Edge MSCI USA Quality Factor ETF,,,,,,,,,,,
Inception Date,16-jul-2013,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 10,058,825,985.64",,,,,,,,,,
Number of Securities,125.00,,,,,,,,,,
Share,"113,900,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
JNJ,JOHNSON & JOHNSON,Equity,4.20,138.02,"3,046,571.00","420,487,729.42","420,487,729.42",Cuidado de la Salud,2475833,US4781601046,New York Stock Exchange Inc.
FB,FACEBOOK CLASS A INC,Equity,4.12,170.17,"2,425,760.00","412,791,579.20","412,791,579.20",Comunicación,B7TL820,US30303M1027,NASDAQ
AAPL,APPLE INC,Equity,3.91,183.73,"2,130,810.00","391,493,721.30","391,493,721.30",Tecnología de la Información,2046251,US0378331005,NASDAQ
MA,MASTERCARD INC CLASS A,Equity,3.52,229.51,"1,535,154.00","352,333,194.54","352,333,194.54",Tecnología de la Información,B121557,US57636Q1040,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,3.27,154.20,"2,121,485.00","327,132,987.00","327,132,987.00",Tecnología de la Información,B2PZN04,US92826C8394,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,3.23,80.44,"4,020,681.00","323,423,579.64","323,423,579.64",Energía,2326618,US30231G1022,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,2.90,56.40,"5,147,105.00","290,296,722.00","290,296,722.00",Productos básicos de consumo,2692632,US02209S1033,New York Stock Exchange Inc.
LMT,LOCKHEED MARTIN CORP,Equity,2.67,298.51,"894,746.00","267,090,628.46","267,090,628.46",Industriales,2522096,US5398301094,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,2.37,187.76,"1,262,776.00","237,098,821.76","237,098,821.76",Cuidado de la Salud,2023607,US0311621009,NASDAQ
MCO,MOODYS CORP,Equity,2.15,174.98,"1,229,597.00","215,154,883.06","215,154,883.06",Financieros,2252058,US6153691059,New York Stock Exchange Inc.
MMM,3M,Equity,2.09,207.38,"1,008,402.00","209,122,406.76","209,122,406.76",Industriales,2595708,US88579Y1010,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,1.98,114.48,"1,729,820.00","198,029,793.60","198,029,793.60",Comunicación,2270726,US2546871060,New York Stock Exchange Inc.
SBUX,STARBUCKS CORP,Equity,1.96,70.74,"2,775,969.00","196,372,047.06","196,372,047.06",Consumo discrecional,2842255,US8552441094,NASDAQ
GOOG,ALPHABET INC CLASS C,Equity,1.90,"1,185.55","160,284.00","190,024,696.20","190,024,696.20",Comunicación,BYY88Y7,US02079K1079,NASDAQ
COST,COSTCO WHOLESALE CORP,Equity,1.85,233.84,"793,351.00","185,517,197.84","185,517,197.84",Productos básicos de consumo,2701271,US22160K1051,NASDAQ
GOOGL,ALPHABET INC CLASS A,Equity,1.81,"1,192.53","152,184.00","181,483,985.52","181,483,985.52",Comunicación,BYVY8G0,US02079K3059,NASDAQ
NKE,NIKE INC CLASS B,Equity,1.79,86.87,"2,066,190.00","179,489,925.30","179,489,925.30",Consumo discrecional,2640147,US6541061031,New York Stock Exchange Inc.
MMC,MARSH & MCLENNAN INC,Equity,1.71,92.49,"1,855,612.00","171,625,553.88","171,625,553.88",Financieros,2567741,US5717481023,New York Stock Exchange Inc.
LLY,ELI LILLY,Equity,1.68,123.08,"1,363,287.00","167,793,363.96","167,793,363.96",Cuidado de la Salud,2516152,US5324571083,New York Stock Exchange Inc.
BLK,BLACKROCK INC,Equity,1.64,433.63,"379,062.00","164,372,655.06","164,372,655.06",Financieros,2494504,US09247X1019,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Equity,1.53,164.82,"927,022.00","152,791,766.04","152,791,766.04",Tecnología de la Información,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,1.40,138.79,"1,013,464.00","140,658,668.56","140,658,668.56",Tecnología de la Información,2005973,US4592001014,New York Stock Exchange Inc.
TXN,TEXAS INSTRUMENT INC,Equity,1.38,107.10,"1,285,968.00","137,727,172.80","137,727,172.80",Tecnología de la Información,2885409,US8825081040,NASDAQ
PGR,PROGRESSIVE CORP,Equity,1.33,72.86,"1,834,123.00","133,634,201.78","133,634,201.78",Financieros,2705024,US7433151039,New York Stock Exchange Inc.
NVDA,NVIDIA CORP,Equity,1.33,165.56,"803,702.00","133,060,903.12","133,060,903.12",Tecnología de la Información,2379504,US67066G1040,NASDAQ
AON,AON PLC CLASS A,Equity,1.32,168.58,"784,816.00","132,304,281.28","132,304,281.28",Financieros,B5BT0K0,GB00B5BT0K07,New York Stock Exchange Inc.
TJX,TJX INC,Equity,1.29,52.10,"2,487,481.00","129,597,760.10","129,597,760.10",Consumo discrecional,2989301,US8725401090,New York Stock Exchange Inc.
ATO,ATMOS ENERGY CORP,Equity,1.20,101.50,"1,188,598.00","120,642,697.00","120,642,697.00",Servicios,2315359,US0495601058,New York Stock Exchange Inc.
CELG,CELGENE CORP,Equity,1.17,88.29,"1,321,583.00","116,682,563.07","116,682,563.07",Cuidado de la Salud,2182348,US1510201049,NASDAQ
AFL,AFLAC INC,Equity,1.13,49.70,"2,286,786.00","113,653,264.20","113,653,264.20",Financieros,2026361,US0010551028,New York Stock Exchange Inc.
BKNG,BOOKING HOLDINGS INC,Equity,1.13,"1,743.88","64,832.00","113,059,228.16","113,059,228.16",Consumo discrecional,BDRXDB4,US09857L1089,NASDAQ
PNW,PINNACLE WEST CORP,Equity,1.09,95.15,"1,149,026.00","109,329,823.90","109,329,823.90",Servicios,2048804,US7234841010,New York Stock Exchange Inc.
