26-Mar-2019,,,,,,,,,,
iShares Evolved U.S. Media and Entertainment ETF,,,,,,,,,,
Inception Date,"Mar 21, 2018",,,,,,,,,
Fund Holdings as of,"Mar 26, 2019",,,,,,,,,
Total Net Assets,"$5,279,297.78",,,,,,,,,
Number of Securities (excluding cash and derivatives),85.00,,,,,,,,,
Share,"200,000.00",,,,,,,,,
,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,SEDOL,ISIN,Exchange
XTSLA,BLK CSH FND TREASURY SL AGENCY,Money Market,7.71,1.00,"407,112.00","407,111.66","407,111.66",--,US0669224778,--
DIS,WALT DISNEY,Equity,6.60,110.14,"3,164.00","348,482.96","348,482.96",2270726,US2546871060,New York Stock Exchange Inc.
CMCSA,COMCAST CORP CLASS A,Equity,6.18,39.63,"8,228.00","326,075.64","326,075.64",2044545,US20030N1019,NASDAQ
NFLX,NETFLIX INC,Equity,5.43,359.97,797.00,"286,896.09","286,896.09",2857817,US64110L1061,NASDAQ
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Equity,5.10,356.03,756.00,"269,158.68","269,158.68",BZ6VT82,US16119P1084,NASDAQ
CBS,CBS CORP CLASS B,Equity,4.39,47.32,"4,894.00","231,584.08","231,584.08",B0SRLH6,US1248572026,New York Stock Exchange Inc.
VIAB,VIACOM INC CLASS B,Equity,4.11,28.33,"7,664.00","217,121.12","217,121.12",B0SRLF4,US92553P2011,NASDAQ
ATVI,ACTIVISION BLIZZARD INC,Equity,3.90,46.43,"4,431.00","205,731.33","205,731.33",2575818,US00507V1098,NASDAQ
EA,ELECTRONIC ARTS INC,Equity,3.52,102.32,"1,816.00","185,813.12","185,813.12",2310194,US2855121099,NASDAQ
DISCK,DISCOVERY INC SERIES C,Equity,3.21,26.11,"6,494.00","169,558.34","169,558.34",B3D7KG4,US25470F3029,NASDAQ
IAC,IAC INTERACTIVE,Equity,2.11,214.23,520.00,"111,399.60","111,399.60",B0F0F09,US44919P5089,NASDAQ
HAS,HASBRO INC,Equity,2.10,84.68,"1,312.00","111,100.16","111,100.16",2414580,US4180561072,NASDAQ
NXST,NEXSTAR MEDIA GROUP INC CLASS A,Equity,2.09,107.76,"1,024.00","110,346.24","110,346.24",2949758,US65336K1034,NASDAQ
LBRDK,LIBERTY BROADBAND CORP SERIES C,Equity,2.03,92.65,"1,156.00","107,103.40","107,103.40",BRTLC06,US5303073051,NASDAQ
LBTYK,LIBERTY GLOBAL PLC CLASS C,Equity,1.89,24.75,"4,030.00","99,742.50","99,742.50",B8W67B1,GB00B8W67B19,NASDAQ
SIRI,SIRIUS XM HOLDINGS INC,Equity,1.86,5.70,"17,244.00","98,290.80","98,290.80",BGLDK10,US82968B1035,NASDAQ
DISH,DISH NETWORK CORP CLASS A,Equity,1.65,31.54,"2,755.00","86,892.70","86,892.70",2303581,US25470M1099,NASDAQ
WWE,WORLD WRESTLING ENTERTAINMENT INC,Equity,1.52,88.29,911.00,"80,432.19","80,432.19",2503529,US98156Q1085,New York Stock Exchange Inc.
NLSN,NIELSEN HOLDINGS PLC,Equity,1.44,27.06,"2,816.00","76,200.96","76,200.96",BWFY550,GB00BWFY5505,New York Stock Exchange Inc.
DISCA,DISCOVERY INC SERIES A,Equity,1.44,27.64,"2,752.00","76,065.28","76,065.28",B3D7K31,US25470F1049,NASDAQ
NWSA,NEWS CORP CLASS A,Equity,1.30,12.42,"5,535.00","68,744.70","68,744.70",BBGVT40,US65249B1098,NASDAQ
ATUS,ALTICE USA INC CLASS A,Equity,1.28,21.20,"3,175.00","67,310.00","67,310.00",BDRY7P9,US02156K1034,New York Stock Exchange Inc.
