26-Mar-2019,,,,,,,,,,,,,,,
iShares Expanded Tech Sector ETF,,,,,,,,,,,,,,,
Inception Date,"Mar 13, 2001",,,,,,,,,,,,,,
Fund Holdings as of,"Mar 26, 2019",,,,,,,,,,,,,,
Total Net Assets,"$1,581,615,971.58",,,,,,,,,,,,,,
Number of Securities (excluding cash and derivatives),292.00,,,,,,,,,,,,,,
Share,"7,700,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
AMZN,AMAZON COM INC,Equity,8.89,"1,783.76","78,847.00","140,644,124.72","140,644,124.72",Consumer Discretionary,2000019,US0231351067,NASDAQ,United States,USD,USD,1.00
AAPL,APPLE INC,Equity,8.78,186.79,"743,196.00","138,821,580.84","138,821,580.84",Information Technology,2046251,US0378331005,NASDAQ,United States,USD,USD,1.00
MSFT,MICROSOFT CORP,Equity,8.66,117.91,"1,161,349.00","136,934,660.59","136,934,660.59",Information Technology,2588173,US5949181045,NASDAQ,United States,USD,USD,1.00
FB,FACEBOOK CLASS A INC,Equity,5.19,167.68,"489,754.00","82,121,950.72","82,121,950.72",Communication,B7TL820,US30303M1027,NASDAQ,United States,USD,USD,1.00
GOOG,ALPHABET INC CLASS C,Equity,4.24,"1,184.62","56,622.00","67,075,553.64","67,075,553.64",Communication,BYY88Y7,US02079K1079,NASDAQ,United States,USD,USD,1.00
GOOGL,ALPHABET INC CLASS A,Equity,4.15,"1,189.84","55,146.00","65,614,916.64","65,614,916.64",Communication,BYVY8G0,US02079K3059,NASDAQ,United States,USD,USD,1.00
V,VISA INC CLASS A,Equity,3.53,155.30,"359,314.00","55,801,464.20","55,801,464.20",Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.,United States,USD,USD,1.00
INTC,INTEL CORP,Equity,3.12,53.44,"923,241.00","49,337,999.04","49,337,999.04",Information Technology,2463247,US4581401001,NASDAQ,United States,USD,USD,1.00
CSCO,CISCO SYSTEMS INC,Equity,3.04,53.23,"903,743.00","48,106,239.89","48,106,239.89",Information Technology,2198163,US17275R1023,NASDAQ,United States,USD,USD,1.00
MA,MASTERCARD INC CLASS A,Equity,2.73,233.29,"185,320.00","43,233,302.80","43,233,302.80",Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.,United States,USD,USD,1.00
NFLX,NETFLIX INC,Equity,2.04,359.97,"89,634.00","32,265,550.98","32,265,550.98",Communication,2857817,US64110L1061,NASDAQ,United States,USD,USD,1.00
ORCL,ORACLE CORP,Equity,1.76,53.28,"523,135.00","27,872,632.80","27,872,632.80",Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.,United States,USD,USD,1.00
ADBE,ADOBE INC,Equity,1.68,265.59,"100,131.00","26,593,792.29","26,593,792.29",Information Technology,2008154,US00724F1012,NASDAQ,United States,USD,USD,1.00
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,1.62,140.22,"182,691.00","25,616,932.02","25,616,932.02",Information Technology,2005973,US4592001014,New York Stock Exchange Inc.,United States,USD,USD,1.00
CRM,SALESFORCE.COM INC,Equity,1.58,159.40,"157,055.00","25,034,567.00","25,034,567.00",Information Technology,2310525,US79466L3024,New York Stock Exchange Inc.,United States,USD,USD,1.00
PYPL,PAYPAL HOLDINGS INC,Equity,1.57,103.15,"240,862.00","24,844,915.30","24,844,915.30",Information Technology,BYW36M8,US70450Y1038,NASDAQ,United States,USD,USD,1.00
AVGO,BROADCOM INC,Equity,1.53,297.03,"81,321.00","24,154,776.63","24,154,776.63",Information Technology,BDZ78H9,US11135F1012,NASDAQ,United States,USD,USD,1.00
NVDA,NVIDIA CORP,Equity,1.39,176.87,"124,413.00","22,004,927.31","22,004,927.31",Information Technology,2379504,US67066G1040,NASDAQ,United States,USD,USD,1.00
ACN,ACCENTURE PLC CLASS A,Equity,1.38,166.94,"130,869.00","21,847,270.86","21,847,270.86",Information Technology,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.,United States,USD,USD,1.00
TXN,TEXAS INSTRUMENT INC,Equity,1.32,108.33,"192,672.00","20,872,157.76","20,872,157.76",Information Technology,2885409,US8825081040,NASDAQ,United States,USD,USD,1.00
BKNG,BOOKING HOLDINGS INC,Equity,1.03,"1,768.87","9,241.00","16,346,127.67","16,346,127.67",Consumer Discretionary,BDRXDB4,US09857L1089,NASDAQ,United States,USD,USD,1.00
QCOM,QUALCOMM INC,Equity,0.91,58.00,"248,478.00","14,411,724.00","14,411,724.00",Information Technology,2714923,US7475251036,NASDAQ,United States,USD,USD,1.00
ADP,AUTOMATIC DATA PROCESSING INC,Equity,0.88,156.20,"89,435.00","13,969,747.00","13,969,747.00",Information Technology,2065308,US0530151036,NASDAQ,United States,USD,USD,1.00
INTU,INTUIT INC,Equity,0.86,255.99,"53,188.00","13,615,596.12","13,615,596.12",Information Technology,2459020,US4612021034,NASDAQ,United States,USD,USD,1.00
MU,MICRON TECHNOLOGY INC,Equity,0.59,40.32,"230,100.00","9,277,632.00","9,277,632.00",Information Technology,2588184,US5951121038,NASDAQ,United States,USD,USD,1.00
NOW,SERVICENOW INC,Equity,0.57,245.00,"36,800.00","9,016,000.00","9,016,000.00",Information Technology,B80NXX8,US81762P1021,New York Stock Exchange Inc.,United States,USD,USD,1.00
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Equity,0.53,71.09,"118,026.00","8,390,468.34","8,390,468.34",Information Technology,2257019,US1924461023,NASDAQ,United States,USD,USD,1.00
ADI,ANALOG DEVICES INC,Equity,0.51,107.10,"75,583.00","8,094,939.30","8,094,939.30",Information Technology,2032067,US0326541051,NASDAQ,United States,USD,USD,1.00
AMAT,APPLIED MATERIAL INC,Equity,0.49,39.63,"194,810.00","7,720,320.30","7,720,320.30",Information Technology,2046552,US0382221051,NASDAQ,United States,USD,USD,1.00
FIS,FIDELITY NATIONAL INFORMATION SERV,Equity,0.46,109.91,"66,250.00","7,281,537.50","7,281,537.50",Information Technology,2769796,US31620M1062,New York Stock Exchange Inc.,United States,USD,USD,1.00
ATVI,ACTIVISION BLIZZARD INC,Equity,0.46,46.43,"156,700.00","7,275,581.00","7,275,581.00",Communication,2575818,US00507V1098,NASDAQ,United States,USD,USD,1.00
ADSK,AUTODESK INC,Equity,0.44,155.91,"44,928.00","7,004,724.48","7,004,724.48",Information Technology,2065159,US0527691069,NASDAQ,United States,USD,USD,1.00
FISV,FISERV INC,Equity,0.44,86.93,"80,328.00","6,982,913.04","6,982,913.04",Information Technology,2342034,US3377381088,NASDAQ,United States,USD,USD,1.00
WP,WORLDPAY INC CLASS A,Equity,0.43,110.05,"61,919.00","6,814,185.95","6,814,185.95",Information Technology,BF8D8T0,US9815581098,New York Stock Exchange Inc.,United States,USD,USD,1.00
RHT,RED HAT INC,Equity,0.42,181.99,"36,256.00","6,598,229.44","6,598,229.44",Information Technology,2447218,US7565771026,New York Stock Exchange Inc.,United States,USD,USD,1.00
XLNX,XILINX INC,Equity,0.42,126.63,"51,927.00","6,575,516.01","6,575,516.01",Information Technology,2985677,US9839191015,NASDAQ,United States,USD,USD,1.00
EBAY,EBAY INC,Equity,0.41,36.90,"176,387.00","6,508,680.30","6,508,680.30",Consumer Discretionary,2293819,US2786421030,NASDAQ,United States,USD,USD,1.00
EA,ELECTRONIC ARTS INC,Equity,0.40,102.32,"61,442.00","6,286,745.44","6,286,745.44",Communication,2310194,US2855121099,NASDAQ,United States,USD,USD,1.00
HPQ,HP INC,Equity,0.38,19.13,"314,513.00","6,016,633.69","6,016,633.69",Information Technology,BYX4D52,US40434L1052,New York Stock Exchange Inc.,United States,USD,USD,1.00
WDAY,WORKDAY INC CLASS A,Equity,0.38,192.64,"30,963.00","5,964,712.32","5,964,712.32",Information Technology,B8K6ZD1,US98138H1014,NASDAQ,United States,USD,USD,1.00
APH,AMPHENOL CORP CLASS A,Equity,0.37,94.50,"61,124.00","5,776,218.00","5,776,218.00",Information Technology,2145084,US0320951017,New York Stock Exchange Inc.,United States,USD,USD,1.00
