26-Mar-2019,,,,,,,,,,,,,,,
iShares Expanded Tech-Software Sector ETF,,,,,,,,,,,,,,,
Inception Date,"Jul 10, 2001",,,,,,,,,,,,,,
Fund Holdings as of,"Mar 26, 2019",,,,,,,,,,,,,,
Total Net Assets,"$2,715,549,165.94",,,,,,,,,,,,,,
Number of Securities (excluding cash and derivatives),90.00,,,,,,,,,,,,,,
Share,"12,950,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
MSFT,MICROSOFT CORP,Equity,8.73,117.91,"2,010,805.00","237,094,017.55","237,094,017.55",Information Technology,2588173,US5949181045,NASDAQ,United States,USD,USD,1.00
ADBE,ADOBE INC,Equity,8.50,265.59,"869,003.00","230,798,506.77","230,798,506.77",Information Technology,2008154,US00724F1012,NASDAQ,United States,USD,USD,1.00
CRM,SALESFORCE.COM INC,Equity,8.38,159.40,"1,427,446.00","227,534,892.40","227,534,892.40",Information Technology,2310525,US79466L3024,New York Stock Exchange Inc.,United States,USD,USD,1.00
ORCL,ORACLE CORP,Equity,8.28,53.28,"4,222,620.00","224,981,193.60","224,981,193.60",Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.,United States,USD,USD,1.00
INTU,INTUIT INC,Equity,6.11,255.99,"648,425.00","165,990,315.75","165,990,315.75",Information Technology,2459020,US4612021034,NASDAQ,United States,USD,USD,1.00
NOW,SERVICENOW INC,Equity,4.05,245.00,"448,768.00","109,948,160.00","109,948,160.00",Information Technology,B80NXX8,US81762P1021,New York Stock Exchange Inc.,United States,USD,USD,1.00
ATVI,ACTIVISION BLIZZARD INC,Equity,3.27,46.43,"1,912,372.00","88,791,431.96","88,791,431.96",Communication,2575818,US00507V1098,NASDAQ,United States,USD,USD,1.00
ADSK,AUTODESK INC,Equity,3.15,155.91,"548,148.00","85,461,754.68","85,461,754.68",Information Technology,2065159,US0527691069,NASDAQ,United States,USD,USD,1.00
RHT,RED HAT INC,Equity,2.96,181.99,"442,407.00","80,513,649.93","80,513,649.93",Information Technology,2447218,US7565771026,New York Stock Exchange Inc.,United States,USD,USD,1.00
EA,ELECTRONIC ARTS INC,Equity,2.83,102.32,"750,109.00","76,751,152.88","76,751,152.88",Communication,2310194,US2855121099,NASDAQ,United States,USD,USD,1.00
WDAY,WORKDAY INC CLASS A,Equity,2.68,192.64,"377,950.00","72,808,288.00","72,808,288.00",Information Technology,B8K6ZD1,US98138H1014,NASDAQ,United States,USD,USD,1.00
PANW,PALO ALTO NETWORKS INC,Equity,2.14,244.20,"237,594.00","58,020,454.80","58,020,454.80",Information Technology,B87ZMX0,US6974351057,New York Stock Exchange Inc.,United States,USD,USD,1.00
SPLK,SPLUNK INC,Equity,1.69,124.28,"370,103.00","45,996,400.84","45,996,400.84",Information Technology,B424494,US8486371045,NASDAQ,United States,USD,USD,1.00
CDNS,CADENCE DESIGN SYSTEMS INC,Equity,1.61,62.30,"702,186.00","43,746,187.80","43,746,187.80",Information Technology,2302232,US1273871087,NASDAQ,United States,USD,USD,1.00
SNPS,SYNOPSYS INC,Equity,1.55,112.40,"374,868.00","42,135,163.20","42,135,163.20",Information Technology,2867719,US8716071076,NASDAQ,United States,USD,USD,1.00
ANSS,ANSYS INC,Equity,1.39,179.69,"209,831.00","37,704,532.39","37,704,532.39",Information Technology,2045623,US03662Q1058,NASDAQ,United States,USD,USD,1.00
SYMC,SYMANTEC CORP,Equity,1.37,23.23,"1,601,059.00","37,192,600.57","37,192,600.57",Information Technology,2861078,US8715031089,NASDAQ,United States,USD,USD,1.00
VMW,VMWARE INC CLASS A,Equity,1.27,181.44,"189,931.00","34,461,080.64","34,461,080.64",Information Technology,B23SN61,US9285634021,New York Stock Exchange Inc.,United States,USD,USD,1.00
SSNC,SS AND C TECHNOLOGIES HOLDINGS INC,Equity,1.24,62.42,"540,294.00","33,725,151.48","33,725,151.48",Information Technology,B58YSC6,US78467J1007,NASDAQ,United States,USD,USD,1.00
CTXS,CITRIX SYSTEMS INC,Equity,1.15,99.99,"313,542.00","31,351,064.58","31,351,064.58",Information Technology,2182553,US1773761002,NASDAQ,United States,USD,USD,1.00
FTNT,FORTINET INC,Equity,1.14,84.84,"363,441.00","30,834,334.44","30,834,334.44",Information Technology,B5B2106,US34959E1091,NASDAQ,United States,USD,USD,1.00
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Equity,1.01,96.37,"283,601.00","27,330,628.37","27,330,628.37",Communication,2122117,US8740541094,NASDAQ,United States,USD,USD,1.00
ULTI,ULTIMATE SOFTWARE GROUP INC,Equity,0.96,328.59,"79,405.00","26,091,688.95","26,091,688.95",Information Technology,2249964,US90385D1072,NASDAQ,United States,USD,USD,1.00
OTEX,OPEN TEXT CORP,Equity,0.94,37.74,"673,666.00","25,424,154.84","25,424,154.84",Information Technology,2655657,CA6837151068,NASDAQ,Canada,USD,USD,1.00
PTC,PTC INC,Equity,0.91,92.72,"267,613.00","24,813,077.36","24,813,077.36",Information Technology,B95N910,US69370C1009,NASDAQ,United States,USD,USD,1.00
DATA,TABLEAU SOFTWARE INC CLASS A,Equity,0.84,127.14,"180,055.00","22,892,192.70","22,892,192.70",Information Technology,B8DJFL5,US87336U1051,New York Stock Exchange Inc.,United States,USD,USD,1.00
ZEN,ZENDESK INC,Equity,0.84,84.18,"271,652.00","22,867,665.36","22,867,665.36",Information Technology,BMH0MR7,US98936J1016,New York Stock Exchange Inc.,United States,USD,USD,1.00
PAYC,PAYCOM SOFTWARE INC,Equity,0.83,185.71,"120,661.00","22,407,954.31","22,407,954.31",Information Technology,BL95MY0,US70432V1026,New York Stock Exchange Inc.,United States,USD,USD,1.00
DELL,DELL TECHNOLOGIES INC CLASS C,Equity,0.81,58.89,"374,659.00","22,063,668.51","22,063,668.51",Information Technology,BHKD3S6,US24703L2025,New York Stock Exchange Inc.,United States,USD,USD,1.00
SNAP,SNAP INC CLASS A,Equity,0.74,10.76,"1,860,910.00","20,023,391.60","20,023,391.60",Communication,BD8DJ71,US83304A1060,New York Stock Exchange Inc.,United States,USD,USD,1.00
FICO,FAIR ISAAC CORP,Equity,0.71,265.51,"72,936.00","19,365,237.36","19,365,237.36",Information Technology,2330299,US3032501047,New York Stock Exchange Inc.,United States,USD,USD,1.00
GWRE,GUIDEWIRE SOFTWARE INC,Equity,0.71,94.92,"203,294.00","19,296,666.48","19,296,666.48",Information Technology,B7JYSG3,US40171V1008,New York Stock Exchange Inc.,United States,USD,USD,1.00
TYL,TYLER TECHNOLOGIES INC,Equity,0.70,199.25,"96,060.00","19,139,955.00","19,139,955.00",Information Technology,2909644,US9022521051,New York Stock Exchange Inc.,United States,USD,USD,1.00
RNG,RINGCENTRAL INC CLASS A,Equity,0.69,108.19,"172,064.00","18,615,604.16","18,615,604.16",Information Technology,BDZCRX3,US76680R2067,New York Stock Exchange Inc.,United States,USD,USD,1.00
AZPN,ASPEN TECHNOLOGY INC,Equity,0.67,103.80,"174,740.00","18,138,012.00","18,138,012.00",Information Technology,2051868,US0453271035,NASDAQ,United States,USD,USD,1.00
CDK,CDK GLOBAL INC,Equity,0.66,57.13,"312,900.00","17,875,977.00","17,875,977.00",Information Technology,BQXTWQ5,US12508E1010,NASDAQ,United States,USD,USD,1.00
TTD,TRADE DESK INC CLASS A,Equity,0.63,186.94,"90,947.00","17,001,632.18","17,001,632.18",Information Technology,BD8FDD1,US88339J1051,NASDAQ,United States,USD,USD,1.00
PFPT,PROOFPOINT INC,Equity,0.62,120.83,"138,915.00","16,785,099.45","16,785,099.45",Information Technology,B6VDQC3,US7434241037,NASDAQ,United States,USD,USD,1.00
HUBS,HUBSPOT INC,Equity,0.59,167.69,"96,116.00","16,117,692.04","16,117,692.04",Information Technology,BR4T3B3,US4435731009,New York Stock Exchange Inc.,United States,USD,USD,1.00
TDC,TERADATA CORP,Equity,0.48,44.36,"294,593.00","13,068,145.48","13,068,145.48",Information Technology,B247H10,US88076W1036,New York Stock Exchange Inc.,United States,USD,USD,1.00
COUP,COUPA SOFTWARE INC,Equity,0.45,91.40,"132,894.00","12,146,511.60","12,146,511.60",Information Technology,BD87XR1,US22266L1061,NASDAQ,United States,USD,USD,1.00
NUAN,NUANCE COMMUNICATIONS INC,Equity,0.45,16.89,"717,611.00","12,120,449.79","12,120,449.79",Information Technology,2402121,US67020Y1001,NASDAQ,United States,USD,USD,1.00
NEWR,NEW RELIC INC,Equity,0.43,100.91,"115,363.00","11,641,280.33","11,641,280.33",Information Technology,BT6T3N7,US64829B1008,New York Stock Exchange Inc.,United States,USD,USD,1.00
RP,REALPAGE INC,Equity,0.42,61.26,"184,223.00","11,285,500.98","11,285,500.98",Information Technology,B4W2S29,US75606N1090,NASDAQ,United States,USD,USD,1.00
ZNGA,ZYNGA INC CLASS A,Equity,0.41,5.33,"2,095,419.00","11,168,583.27","11,168,583.27",Communication,B79PX49,US98986T1088,NASDAQ,United States,USD,USD,1.00
BB,BLACKBERRY LTD,Equity,0.40,8.82,"1,238,960.00","10,927,627.20","10,927,627.20",Information Technology,BCBHZ42,CA09228F1036,New York Stock Exchange Inc.,Canada,USD,USD,1.00
LOGM,LOGMEIN INC,Equity,0.38,81.38,"127,927.00","10,410,699.26","10,410,699.26",Information Technology,B600J15,US54142L1098,NASDAQ,United States,USD,USD,1.00
JCOM,J2 GLOBAL INC,Equity,0.37,85.73,"116,570.00","9,993,546.10","9,993,546.10",Information Technology,B75DGJ3,US48123V1026,NASDAQ,United States,USD,USD,1.00
TWOU,2U INC,Equity,0.37,68.25,"145,779.00","9,949,416.75","9,949,416.75",Information Technology,BKWBZZ0,US90214J1016,NASDAQ,United States,USD,USD,1.00
ACIW,ACI WORLDWIDE INC,Equity,0.35,32.62,"292,357.00","9,536,685.34","9,536,685.34",Information Technology,2889155,US0044981019,NASDAQ,United States,USD,USD,1.00
BLKB,BLACKBAUD INC,Equity,0.35,77.98,"122,248.00","9,532,899.04","9,532,899.04",Information Technology,2458878,US09227Q1004,NASDAQ,United States,USD,USD,1.00
MANH,MANHATTAN ASSOCIATES INC,Equity,0.33,55.19,"163,709.00","9,035,099.71","9,035,099.71",Information Technology,2239471,US5627501092,NASDAQ,United States,USD,USD,1.00
ELLI,ELLIE MAE INC,Equity,0.32,98.62,"88,009.00","8,679,447.58","8,679,447.58",Information Technology,B532X75,US28849P1003,New York Stock Exchange Inc.,United States,USD,USD,1.00
VRNT,VERINT SYSTEMS INC,Equity,0.31,51.70,"164,422.00","8,500,617.40","8,500,617.40",Information Technology,2849193,US92343X1000,NASDAQ,United States,USD,USD,1.00
FEYE,FIREEYE INC,Equity,0.30,16.66,"496,304.00","8,268,424.64","8,268,424.64",Information Technology,BD4R405,US31816Q1013,NASDAQ,United States,USD,USD,1.00
FIVN,FIVE9 INC,Equity,0.29,54.00,"148,082.00","7,996,428.00","7,996,428.00",Information Technology,BKY7X18,US3383071012,NASDAQ,United States,USD,USD,1.00
ENV,ENVESTNET INC,Equity,0.29,64.60,"121,382.00","7,841,277.20","7,841,277.20",Information Technology,B474ZK7,US29404K1060,New York Stock Exchange Inc.,United States,USD,USD,1.00
NTNX,NUTANIX INC CLASS A,Equity,0.29,40.13,"194,910.00","7,821,738.30","7,821,738.30",Information Technology,BYQBFT8,US67059N1081,NASDAQ,United States,USD,USD,1.00
