14-mar-2019,,,,,,,,,,,,,,,
iShares Floating Rate Bond ETF,,,,,,,,,,,,,,,
Inception Date,14-jun-2011,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 10,535,607,458.24",,,,,,,,,,,,,,
Number of Securities,707.00,,,,,,,,,,,,,,
Share,"207,400,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nombre,Clase de activo,Peso (%),Precio,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Cupón (%),Plazo,YTM (%),Yield to Call (%),Yield to Worst (%),Duración,Par Value
BLK CSH FND TREASURY SL AGENCY,Money Market,1.62,1.00,"170,570,997.99","170,570,997.99",Liquidez,--,US0669224778,2.48,--,2.40,--,2.40,0.08,"170,570,998.00"
TREASURY FLOATING RATE NOTE,Fixed Income,1.33,99.90,"140,255,630.96","140,255,630.96",Bonos del Tesoro,BGN70J8,US9128285H96,2.46,31-oct-2020,2.61,--,2.61,0.01,"140,000,000.00"
MORGAN STANLEY,Fixed Income,0.72,101.02,"76,304,874.02","76,304,874.02",Banca,BYM4WX4,US61746BEE20,3.94,20-ene-2022,3.50,--,3.31,0.12,"75,120,000.00"
INTERNATIONAL FINANCE CORPORATION MTN,Fixed Income,0.64,100.20,"67,840,608.21","67,840,608.21",Supranacional,BDC3VW6,US45950VKY10,2.86,15-dic-2022,2.68,--,2.68,0.26,"67,243,000.00"
GOLDMAN SACHS GROUP INC/THE,Fixed Income,0.63,99.25,"66,488,160.98","66,488,160.98",Banca,BD1DDF4,US38141GWU48,3.40,23-feb-2023,3.64,--,3.64,0.18,"66,879,000.00"
ASIAN DEVELOPMENT BANK MTN,Fixed Income,0.60,100.41,"62,820,545.41","62,820,545.41",Supranacional,BZ3F619,US045167DP51,2.98,16-jun-2021,2.67,--,2.67,0.26,"62,120,000.00"
MORGAN STANLEY,Fixed Income,0.59,100.49,"61,938,039.17","61,938,039.17",Banca,BZ9P8Z1,US61744YAJ73,3.69,22-jul-2022,3.46,--,3.40,0.12,"61,320,000.00"
INTER-AMERICAN DEVELOPMENT BANK MTN,Fixed Income,0.55,99.92,"58,041,288.61","58,041,288.61",Supranacional,--,US45818WBT27,2.49,09-oct-2020,2.59,--,2.59,0.07,"58,074,000.00"
GOLDMAN SACHS GROUP INC/THE,Fixed Income,0.55,100.66,"57,929,545.46","57,929,545.46",Banca,BDFCML6,US38141GWD23,3.87,26-abr-2022,3.57,--,3.48,0.13,"57,273,000.00"
INTER-AMERICAN DEVELOPMENT BANK MTN,Fixed Income,0.54,100.48,"56,837,730.12","56,837,730.12",Supranacional,BZ973V8,US45818WBM73,2.99,15-jul-2021,2.66,--,2.66,0.09,"56,296,000.00"
INTER-AMERICAN DEVELOPMENT BANK MTN,Fixed Income,0.53,100.17,"55,529,479.43","55,529,479.43",Supranacional,--,US45818WBP05,2.86,15-jul-2022,2.68,--,2.68,0.09,"55,180,000.00"
INTERNATIONAL FINANCE CORPORATION MTN,Fixed Income,0.51,100.03,"53,473,945.73","53,473,945.73",Supranacional,BYM0M43,US45950VGS97,2.80,15-dic-2020,2.75,--,2.75,0.26,"53,100,000.00"
WELLS FARGO & COMPANY,Fixed Income,0.49,100.62,"51,676,370.31","51,676,370.31",Banca,BYP24C8,US949746SP73,3.63,11-feb-2022,3.40,--,3.29,0.17,"51,197,000.00"
ASIAN DEVELOPMENT BANK,Fixed Income,0.49,100.00,"51,169,714.63","51,169,714.63",Supranacional,BF4Z221,US045167CU55,2.80,15-dic-2021,2.67,--,2.67,0.26,"50,824,000.00"
WELLS FARGO & COMPANY,Fixed Income,0.48,101.81,"51,065,410.85","51,065,410.85",Banca,BD3Z303,US949746RT05,3.96,04-mar-2021,3.07,--,3.07,0.24,"50,103,000.00"
MORGAN STANLEY,Fixed Income,0.48,100.09,"50,109,529.36","50,109,529.36",Banca,BZ1CRT7,US61744YAM03,3.25,10-feb-2021,3.19,--,3.15,0.16,"49,926,000.00"
BANK NEDERLANDSE GEMEENTEN NV 144A,Fixed Income,0.45,100.14,"47,162,707.63","47,162,707.63",Propiedad sin garantía,--,US62944BBP85,2.90,14-jul-2020,2.67,--,2.67,0.09,"46,875,000.00"
WELLS FARGO & COMPANY,Fixed Income,0.41,101.32,"43,455,902.65","43,455,902.65",Banca,BDGNBB1,US949746SB87,3.79,26-jul-2021,3.13,--,3.13,0.13,"42,691,000.00"
DAIMLER FINANCE NORTH AMERICA LLC 144A,Fixed Income,0.41,99.55,"42,973,402.27","42,973,402.27",Consumo cíclico,--,US233851DC59,3.11,22-feb-2021,3.38,--,3.38,0.19,"43,080,000.00"
NEDERLANDSE WATERSCHAPSBANK NV 144A,Fixed Income,0.41,100.03,"42,860,707.06","42,860,707.06",Propiedad sin garantía,--,US63983TBL89,2.72,09-ago-2019,2.65,--,2.65,0.15,"42,750,000.00"
GOLDMAN SACHS GROUP INC/THE,Fixed Income,0.39,99.72,"40,582,761.01","40,582,761.01",Banca,BF92DL3,US38148YAB48,3.52,31-oct-2022,3.55,--,3.55,0.13,"40,530,000.00"
INTERNATIONAL BANK FOR RECONSTRUCT MTN,Fixed Income,0.38,100.58,"40,405,126.56","40,405,126.56",Supranacional,BYVK2K0,US45905UUZ55,2.98,11-feb-2021,2.65,--,2.65,0.17,"40,070,000.00"
INTERNATIONAL FINANCE CORPORATION MTN,Fixed Income,0.38,100.49,"40,013,145.11","40,013,145.11",Supranacional,BYSWDY0,US45950VKB17,2.97,15-dic-2021,2.66,--,2.66,0.26,"39,537,000.00"
JPMORGAN CHASE & CO,Fixed Income,0.38,100.15,"39,559,391.22","39,559,391.22",Banca,BF082K2,US46647PAC05,3.15,09-mar-2021,3.14,--,3.05,0.24,"39,489,000.00"
JPMORGAN CHASE & CO,Fixed Income,0.37,99.92,"38,536,713.33","38,536,713.33",Banca,--,US46647PAT30,3.41,18-jun-2022,3.32,--,3.31,0.26,"38,256,000.00"
SOUTHERN POWER COMPANY 144A,Fixed Income,0.36,99.93,"37,610,448.26","37,610,448.26",Eléctrico,--,US843646AV22,3.34,20-dic-2020,3.27,--,3.27,0.02,"37,345,000.00"
MIZUHO FINANCIAL GROUP INC,Fixed Income,0.36,100.46,"37,467,124.57","37,467,124.57",Banca,BYYP042,US60687YAJ82,3.57,28-feb-2022,3.46,--,3.46,0.21,"37,243,000.00"
INTER-AMERICAN DEVELOPMENT BANK,Fixed Income,0.36,100.07,"37,448,978.49","37,448,978.49",Supranacional,BYS2PN3,US45818WBE57,2.80,15-jul-2020,2.63,--,2.63,0.09,"37,255,000.00"
JPMORGAN CHASE BANK NA,Fixed Income,0.35,100.03,"36,968,151.79","36,968,151.79",Banca,--,US48125LRL89,3.03,01-feb-2021,2.96,--,2.94,0.13,"36,832,000.00"
