14-mar-2019,,,,,,,,,,,,,,,
iShares MSCI ACWI ETF,,,,,,,,,,,,,,,
Inception Date,26-mar-2008,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 10,132,504,573.17",,,,,,,,,,,,,,
Number of Securities,"1,376.00",,,,,,,,,,,,,,
Share,"140,800,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
AAPL,APPLE INC,Equity,1.96,183.73,"1,072,896.00","197,123,182.08","197,123,182.08",Tecnología de la Información,2046251,US0378331005,NASDAQ,Estados Unidos,USD,USD,1.00
MSFT,MICROSOFT CORP,Equity,1.85,114.59,"1,629,476.00","186,721,654.84","186,721,654.84",Tecnología de la Información,2588173,US5949181045,NASDAQ,Estados Unidos,USD,USD,1.00
AMZN,AMAZON COM INC,Equity,1.53,"1,686.22","91,521.00","154,324,540.62","154,324,540.62",Consumo discrecional,2000019,US0231351067,NASDAQ,Estados Unidos,USD,USD,1.00
INDA,ISHARES MSCI INDIA ETF,Equity,1.05,34.69,"3,037,486.00","105,370,389.34","105,370,389.34",Financieros,B6XGR72,US46429B5984,Cboe BZX formerly known as BATS,Estados Unidos,USD,USD,1.00
FB,FACEBOOK CLASS A INC,Equity,0.90,170.17,"535,040.00","91,047,756.80","91,047,756.80",Comunicación,B7TL820,US30303M1027,NASDAQ,Estados Unidos,USD,USD,1.00
GOOG,ALPHABET INC CLASS C,Equity,0.85,"1,185.55","72,512.00","85,966,601.60","85,966,601.60",Comunicación,BYY88Y7,US02079K1079,NASDAQ,Estados Unidos,USD,USD,1.00
JNJ,JOHNSON & JOHNSON,Equity,0.80,138.02,"587,136.00","81,036,510.72","81,036,510.72",Cuidado de la Salud,2475833,US4781601046,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
JPM,JPMORGAN CHASE & CO,Equity,0.78,105.34,"746,240.00","78,608,921.60","78,608,921.60",Financieros,2190385,US46625H1005,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
GOOGL,ALPHABET INC CLASS A,Equity,0.78,"1,192.53","65,472.00","78,077,324.16","78,077,324.16",Comunicación,BYVY8G0,US02079K3059,NASDAQ,Estados Unidos,USD,USD,1.00
XOM,EXXON MOBIL CORP,Equity,0.74,80.44,"926,464.00","74,524,764.16","74,524,764.16",Energía,2326618,US30231G1022,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
V,VISA INC CLASS A,Equity,0.65,154.20,"421,272.00","64,960,142.40","64,960,142.40",Tecnología de la Información,B2PZN04,US92826C8394,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
BAC,BANK OF AMERICA CORP,Equity,0.62,29.46,"2,123,264.00","62,551,357.44","62,551,357.44",Financieros,2295677,US0605051046,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
NESN,NESTLE SA,Equity,0.62,94.18,"658,240.00","61,993,632.34","61,993,632.34",Productos básicos de consumo,7123870,CH0038863350,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
