14-mar-2019,,,,,,,,,,,,,,,
iShares MSCI EAFE ETF,,,,,,,,,,,,,,,
Inception Date,14-ago-2001,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 65,613,077,234.69",,,,,,,,,,,,,,
Number of Securities,924.00,,,,,,,,,,,,,,
Share,"1,008,600,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
NESN,NESTLE SA,Equity,2.10,94.18,"14,510,939.00","1,366,653,222.56","1,366,653,222.56",Productos básicos de consumo,7123870,CH0038863350,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
NOVN,NOVARTIS AG,Equity,1.45,92.13,"10,270,140.00","946,188,218.03","946,188,218.03",Cuidado de la Salud,7103065,CH0012005267,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
ROG,ROCHE HOLDING PAR AG,Equity,1.40,273.58,"3,326,714.00","910,130,924.59","910,130,924.59",Cuidado de la Salud,7110388,CH0012032048,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
HSBA,HSBC HOLDINGS PLC,Equity,1.20,8.24,"94,823,369.00","781,417,877.99","781,417,877.99",Financieros,0540528,GB0005405286,London Stock Exchange,Reino Unido,USD,GBP,0.75
BP.,BP PLC,Equity,1.07,7.30,"94,928,614.00","693,389,135.19","693,389,135.19",Energía,0798059,GB0007980591,London Stock Exchange,Reino Unido,USD,GBP,0.75
RDSA,ROYAL DUTCH SHELL PLC,Equity,1.04,31.56,"21,347,195.00","673,726,183.86","673,726,183.86",Energía,B03MLX2,GB00B03MLX29,London Stock Exchange,Reino Unido,USD,GBP,0.75
FP,TOTAL SA,Equity,1.02,58.16,"11,429,358.00","664,750,348.29","664,750,348.29",Energía,B15C557,FR0000120271,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
7203,TOYOTA MOTOR CORP,Equity,0.97,58.57,"10,758,464.00","630,080,826.64","630,080,826.64",Consumo discrecional,6900643,JP3633400001,Tokyo Stock Exchange,Japón,USD,JPY,111.72
1299,AIA GROUP LTD,Equity,0.88,10.03,"57,137,000.00","573,193,300.59","573,193,300.59",Financieros,B4TX8S1,HK0000069689,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.85
RDSB,ROYAL DUTCH SHELL PLC CLASS B,Equity,0.87,31.75,"17,743,626.00","563,295,716.14","563,295,716.14",Energía,B03MM40,GB00B03MM408,London Stock Exchange,Reino Unido,USD,GBP,0.75
SAP,SAP,Equity,0.78,109.65,"4,648,420.00","509,716,219.73","509,716,219.73",Tecnología de la Información,4846288,DE0007164600,Xetra,Alemania,USD,EUR,0.88
AZN,ASTRAZENECA PLC,Equity,0.77,83.80,"5,995,670.00","502,451,817.40","502,451,817.40",Cuidado de la Salud,0989529,GB0009895292,London Stock Exchange,Reino Unido,USD,GBP,0.75
SAN,SANOFI SA,Equity,0.73,88.57,"5,334,099.00","472,445,189.01","472,445,189.01",Cuidado de la Salud,5671735,FR0000120578,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
GSK,GLAXOSMITHKLINE PLC,Equity,0.72,20.04,"23,477,129.00","470,514,307.76","470,514,307.76",Cuidado de la Salud,0925288,GB0009252882,London Stock Exchange,Reino Unido,USD,GBP,0.75
MC,LVMH,Equity,0.72,356.77,"1,313,508.00","468,620,275.43","468,620,275.43",Consumo discrecional,4061412,FR0000121014,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
DGE,DIAGEO PLC,Equity,0.71,40.53,"11,468,844.00","464,791,337.95","464,791,337.95",Productos básicos de consumo,0237400,GB0002374006,London Stock Exchange,Reino Unido,USD,GBP,0.75
ALV,ALLIANZ,Equity,0.70,225.41,"2,013,546.00","453,876,887.29","453,876,887.29",Financieros,5231485,DE0008404005,Xetra,Alemania,USD,EUR,0.88
NOVO B,NOVO NORDISK CLASS B,Equity,0.67,50.44,"8,606,475.00","434,137,116.56","434,137,116.56",Cuidado de la Salud,BHC8X90,DK0060534915,Omx Nordic Exchange Copenhagen A/S,Dinamarca,USD,DKK,6.60
BATS,BRITISH AMERICAN TOBACCO PLC,Equity,0.66,39.83,"10,859,306.00","432,516,118.55","432,516,118.55",Productos básicos de consumo,0287580,GB0002875804,London Stock Exchange,Reino Unido,USD,GBP,0.75
CBA,COMMONWEALTH BANK OF AUSTRALIA,Equity,0.66,51.49,"8,383,720.00","431,696,409.15","431,696,409.15",Financieros,6215035,AU000000CBA7,Asx - All Markets,Australia,USD,AUD,1.42
UNA,UNILEVER DUTCH CERTIFICATES NV,Equity,0.63,56.17,"7,351,730.00","412,961,822.34","412,961,822.34",Productos básicos de consumo,B12T3J1,NL0000009355,Euronext Amsterdam,Holanda,USD,EUR,0.88
SIE,SIEMENS N AG,Equity,0.61,109.47,"3,626,210.00","396,971,282.31","396,971,282.31",Industriales,5727973,DE0007236101,Xetra,Alemania,USD,EUR,0.88
SAN,BANCO SANTANDER SA,Equity,0.57,4.86,"76,968,480.00","373,747,237.75","373,747,237.75",Financieros,5705946,ES0113900J37,Bolsa De Madrid,España,USD,EUR,0.88
9984,SOFTBANK GROUP CORP,Equity,0.57,96.63,"3,866,300.00","373,583,140.89","373,583,140.89",Comunicación,6770620,JP3436100006,Tokyo Stock Exchange,Japón,USD,JPY,111.72
