14-mar-2019,,,,,,,,,,,,,,,
iShares MSCI Emerging Markets ETF,,,,,,,,,,,,,,,
Inception Date,07-abr-2003,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 34,656,687,264.36",,,,,,,,,,,,,,
Number of Securities,959.00,,,,,,,,,,,,,,
Share,"807,750,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
700,TENCENT HOLDINGS LTD,Equity,4.94,45.55,"37,255,500.00","1,697,153,077.41","1,697,153,077.41",Comunicación,BMMV2K8,KYG875721634,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
BABA,ALIBABA GROUP HOLDING ADR REPRESEN,Equity,4.43,180.36,"8,448,775.00","1,523,821,059.00","1,523,821,059.00",Consumo discrecional,BP41ZD1,US01609W1027,New York Stock Exchange Inc.,China,USD,USD,1.00
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Equity,3.55,7.59,"160,670,000.00","1,219,245,194.49","1,219,245,194.49",Tecnología de la Información,6889106,TW0002330008,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
005930,SAMSUNG ELECTRONICS LTD,Equity,3.49,38.64,"31,054,225.00","1,200,077,347.54","1,200,077,347.54",Tecnología de la Información,6771720,KR7005930003,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
NPN,NASPERS LTD,Equity,1.81,216.90,"2,860,747.00","620,486,656.42","620,486,656.42",Consumo discrecional,6622691,ZAE000015889,Johannesburg Stock Exchange,Sudáfrica,USD,ZAR,14.50
939,CHINA CONSTRUCTION BANK CORP H,Equity,1.63,0.89,"629,020,760.00","558,509,888.24","558,509,888.24",Financieros,B0LMTQ3,CNE1000002H1,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
941,CHINA MOBILE LTD,Equity,1.27,10.89,"40,061,500.00","436,341,409.82","436,341,409.82",Comunicación,6073556,HK0941009539,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
2318,PING AN INSURANCE (GROUP) CO OF CH,Equity,1.06,10.87,"33,544,500.00","364,718,638.34","364,718,638.34",Financieros,B01FLR7,CNE1000003X6,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
RELIANCE,RELIANCE INDUSTRIES LTD,Equity,1.05,19.32,"18,607,476.00","359,527,014.41","359,527,014.41",Energía,6099626,INE002A01018,National Stock Exchange Of India,India,USD,INR,69.43
1398,INDUSTRIAL AND COMMERCIAL BANK OF,Equity,1.00,0.76,"449,912,085.00","342,164,618.56","342,164,618.56",Financieros,B1G1QD8,CNE1000003G1,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
ITUB4,ITAU UNIBANCO HOLDING PREF SA,Equity,0.88,9.60,"31,579,979.00","303,173,728.45","303,173,728.45",Financieros,B037HR3,BRITUBACNPR1,XBSP,Brasil,USD,BRL,3.83
BIDU,BAIDU ADR REPTG INC CLASS A,Equity,0.88,167.74,"1,802,644.00","302,375,504.56","302,375,504.56",Comunicación,B0FXT17,US0567521085,NASDAQ,China,USD,USD,1.00
HDFC,HOUSING DEVELOPMENT FINANCE CORPOR,Equity,0.87,28.18,"10,585,905.00","298,362,968.20","298,362,968.20",Financieros,6171900,INE001A01036,National Stock Exchange Of India,India,USD,INR,69.43
VALE3,CIA VALE DO RIO DOCE SH,Equity,0.79,13.23,"20,643,009.00","273,011,237.09","273,011,237.09",Materiales,2196286,BRVALEACNOR0,XBSP,Brasil,USD,BRL,3.83
BBDC4,BANCO BRADESCO PREF SA,Equity,0.75,11.87,"21,844,346.00","259,274,492.47","259,274,492.47",Financieros,B00FM53,BRBBDCACNPR8,XBSP,Brasil,USD,BRL,3.83
LKOH,NK LUKOIL,Equity,0.71,85.64,"2,861,965.00","245,092,765.06","245,092,765.06",Energía,B59SNS8,RU0009024277,Standard-Classica-Forts,Rusia,USD,RUB,65.49
3988,BANK OF CHINA LTD H,Equity,0.70,0.47,"515,172,000.00","240,196,373.23","240,196,373.23",Financieros,B154564,CNE1000001Z5,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
INFY,INFOSYS LTD,Equity,0.68,10.20,"22,835,708.00","232,969,772.97","232,969,772.97",Tecnología de la Información,6205122,INE009A01021,National Stock Exchange Of India,India,USD,INR,69.43
