14-mar-2019,,,,,,,,,,,,,,,
iShares MSCI Japan ETF,,,,,,,,,,,,,,,
Inception Date,12-mar-1996,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 14,502,273,875.51",,,,,,,,,,,,,,
Number of Securities,323.00,,,,,,,,,,,,,,
Share,"268,200,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
7203,TOYOTA MOTOR CORP,Equity,4.10,58.57,"10,063,200.00","589,361,954.89","589,361,954.89",Consumo discrecional,6900643,JP3633400001,Tokyo Stock Exchange,Japón,USD,JPY,111.72
9984,SOFTBANK GROUP CORP,Equity,2.46,96.63,"3,659,700.00","353,620,314.18","353,620,314.18",Comunicación,6770620,JP3436100006,Tokyo Stock Exchange,Japón,USD,JPY,111.72
4502,TAKEDA PHARMACEUTICAL LTD,Equity,1.91,41.54,"6,610,000.00","274,588,345.86","274,588,345.86",Cuidado de la Salud,6870445,JP3463000004,Tokyo Stock Exchange,Japón,USD,JPY,111.72
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Equity,1.83,5.06,"51,852,180.00","262,138,482.49","262,138,482.49",Financieros,6335171,JP3902900004,Tokyo Stock Exchange,Japón,USD,JPY,111.72
6758,SONY CORP,Equity,1.82,45.90,"5,681,300.00","260,774,314.36","260,774,314.36",Consumo discrecional,6821506,JP3435000009,Tokyo Stock Exchange,Japón,USD,JPY,111.72
6861,KEYENCE CORP,Equity,1.80,598.01,"432,252.00","258,492,267.45","258,492,267.45",Tecnología de la Información,6490995,JP3236200006,Tokyo Stock Exchange,Japón,USD,JPY,111.72
8316,SUMITOMO MITSUI FINANCIAL GROUP IN,Equity,1.44,35.09,"5,900,400.00","207,031,578.95","207,031,578.95",Financieros,6563024,JP3890350006,Tokyo Stock Exchange,Japón,USD,JPY,111.72
7267,HONDA MOTOR LTD,Equity,1.35,27.06,"7,152,000.00","193,523,952.74","193,523,952.74",Consumo discrecional,6435145,JP3854600008,Tokyo Stock Exchange,Japón,USD,JPY,111.72
9433,KDDI CORP,Equity,1.22,22.70,"7,689,400.00","174,546,351.59","174,546,351.59",Comunicación,6248990,JP3496400007,Tokyo Stock Exchange,Japón,USD,JPY,111.72
4452,KAO CORP,Equity,1.17,76.75,"2,181,900.00","167,450,864.66","167,450,864.66",Productos básicos de consumo,6483809,JP3205800000,Tokyo Stock Exchange,Japón,USD,JPY,111.72
8058,MITSUBISHI CORP,Equity,1.15,28.01,"5,900,400.00","165,255,563.91","165,255,563.91",Industriales,6596785,JP3898400001,Tokyo Stock Exchange,Japón,USD,JPY,111.72
8411,MIZUHO FINANCIAL GROUP INC,Equity,1.13,1.53,"105,849,780.00","162,109,714.98","162,109,714.98",Financieros,6591014,JP3885780001,Tokyo Stock Exchange,Japón,USD,JPY,111.72
9022,CENTRAL JAPAN RAILWAY,Equity,1.02,224.98,"650,500.00","146,350,854.82","146,350,854.82",Industriales,6183552,JP3566800003,Tokyo Stock Exchange,Japón,USD,JPY,111.72
6954,FANUC CORP,Equity,1.01,166.76,"871,600.00","145,344,683.14","145,344,683.14",Industriales,6356934,JP3802400006,Tokyo Stock Exchange,Japón,USD,JPY,111.72
3382,SEVEN & I HOLDINGS LTD,Equity,0.97,41.00,"3,397,280.00","139,272,667.38","139,272,667.38",Productos básicos de consumo,B0FS5D6,JP3422950000,Tokyo Stock Exchange,Japón,USD,JPY,111.72
7974,NINTENDO LTD,Equity,0.95,271.03,"504,600.00","136,764,124.60","136,764,124.60",Comunicación,6639550,JP3756600007,Tokyo Stock Exchange,Japón,USD,JPY,111.72
9020,EAST JAPAN RAILWAY,Equity,0.93,95.33,"1,396,200.00","133,096,401.72","133,096,401.72",Industriales,6298542,JP3783600004,Tokyo Stock Exchange,Japón,USD,JPY,111.72
6098,RECRUIT HOLDINGS LTD,Equity,0.92,27.45,"4,827,600.00","132,529,978.52","132,529,978.52",Industriales,BQRRZ00,JP3970300004,Tokyo Stock Exchange,Japón,USD,JPY,111.72
8766,TOKIO MARINE HOLDINGS INC,Equity,0.91,46.44,"2,804,000.00","130,210,812.75","130,210,812.75",Financieros,6513126,JP3910660004,Tokyo Stock Exchange,Japón,USD,JPY,111.72
4063,SHIN ETSU CHEMICAL LTD,Equity,0.91,79.89,"1,627,100.00","129,984,492.48","129,984,492.48",Materiales,6804585,JP3371200001,Tokyo Stock Exchange,Japón,USD,JPY,111.72
6501,HITACHI LTD,Equity,0.90,30.20,"4,293,200.00","129,656,791.98","129,656,791.98",Tecnología de la Información,6429104,JP3788600009,Tokyo Stock Exchange,Japón,USD,JPY,111.72
9437,NTT DOCOMO INC,Equity,0.89,22.28,"5,721,600.00","127,496,627.28","127,496,627.28",Comunicación,6129277,JP3165650007,Tokyo Stock Exchange,Japón,USD,JPY,111.72
9983,FAST RETAILING LTD,Equity,0.87,480.76,"260,400.00","125,188,721.80","125,188,721.80",Consumo discrecional,6332439,JP3802300008,Tokyo Stock Exchange,Japón,USD,JPY,111.72
4503,ASTELLAS PHARMA INC,Equity,0.87,15.44,"8,047,050.00","124,213,549.27","124,213,549.27",Cuidado de la Salud,6985383,JP3942400007,Tokyo Stock Exchange,Japón,USD,JPY,111.72
7751,CANON INC,Equity,0.85,28.49,"4,291,250.00","122,261,446.03","122,261,446.03",Tecnología de la Información,6172323,JP3242800005,Tokyo Stock Exchange,Japón,USD,JPY,111.72
6367,DAIKIN INDUSTRIES LTD,Equity,0.85,110.28,"1,107,500.00","122,130,325.81","122,130,325.81",Industriales,6250724,JP3481800005,Tokyo Stock Exchange,Japón,USD,JPY,111.72
2914,JAPAN TOBACCO INC,Equity,0.84,25.04,"4,827,600.00","120,862,846.40","120,862,846.40",Productos básicos de consumo,6474535,JP3726800000,Tokyo Stock Exchange,Japón,USD,JPY,111.72
