26-mar-2019,,,,,,,,,,,
iShares Nasdaq Biotechnology ETF,,,,,,,,,,,
Inception Date,05 feb 2001,,,,,,,,,,
Fund Holdings as of,26 mar 2019,,,,,,,,,,
Total Net Assets,"USD 8.156.700.530,93",,,,,,,,,,
Number of Securities,"222,00",,,,,,,,,,
Share,"73.950.000,00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Intercambio
AMGN,AMGEN INC,Equity,8.09,188.27,"3,510,845.00","660,986,788.15","660,986,788.15",Cuidado de la Salud,2023607,US0311621009,NASDAQ
GILD,GILEAD SCIENCES INC,Equity,8.07,64.24,"10,263,660.00","659,337,518.40","659,337,518.40",Cuidado de la Salud,2369174,US3755581036,NASDAQ
CELG,CELGENE CORP,Equity,7.77,89.20,"7,116,017.00","634,748,716.40","634,748,716.40",Cuidado de la Salud,2182348,US1510201049,NASDAQ
VRTX,VERTEX PHARMACEUTICALS INC,Equity,6.03,189.91,"2,591,513.00","492,154,233.83","492,154,233.83",Cuidado de la Salud,2931034,US92532F1003,NASDAQ
BIIB,BIOGEN INC,Equity,5.69,232.91,"1,993,576.00","464,323,786.16","464,323,786.16",Cuidado de la Salud,2455965,US09062X1037,NASDAQ
ALXN,ALEXION PHARMACEUTICALS INC,Equity,4.03,136.79,"2,404,321.00","328,887,069.59","328,887,069.59",Cuidado de la Salud,2036070,US0153511094,NASDAQ
ILMN,ILLUMINA INC,Equity,4.02,307.50,"1,066,423.00","327,925,072.50","327,925,072.50",Cuidado de la Salud,2613990,US4523271090,NASDAQ
REGN,REGENERON PHARMACEUTICALS INC,Equity,3.85,405.62,"774,505.00","314,154,718.10","314,154,718.10",Cuidado de la Salud,2730190,US75886F1075,NASDAQ
INCY,INCYTE CORP,Equity,2.46,87.12,"2,303,039.00","200,640,757.68","200,640,757.68",Cuidado de la Salud,2471950,US45337C1027,NASDAQ
BMRN,BIOMARIN PHARMACEUTICAL INC,Equity,2.11,89.66,"1,919,130.00","172,069,195.80","172,069,195.80",Cuidado de la Salud,2437071,US09061G1013,NASDAQ
MYL,MYLAN NV,Equity,1.92,28.18,"5,551,153.00","156,431,491.54","156,431,491.54",Cuidado de la Salud,BVFMFG8,NL0011031208,NASDAQ
SGEN,SEATTLE GENETICS INC,Equity,1.59,75.29,"1,727,486.00","130,062,420.94","130,062,420.94",Cuidado de la Salud,2738127,US8125781026,NASDAQ
IONS,IONIS PHARMACEUTICALS INC,Equity,1.45,80.18,"1,480,135.00","118,677,224.30","118,677,224.30",Cuidado de la Salud,BDJ0LS6,US4622221004,NASDAQ
ALNY,ALNYLAM PHARMACEUTICALS INC,Equity,1.22,87.14,"1,143,283.00","99,625,680.62","99,625,680.62",Cuidado de la Salud,B00FWN1,US02043Q1076,NASDAQ
SRPT,SAREPTA THERAPEUTICS INC,Equity,1.15,122.00,"767,047.00","93,579,734.00","93,579,734.00",Cuidado de la Salud,B8DPDT7,US8036071004,NASDAQ
BLUE,BLUEBIRD BIO INC,Equity,1.11,152.81,"591,222.00","90,344,633.82","90,344,633.82",Cuidado de la Salud,BBFL7S1,US09609G1004,NASDAQ
SAGE,SAGE THERAPEUTICS INC,Equity,1.10,163.65,"547,949.00","89,671,853.85","89,671,853.85",Cuidado de la Salud,BP4GNK9,US78667J1088,NASDAQ
NBIX,NEUROCRINE BIOSCIENCES INC,Equity,1.04,87.13,"977,162.00","85,140,125.06","85,140,125.06",Cuidado de la Salud,2623911,US64125C1099,NASDAQ
JAZZ,JAZZ PHARMACEUTICALS PLC,Equity,1.03,136.54,"613,832.00","83,812,621.28","83,812,621.28",Cuidado de la Salud,B4Q5ZN4,IE00B4Q5ZN47,NASDAQ
TECH,BIO TECHNE CORP,Equity,0.97,195.94,"406,319.00","79,614,144.86","79,614,144.86",Cuidado de la Salud,BSHZ3Q0,US09073M1045,NASDAQ
