14-mar-2019,,,,,,,,,,,
iShares Russell 1000 ETF,,,,,,,,,,,
Inception Date,15-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 19,399,882,369.48",,,,,,,,,,
Number of Securities,978.00,,,,,,,,,,
Share,"123,400,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
AAPL,APPLE INC,Equity,3.30,183.73,"3,471,254.00","637,773,497.42","637,773,497.42",Tecnología de la Información,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,3.29,114.59,"5,539,518.00","634,773,367.62","634,773,367.62",Tecnología de la Información,2588173,US5949181045,NASDAQ
AMZN,AMAZON COM INC,Equity,2.60,"1,686.22","297,166.00","501,087,252.52","501,087,252.52",Consumo discrecional,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,1.53,170.17,"1,738,045.00","295,763,117.65","295,763,117.65",Comunicación,B7TL820,US30303M1027,NASDAQ
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.49,203.38,"1,415,867.00","287,959,030.46","287,959,030.46",Financieros,2073390,US0846707026,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.40,138.02,"1,962,282.00","270,834,161.64","270,834,161.64",Cuidado de la Salud,2475833,US4781601046,New York Stock Exchange Inc.
GOOG,ALPHABET INC CLASS C,Equity,1.37,"1,185.55","222,559.00","263,854,822.45","263,854,822.45",Comunicación,BYY88Y7,US02079K1079,NASDAQ
GOOGL,ALPHABET INC CLASS A,Equity,1.35,"1,192.53","218,377.00","260,421,123.81","260,421,123.81",Comunicación,BYVY8G0,US02079K3059,NASDAQ
JPM,JPMORGAN CHASE & CO,Equity,1.32,105.34,"2,418,626.00","254,778,062.84","254,778,062.84",Financieros,2190385,US46625H1005,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,1.29,80.44,"3,096,467.00","249,079,805.48","249,079,805.48",Energía,2326618,US30231G1022,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,1.03,154.20,"1,287,335.00","198,507,057.00","198,507,057.00",Tecnología de la Información,B2PZN04,US92826C8394,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,1.02,29.46,"6,686,071.00","196,971,651.66","196,971,651.66",Financieros,2295677,US0605051046,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,0.96,101.32,"1,820,509.00","184,453,971.88","184,453,971.88",Productos básicos de consumo,2704407,US7427181091,New York Stock Exchange Inc.
INTC,INTEL CORP,Equity,0.92,53.44,"3,339,506.00","178,463,200.64","178,463,200.64",Tecnología de la Información,2463247,US4581401001,NASDAQ
UNH,UNITEDHEALTH GROUP INC,Equity,0.92,253.27,"698,629.00","176,941,766.83","176,941,766.83",Cuidado de la Salud,2917766,US91324P1021,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,0.91,57.95,"3,023,465.00","175,209,796.75","175,209,796.75",Comunicación,2090571,US92343V1044,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,0.91,52.74,"3,315,768.00","174,873,604.32","174,873,604.32",Tecnología de la Información,2198163,US17275R1023,NASDAQ
PFE,PFIZER INC,Equity,0.90,41.19,"4,240,605.00","174,670,519.95","174,670,519.95",Cuidado de la Salud,2684703,US7170811035,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,0.90,124.60,"1,392,206.00","173,468,867.60","173,468,867.60",Energía,2838555,US1667641005,New York Stock Exchange Inc.
T,AT&T INC,Equity,0.83,30.28,"5,312,771.00","160,870,705.88","160,870,705.88",Comunicación,2831811,US00206R1023,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,0.81,50.35,"3,101,468.00","156,158,913.80","156,158,913.80",Financieros,2649100,US9497461015,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,0.80,81.49,"1,902,490.00","155,033,910.10","155,033,910.10",Cuidado de la Salud,2778844,US58933Y1055,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.80,229.51,"671,459.00","154,106,555.09","154,106,555.09",Tecnología de la Información,B121557,US57636Q1040,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.79,181.61,"842,425.00","152,992,804.25","152,992,804.25",Consumo discrecional,2434209,US4370761029,New York Stock Exchange Inc.
BA,BOEING,Equity,0.76,373.30,"391,330.00","146,083,489.00","146,083,489.00",Industriales,2108601,US0970231058,New York Stock Exchange Inc.
CMCSA,COMCAST CORP CLASS A,Equity,0.69,39.87,"3,339,279.00","133,137,053.73","133,137,053.73",Comunicación,2044545,US20030N1019,NASDAQ
KO,COCA-COLA,Equity,0.66,45.70,"2,795,731.00","127,764,906.70","127,764,906.70",Productos básicos de consumo,2206657,US1912161007,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.65,114.48,"1,089,663.00","124,744,620.24","124,744,620.24",Comunicación,2270726,US2546871060,New York Stock Exchange Inc.
PEP,PEPSICO INC,Equity,0.62,115.50,"1,035,412.00","119,590,086.00","119,590,086.00",Productos básicos de consumo,2681511,US7134481081,NASDAQ
C,CITIGROUP INC,Equity,0.59,64.11,"1,783,926.00","114,367,495.86","114,367,495.86",Financieros,2297907,US1729674242,New York Stock Exchange Inc.
NFLX,NETFLIX INC,Equity,0.57,358.82,"304,749.00","109,350,036.18","109,350,036.18",Comunicación,2857817,US64110L1061,NASDAQ
MCD,MCDONALDS CORP,Equity,0.54,182.74,"567,781.00","103,756,299.94","103,756,299.94",Consumo discrecional,2550707,US5801351017,New York Stock Exchange Inc.
WMT,WALMART INC,Equity,0.53,98.22,"1,043,074.00","102,450,728.28","102,450,728.28",Productos básicos de consumo,2936921,US9311421039,New York Stock Exchange Inc.
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.53,89.79,"1,136,189.00","102,018,410.31","102,018,410.31",Productos básicos de consumo,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
ABT,ABBOTT LABORATORIES,Equity,0.51,78.98,"1,251,059.00","98,808,639.82","98,808,639.82",Cuidado de la Salud,2002305,US0028241000,New York Stock Exchange Inc.
ORCL,ORACLE CORP,Equity,0.51,53.05,"1,862,167.00","98,787,959.35","98,787,959.35",Tecnología de la Información,2661568,US68389X1054,New York Stock Exchange Inc.
ADBE,ADOBE INC,Equity,0.50,267.69,"359,437.00","96,217,690.53","96,217,690.53",Tecnología de la Información,2008154,US00724F1012,NASDAQ
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.48,138.79,"672,031.00","93,271,182.49","93,271,182.49",Tecnología de la Información,2005973,US4592001014,New York Stock Exchange Inc.
DWDP,DOWDUPONT INC,Equity,0.48,55.03,"1,678,626.00","92,374,788.78","92,374,788.78",Materiales,BYP66M4,US26078J1007,New York Stock Exchange Inc.
MDT,MEDTRONIC PLC,Equity,0.48,93.33,"989,361.00","92,337,062.13","92,337,062.13",Cuidado de la Salud,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Equity,0.46,165.17,"541,167.00","89,384,553.39","89,384,553.39",Industriales,2914734,US9078181081,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,0.46,79.95,"1,107,792.00","88,567,970.40","88,567,970.40",Cuidado de la Salud,B92SR70,US00287Y1091,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.45,187.76,"466,259.00","87,544,789.84","87,544,789.84",Cuidado de la Salud,2023607,US0311621009,NASDAQ
MMM,3M,Equity,0.45,207.38,"416,841.00","86,444,486.58","86,444,486.58",Industriales,2595708,US88579Y1010,New York Stock Exchange Inc.
PYPL,PAYPAL HOLDINGS INC,Equity,0.45,99.03,"868,948.00","86,051,920.44","86,051,920.44",Tecnología de la Información,BYW36M8,US70450Y1038,NASDAQ
HON,HONEYWELL INTERNATIONAL INC,Equity,0.44,155.25,"545,172.00","84,637,953.00","84,637,953.00",Industriales,2020459,US4385161066,New York Stock Exchange Inc.
CRM,SALESFORCE.COM INC,Equity,0.44,160.67,"525,900.00","84,496,353.00","84,496,353.00",Tecnología de la Información,2310525,US79466L3024,New York Stock Exchange Inc.
XTSLA,BLK CSH FND TREASURY SL AGENCY,Money Market,0.43,1.00,"83,658,638.00","83,658,637.66","83,658,637.66",Liquidez,--,US0669224778,--
AVGO,BROADCOM INC,Equity,0.42,268.20,"300,790.00","80,671,878.00","80,671,878.00",Tecnología de la Información,BDZ78H9,US11135F1012,NASDAQ
NKE,NIKE INC CLASS B,Equity,0.41,86.87,"917,971.00","79,744,140.77","79,744,140.77",Consumo discrecional,2640147,US6541061031,New York Stock Exchange Inc.
LLY,ELI LILLY,Equity,0.41,123.08,"644,333.00","79,304,505.64","79,304,505.64",Cuidado de la Salud,2516152,US5324571083,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,0.40,56.40,"1,385,303.00","78,131,089.20","78,131,089.20",Productos básicos de consumo,2692632,US02209S1033,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Equity,0.40,164.82,"470,405.00","77,532,152.10","77,532,152.10",Tecnología de la Información,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
TMO,THERMO FISHER SCIENTIFIC INC,Equity,0.40,261.43,"292,628.00","76,501,738.04","76,501,738.04",Cuidado de la Salud,2886907,US8835561023,New York Stock Exchange Inc.
TXN,TEXAS INSTRUMENT INC,Equity,0.39,107.10,"701,709.00","75,153,033.90","75,153,033.90",Tecnología de la Información,2885409,US8825081040,NASDAQ
UTX,UNITED TECHNOLOGIES CORP,Equity,0.39,126.89,"591,382.00","75,040,461.98","75,040,461.98",Industriales,2915500,US9130171096,New York Stock Exchange Inc.
COST,COSTCO WHOLESALE CORP,Equity,0.39,233.84,"319,622.00","74,740,408.48","74,740,408.48",Productos básicos de consumo,2701271,US22160K1051,NASDAQ
NVDA,NVIDIA CORP,Equity,0.36,165.56,"424,772.00","70,325,252.32","70,325,252.32",Tecnología de la Información,2379504,US67066G1040,NASDAQ
LIN,LINDE PLC,Equity,0.36,174.21,"402,488.00","70,117,434.48","70,117,434.48",Materiales,BZ12WP8,IE00BZ12WP82,New York Stock Exchange Inc.
NEE,NEXTERA ENERGY INC,Equity,0.35,190.98,"349,243.00","66,698,428.14","66,698,428.14",Servicios,2328915,US65339F1012,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Equity,0.34,10.30,"6,291,074.00","64,798,062.20","64,798,062.20",Industriales,2380498,US3696041033,New York Stock Exchange Inc.
SBUX,STARBUCKS CORP,Equity,0.32,70.74,"882,664.00","62,439,651.36","62,439,651.36",Consumo discrecional,2842255,US8552441094,NASDAQ
GILD,GILEAD SCIENCES INC,Equity,0.32,64.79,"944,586.00","61,199,726.94","61,199,726.94",Cuidado de la Salud,2369174,US3755581036,NASDAQ
BKNG,BOOKING HOLDINGS INC,Equity,0.31,"1,743.88","34,596.00","60,331,272.48","60,331,272.48",Consumo discrecional,BDRXDB4,US09857L1089,NASDAQ
AMT,AMERICAN TOWER REIT CORP,Equity,0.31,187.97,"320,025.00","60,155,099.25","60,155,099.25",Bienes Raíces,B7FBFL2,US03027X1000,New York Stock Exchange Inc.
LOW,LOWES COMPANIES INC,Equity,0.31,100.81,"595,799.00","60,062,497.19","60,062,497.19",Consumo discrecional,2536763,US5486611073,New York Stock Exchange Inc.
BMY,BRISTOL MYERS SQUIBB,Equity,0.31,49.89,"1,193,557.00","59,546,558.73","59,546,558.73",Cuidado de la Salud,2126335,US1101221083,New York Stock Exchange Inc.
DHR,DANAHER CORP,Equity,0.30,128.11,"458,734.00","58,768,412.74","58,768,412.74",Cuidado de la Salud,2250870,US2358511028,New York Stock Exchange Inc.
AXP,AMERICAN EXPRESS,Equity,0.30,112.35,"517,235.00","58,111,352.25","58,111,352.25",Financieros,2026082,US0258161092,New York Stock Exchange Inc.
ANTM,ANTHEM INC,Equity,0.30,305.45,"189,843.00","57,987,544.35","57,987,544.35",Cuidado de la Salud,BSPHGL4,US0367521038,New York Stock Exchange Inc.
USB,US BANCORP,Equity,0.30,51.71,"1,104,298.00","57,103,249.58","57,103,249.58",Financieros,2736035,US9029733048,New York Stock Exchange Inc.
COP,CONOCOPHILLIPS,Equity,0.29,67.02,"840,964.00","56,361,407.28","56,361,407.28",Energía,2685717,US20825C1045,New York Stock Exchange Inc.
CAT,CATERPILLAR INC,Equity,0.29,133.69,"418,198.00","55,908,890.62","55,908,890.62",Industriales,2180201,US1491231015,New York Stock Exchange Inc.
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.29,110.88,"503,968.00","55,879,971.84","55,879,971.84",Industriales,2517382,US9113121068,New York Stock Exchange Inc.
LMT,LOCKHEED MARTIN CORP,Equity,0.28,298.51,"181,025.00","54,037,772.75","54,037,772.75",Industriales,2522096,US5398301094,New York Stock Exchange Inc.
CVS,CVS HEALTH CORP,Equity,0.27,55.88,"937,184.00","52,369,841.92","52,369,841.92",Cuidado de la Salud,2577609,US1266501006,New York Stock Exchange Inc.
GS,GOLDMAN SACHS GROUP INC,Equity,0.26,197.47,"254,401.00","50,236,565.47","50,236,565.47",Financieros,2407966,US38141G1040,New York Stock Exchange Inc.
ADP,AUTOMATIC DATA PROCESSING INC,Equity,0.26,153.51,"321,394.00","49,337,192.94","49,337,192.94",Tecnología de la Información,2065308,US0530151036,NASDAQ
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.26,47.35,"1,041,858.00","49,331,976.30","49,331,976.30",Productos básicos de consumo,B8CKK03,US6092071058,NASDAQ
QCOM,QUALCOMM INC,Equity,0.25,55.40,"884,672.00","49,010,828.80","49,010,828.80",Tecnología de la Información,2714923,US7475251036,NASDAQ
BDX,BECTON DICKINSON,Equity,0.25,252.26,"193,293.00","48,760,092.18","48,760,092.18",Cuidado de la Salud,2087807,US0758871091,New York Stock Exchange Inc.
SYK,STRYKER CORP,Equity,0.25,193.35,"249,191.00","48,181,079.85","48,181,079.85",Cuidado de la Salud,2853688,US8636671013,New York Stock Exchange Inc.
BIIB,BIOGEN INC,Equity,0.24,321.52,"146,808.00","47,201,708.16","47,201,708.16",Cuidado de la Salud,2455965,US09062X1037,NASDAQ
TJX,TJX INC,Equity,0.24,52.10,"903,404.00","47,067,348.40","47,067,348.40",Consumo discrecional,2989301,US8725401090,New York Stock Exchange Inc.
DUK,DUKE ENERGY CORP,Equity,0.24,90.36,"520,304.00","47,014,669.44","47,014,669.44",Servicios,B7VD3F2,US26441C2044,New York Stock Exchange Inc.
CI,CIGNA CORP,Equity,0.24,169.56,"272,737.00","46,245,285.72","46,245,285.72",Cuidado de la Salud,BHJ0775,US1255231003,New York Stock Exchange Inc.
ISRG,INTUITIVE SURGICAL INC,Equity,0.24,558.73,"81,967.00","45,797,421.91","45,797,421.91",Cuidado de la Salud,2871301,US46120E6023,NASDAQ
INTU,INTUIT INC,Equity,0.24,256.77,"177,912.00","45,682,464.24","45,682,464.24",Tecnología de la Información,2459020,US4612021034,NASDAQ
CB,CHUBB LTD,Equity,0.23,135.40,"334,593.00","45,303,892.20","45,303,892.20",Financieros,B3BQMF6,CH0044328745,New York Stock Exchange Inc.
CELG,CELGENE CORP,Equity,0.23,88.29,"512,036.00","45,207,658.44","45,207,658.44",Cuidado de la Salud,2182348,US1510201049,NASDAQ
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Equity,0.23,352.71,"127,309.00","44,903,157.39","44,903,157.39",Comunicación,BZ6VT82,US16119P1084,NASDAQ
PNC,PNC FINANCIAL SERVICES GROUP INC,Equity,0.23,129.60,"338,566.00","43,878,153.60","43,878,153.60",Financieros,2692665,US6934751057,New York Stock Exchange Inc.
SLB,SCHLUMBERGER NV,Equity,0.23,43.09,"1,011,550.00","43,587,689.50","43,587,689.50",Energía,2779201,AN8068571086,New York Stock Exchange Inc.
CME,CME GROUP INC CLASS A,Equity,0.23,168.43,"258,072.00","43,467,066.96","43,467,066.96",Financieros,2965839,US12572Q1058,NASDAQ
CSX,CSX CORP,Equity,0.22,73.00,"586,334.00","42,802,382.00","42,802,382.00",Industriales,2160753,US1264081035,NASDAQ
D,DOMINION ENERGY INC,Equity,0.22,76.64,"554,432.00","42,491,668.48","42,491,668.48",Servicios,2542049,US25746U1097,New York Stock Exchange Inc.
CL,COLGATE-PALMOLIVE,Equity,0.21,66.25,"621,848.00","41,197,430.00","41,197,430.00",Productos básicos de consumo,2209106,US1941621039,New York Stock Exchange Inc.
SPG,SIMON PROPERTY GROUP REIT INC,Equity,0.21,179.79,"224,762.00","40,409,959.98","40,409,959.98",Bienes Raíces,2812452,US8288061091,New York Stock Exchange Inc.
BSX,BOSTON SCIENTIFIC CORP,Equity,0.21,40.05,"1,005,257.00","40,260,542.85","40,260,542.85",Cuidado de la Salud,2113434,US1011371077,New York Stock Exchange Inc.
SCHW,CHARLES SCHWAB CORP,Equity,0.21,45.30,"876,512.00","39,705,993.60","39,705,993.60",Financieros,2779397,US8085131055,New York Stock Exchange Inc.
FOXA,TWENTY FIRST CENTURY FOX INC CLASS,Equity,0.20,51.70,"761,331.00","39,360,812.70","39,360,812.70",Comunicación,BBM4S68,US90130A1016,NASDAQ
SO,SOUTHERN,Equity,0.20,51.53,"751,147.00","38,706,604.91","38,706,604.91",Servicios,2829601,US8425871071,New York Stock Exchange Inc.
BLK,BLACKROCK INC,Equity,0.20,433.63,"88,505.00","38,378,423.15","38,378,423.15",Financieros,2494504,US09247X1019,New York Stock Exchange Inc.
EOG,EOG RESOURCES INC,Equity,0.20,89.69,"421,831.00","37,834,022.39","37,834,022.39",Energía,2318024,US26875P1012,New York Stock Exchange Inc.
MS,MORGAN STANLEY,Equity,0.20,42.69,"885,035.00","37,782,144.15","37,782,144.15",Financieros,2262314,US6174464486,New York Stock Exchange Inc.
RTN,RAYTHEON,Equity,0.20,180.25,"209,534.00","37,768,503.50","37,768,503.50",Industriales,2758051,US7551115071,New York Stock Exchange Inc.
