14-mar-2019,,,,,,,,,,,
iShares Russell 1000 Growth ETF,,,,,,,,,,,
Inception Date,22-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 42,473,905,308.13",,,,,,,,,,
Number of Securities,544.00,,,,,,,,,,
Share,"283,100,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
AAPL,APPLE INC,Equity,6.60,183.73,"15,189,695.00","2,790,802,662.35","2,790,802,662.35",Tecnología de la Información,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,6.23,114.59,"22,955,667.00","2,630,489,881.53","2,630,489,881.53",Tecnología de la Información,2588173,US5949181045,NASDAQ
AMZN,AMAZON COM INC,Equity,5.19,"1,686.22","1,300,204.00","2,192,429,988.88","2,192,429,988.88",Consumo discrecional,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,3.07,170.17,"7,621,683.00","1,296,981,796.11","1,296,981,796.11",Comunicación,B7TL820,US30303M1027,NASDAQ
GOOG,ALPHABET INC CLASS C,Equity,2.73,"1,185.55","974,038.00","1,154,770,750.90","1,154,770,750.90",Comunicación,BYY88Y7,US02079K1079,NASDAQ
GOOGL,ALPHABET INC CLASS A,Equity,2.70,"1,192.53","955,387.00","1,139,327,659.11","1,139,327,659.11",Comunicación,BYVY8G0,US02079K3059,NASDAQ
V,VISA INC CLASS A,Equity,2.06,154.20,"5,645,389.00","870,518,983.80","870,518,983.80",Tecnología de la Información,B2PZN04,US92826C8394,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,1.84,253.27,"3,063,616.00","775,922,024.32","775,922,024.32",Cuidado de la Salud,2917766,US91324P1021,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,1.60,229.51,"2,944,470.00","675,785,309.70","675,785,309.70",Tecnología de la Información,B121557,US57636Q1040,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,1.59,181.61,"3,694,124.00","670,889,859.64","670,889,859.64",Consumo discrecional,2434209,US4370761029,New York Stock Exchange Inc.
BA,BOEING,Equity,1.52,373.30,"1,716,171.00","640,646,634.30","640,646,634.30",Industriales,2108601,US0970231058,New York Stock Exchange Inc.
NFLX,NETFLIX INC,Equity,1.13,358.82,"1,335,408.00","479,171,098.56","479,171,098.56",Comunicación,2857817,US64110L1061,NASDAQ
PEP,PEPSICO INC,Equity,1.10,115.50,"4,027,298.00","465,152,919.00","465,152,919.00",Productos básicos de consumo,2681511,US7134481081,NASDAQ
KO,COCA-COLA,Equity,1.03,45.70,"9,513,785.00","434,779,974.50","434,779,974.50",Productos básicos de consumo,2206657,US1912161007,New York Stock Exchange Inc.
ADBE,ADOBE INC,Equity,1.00,267.69,"1,575,510.00","421,748,271.90","421,748,271.90",Tecnología de la Información,2008154,US00724F1012,NASDAQ
DIS,WALT DISNEY,Equity,0.93,114.48,"3,421,318.00","391,672,484.64","391,672,484.64",Comunicación,2270726,US2546871060,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,0.92,79.95,"4,856,716.00","388,294,444.20","388,294,444.20",Cuidado de la Salud,B92SR70,US00287Y1091,New York Stock Exchange Inc.
PYPL,PAYPAL HOLDINGS INC,Equity,0.89,99.03,"3,807,274.00","377,034,344.22","377,034,344.22",Tecnología de la Información,BYW36M8,US70450Y1038,NASDAQ
CRM,SALESFORCE.COM INC,Equity,0.88,160.67,"2,304,532.00","370,269,156.44","370,269,156.44",Tecnología de la Información,2310525,US79466L3024,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.85,187.76,"1,922,473.00","360,963,530.48","360,963,530.48",Cuidado de la Salud,2023607,US0311621009,NASDAQ
UNP,UNION PACIFIC CORP,Equity,0.85,165.17,"2,178,937.00","359,895,024.29","359,895,024.29",Industriales,2914734,US9078181081,New York Stock Exchange Inc.
NKE,NIKE INC CLASS B,Equity,0.83,86.87,"4,021,147.00","349,317,039.89","349,317,039.89",Consumo discrecional,2640147,US6541061031,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,0.81,56.40,"6,068,206.00","342,246,818.40","342,246,818.40",Productos básicos de consumo,2692632,US02209S1033,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Equity,0.80,164.82,"2,060,656.00","339,637,321.92","339,637,321.92",Tecnología de la Información,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
TXN,TEXAS INSTRUMENT INC,Equity,0.78,107.10,"3,080,573.00","329,929,368.30","329,929,368.30",Tecnología de la Información,2885409,US8825081040,NASDAQ
COST,COSTCO WHOLESALE CORP,Equity,0.77,233.84,"1,400,224.00","327,428,380.16","327,428,380.16",Productos básicos de consumo,2701271,US22160K1051,NASDAQ
MMM,3M,Equity,0.75,207.38,"1,525,183.00","316,292,450.54","316,292,450.54",Industriales,2595708,US88579Y1010,New York Stock Exchange Inc.
NVDA,NVIDIA CORP,Equity,0.73,165.56,"1,865,388.00","308,833,637.28","308,833,637.28",Tecnología de la Información,2379504,US67066G1040,NASDAQ
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.70,138.79,"2,117,059.00","293,826,618.61","293,826,618.61",Tecnología de la Información,2005973,US4592001014,New York Stock Exchange Inc.
SBUX,STARBUCKS CORP,Equity,0.65,70.74,"3,870,593.00","273,805,748.82","273,805,748.82",Consumo discrecional,2842255,US8552441094,NASDAQ
BKNG,BOOKING HOLDINGS INC,Equity,0.63,"1,743.88","151,915.00","264,921,530.20","264,921,530.20",Consumo discrecional,BDRXDB4,US09857L1089,NASDAQ
AMT,AMERICAN TOWER REIT CORP,Equity,0.63,187.97,"1,405,307.00","264,155,556.79","264,155,556.79",Bienes Raíces,B7FBFL2,US03027X1000,New York Stock Exchange Inc.
LOW,LOWES COMPANIES INC,Equity,0.62,100.81,"2,616,451.00","263,764,425.31","263,764,425.31",Consumo discrecional,2536763,US5486611073,New York Stock Exchange Inc.
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.58,110.88,"2,213,155.00","245,394,626.40","245,394,626.40",Industriales,2517382,US9113121068,New York Stock Exchange Inc.
HON,HONEYWELL INTERNATIONAL INC,Equity,0.54,155.25,"1,483,367.00","230,292,726.75","230,292,726.75",Industriales,2020459,US4385161066,New York Stock Exchange Inc.
CAT,CATERPILLAR INC,Equity,0.53,133.69,"1,687,357.00","225,582,757.33","225,582,757.33",Industriales,2180201,US1491231015,New York Stock Exchange Inc.
ADP,AUTOMATIC DATA PROCESSING INC,Equity,0.51,153.51,"1,411,484.00","216,676,908.84","216,676,908.84",Tecnología de la Información,2065308,US0530151036,NASDAQ
LMT,LOCKHEED MARTIN CORP,Equity,0.51,298.51,"725,824.00","216,665,722.24","216,665,722.24",Industriales,2522096,US5398301094,New York Stock Exchange Inc.
LLY,ELI LILLY,Equity,0.51,123.08,"1,736,952.00","213,784,052.16","213,784,052.16",Cuidado de la Salud,2516152,US5324571083,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,0.51,138.02,"1,548,902.00","213,779,454.04","213,779,454.04",Cuidado de la Salud,2475833,US4781601046,New York Stock Exchange Inc.
AVGO,BROADCOM INC,Equity,0.50,268.20,"790,573.00","212,031,678.60","212,031,678.60",Tecnología de la Información,BDZ78H9,US11135F1012,NASDAQ
SYK,STRYKER CORP,Equity,0.50,193.35,"1,094,367.00","211,595,859.45","211,595,859.45",Cuidado de la Salud,2853688,US8636671013,New York Stock Exchange Inc.
TJX,TJX INC,Equity,0.49,52.10,"3,966,484.00","206,653,816.40","206,653,816.40",Consumo discrecional,2989301,US8725401090,New York Stock Exchange Inc.
ISRG,INTUITIVE SURGICAL INC,Equity,0.48,558.73,"359,981.00","201,132,184.13","201,132,184.13",Cuidado de la Salud,2871301,US46120E6023,NASDAQ
INTU,INTUIT INC,Equity,0.47,256.77,"781,236.00","200,597,967.72","200,597,967.72",Tecnología de la Información,2459020,US4612021034,NASDAQ
GILD,GILEAD SCIENCES INC,Equity,0.47,64.79,"3,090,350.00","200,223,776.50","200,223,776.50",Cuidado de la Salud,2369174,US3755581036,NASDAQ
CELG,CELGENE CORP,Equity,0.47,88.29,"2,248,670.00","198,535,074.30","198,535,074.30",Cuidado de la Salud,2182348,US1510201049,NASDAQ
BIIB,BIOGEN INC,Equity,0.47,321.52,"611,250.00","196,529,100.00","196,529,100.00",Cuidado de la Salud,2455965,US09062X1037,NASDAQ
LIN,LINDE PLC,Equity,0.43,174.21,"1,043,969.00","181,869,839.49","181,869,839.49",Materiales,BZ12WP8,IE00BZ12WP82,New York Stock Exchange Inc.
SCHW,CHARLES SCHWAB CORP,Equity,0.41,45.30,"3,849,158.00","174,366,857.40","174,366,857.40",Financieros,2779397,US8085131055,New York Stock Exchange Inc.
AXP,AMERICAN EXPRESS,Equity,0.41,112.35,"1,549,095.00","174,040,823.25","174,040,823.25",Financieros,2026082,US0258161092,New York Stock Exchange Inc.
RTN,RAYTHEON,Equity,0.39,180.25,"920,207.00","165,867,311.75","165,867,311.75",Industriales,2758051,US7551115071,New York Stock Exchange Inc.
DE,DEERE,Equity,0.39,157.76,"1,036,887.00","163,579,293.12","163,579,293.12",Industriales,2261203,US2441991054,New York Stock Exchange Inc.
SPG,SIMON PROPERTY GROUP REIT INC,Equity,0.39,179.79,"906,182.00","162,922,461.78","162,922,461.78",Bienes Raíces,2812452,US8288061091,New York Stock Exchange Inc.
SPGI,S&P GLOBAL INC,Equity,0.38,201.60,"804,999.00","162,287,798.40","162,287,798.40",Financieros,BYV2325,US78409V1044,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,0.38,203.38,"782,333.00","159,110,885.54","159,110,885.54",Financieros,2073390,US0846707026,New York Stock Exchange Inc.
ITW,ILLINOIS TOOL INC,Equity,0.36,144.90,"1,059,248.00","153,485,035.20","153,485,035.20",Industriales,2457552,US4523081093,New York Stock Exchange Inc.
VRTX,VERTEX PHARMACEUTICALS INC,Equity,0.36,186.11,"817,094.00","152,069,364.34","152,069,364.34",Cuidado de la Salud,2931034,US92532F1003,NASDAQ
