14-mar-2019,,,,,,,,,,,
iShares Russell 1000 Value ETF,,,,,,,,,,,
Inception Date,22-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 38,173,656,092.63",,,,,,,,,,
Number of Securities,722.00,,,,,,,,,,
Share,"306,600,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
JPM,JPMORGAN CHASE & CO,Equity,2.65,105.34,"9,571,139.00","1,008,223,782.26","1,008,223,782.26",Financieros,2190385,US46625H1005,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,2.62,203.38,"4,897,057.00","995,963,452.66","995,963,452.66",Financieros,2073390,US0846707026,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,2.59,80.44,"12,253,663.00","985,684,651.72","985,684,651.72",Energía,2326618,US30231G1022,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,2.31,138.02,"6,367,523.00","878,845,524.46","878,845,524.46",Cuidado de la Salud,2475833,US4781601046,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,2.05,29.46,"26,458,528.00","779,468,234.88","779,468,234.88",Financieros,2295677,US0605051046,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.92,101.32,"7,204,327.00","729,942,411.64","729,942,411.64",Productos básicos de consumo,2704407,US7427181091,New York Stock Exchange Inc.
INTC,INTEL CORP,Equity,1.86,53.44,"13,215,314.00","706,226,380.16","706,226,380.16",Tecnología de la Información,2463247,US4581401001,NASDAQ
VZ,VERIZON COMMUNICATIONS INC,Equity,1.82,57.95,"11,964,675.00","693,352,916.25","693,352,916.25",Comunicación,2090571,US92343V1044,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,1.82,52.74,"13,116,295.00","691,753,398.30","691,753,398.30",Tecnología de la Información,2198163,US17275R1023,NASDAQ
PFE,PFIZER INC,Equity,1.82,41.19,"16,781,138.00","691,215,074.22","691,215,074.22",Cuidado de la Salud,2684703,US7170811035,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,1.81,124.60,"5,509,335.00","686,463,141.00","686,463,141.00",Energía,2838555,US1667641005,New York Stock Exchange Inc.
T,AT&T INC,Equity,1.67,30.28,"21,024,144.00","636,611,080.32","636,611,080.32",Comunicación,2831811,US00206R1023,New York Stock Exchange Inc.
