14-mar-2019,,,,,,,,,,,
iShares S&P 500 Growth ETF,,,,,,,,,,,
Inception Date,22-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 22,414,923,835.96",,,,,,,,,,
Number of Securities,296.00,,,,,,,,,,
Share,"131,000,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
MSFT,MICROSOFT CORP,Equity,7.07,114.59,"13,750,243.00","1,575,640,345.37","1,575,640,345.37",Tecnología de la Información,2588173,US5949181045,NASDAQ
AMZN,AMAZON COM INC,Equity,5.53,"1,686.22","730,718.00","1,232,151,305.96","1,232,151,305.96",Consumo discrecional,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,3.26,170.17,"4,274,156.00","727,333,126.52","727,333,126.52",Comunicación,B7TL820,US30303M1027,NASDAQ
GOOG,ALPHABET INC CLASS C,Equity,2.91,"1,185.55","547,346.00","648,906,050.30","648,906,050.30",Comunicación,BYY88Y7,US02079K1079,NASDAQ
GOOGL,ALPHABET INC CLASS A,Equity,2.85,"1,192.53","531,890.00","634,294,781.70","634,294,781.70",Comunicación,BYVY8G0,US02079K3059,NASDAQ
V,VISA INC CLASS A,Equity,2.16,154.20,"3,126,256.00","482,068,675.20","482,068,675.20",Tecnología de la Información,B2PZN04,US92826C8394,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,1.91,57.95,"7,351,109.00","425,996,766.55","425,996,766.55",Comunicación,2090571,US92343V1044,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,1.90,41.19,"10,283,841.00","423,591,410.79","423,591,410.79",Cuidado de la Salud,2684703,US7170811035,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,1.89,52.74,"7,998,601.00","421,846,216.74","421,846,216.74",Tecnología de la Información,2198163,US17275R1023,NASDAQ
JNJ,JOHNSON & JOHNSON,Equity,1.74,138.02,"2,815,153.00","388,547,417.06","388,547,417.06",Cuidado de la Salud,2475833,US4781601046,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,1.69,81.49,"4,626,226.00","376,991,156.74","376,991,156.74",Cuidado de la Salud,2778844,US58933Y1055,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,1.66,229.51,"1,616,508.00","371,004,751.08","371,004,751.08",Tecnología de la Información,B121557,US57636Q1040,New York Stock Exchange Inc.
BA,BOEING,Equity,1.57,373.30,"939,566.00","350,739,987.80","350,739,987.80",Industriales,2108601,US0970231058,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,1.52,80.44,"4,218,038.00","339,298,976.72","339,298,976.72",Energía,2326618,US30231G1022,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.52,203.38,"1,661,272.00","337,869,499.36","337,869,499.36",Financieros,2073390,US0846707026,New York Stock Exchange Inc.
INTC,INTEL CORP,Equity,1.30,53.44,"5,440,183.00","290,723,379.52","290,723,379.52",Tecnología de la Información,2463247,US4581401001,NASDAQ
NFLX,NETFLIX INC,Equity,1.25,358.82,"775,827.00","278,382,244.14","278,382,244.14",Comunicación,2857817,US64110L1061,NASDAQ
PG,PROCTER & GAMBLE,Equity,1.13,101.32,"2,482,146.00","251,491,032.72","251,491,032.72",Productos básicos de consumo,2704407,US7427181091,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,1.12,182.74,"1,371,520.00","250,631,564.80","250,631,564.80",Consumo discrecional,2550707,US5801351017,New York Stock Exchange Inc.
ABT,ABBOTT LABORATORIES,Equity,1.11,78.98,"3,124,612.00","246,781,855.76","246,781,855.76",Cuidado de la Salud,2002305,US0028241000,New York Stock Exchange Inc.
ADBE,ADOBE INC,Equity,1.04,267.69,"868,442.00","232,473,238.98","232,473,238.98",Tecnología de la Información,2008154,US00724F1012,NASDAQ
MDT,MEDTRONIC PLC,Equity,1.00,93.33,"2,389,362.00","222,999,155.46","222,999,155.46",Cuidado de la Salud,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
CRM,SALESFORCE.COM INC,Equity,0.98,160.67,"1,361,005.00","218,672,673.35","218,672,673.35",Tecnología de la Información,2310525,US79466L3024,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Equity,0.97,165.17,"1,310,810.00","216,506,487.70","216,506,487.70",Industriales,2914734,US9078181081,New York Stock Exchange Inc.
PYPL,PAYPAL HOLDINGS INC,Equity,0.93,99.03,"2,096,383.00","207,604,808.49","207,604,808.49",Tecnología de la Información,BYW36M8,US70450Y1038,NASDAQ
