14-mar-2019,,,,,,,,,,,
iShares S&P 500 Value ETF,,,,,,,,,,,
Inception Date,22-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 15,364,259,433.22",,,,,,,,,,
Number of Securities,383.00,,,,,,,,,,
Share,"135,150,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
AAPL,APPLE INC,Equity,7.43,183.73,"6,189,484.00","1,137,193,895.32","1,137,193,895.32",Tecnología de la Información,2046251,US0378331005,NASDAQ
JPM,JPMORGAN CHASE & CO,Equity,3.14,105.34,"4,565,659.00","480,946,519.06","480,946,519.06",Financieros,2190385,US46625H1005,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,2.41,29.46,"12,531,293.00","369,171,891.78","369,171,891.78",Financieros,2295677,US0605051046,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,2.19,253.27,"1,320,835.00","334,527,880.45","334,527,880.45",Cuidado de la Salud,2917766,US91324P1021,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,2.14,124.60,"2,623,418.00","326,877,882.80","326,877,882.80",Energía,2838555,US1667641005,New York Stock Exchange Inc.
T,AT&T INC,Equity,1.98,30.28,"9,992,409.00","302,570,144.52","302,570,144.52",Comunicación,2831811,US00206R1023,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,1.91,50.35,"5,816,576.00","292,864,601.60","292,864,601.60",Financieros,2649100,US9497461015,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.85,203.38,"1,388,892.00","282,472,854.96","282,472,854.96",Financieros,2073390,US0846707026,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,1.40,64.11,"3,352,959.00","214,958,201.49","214,958,201.49",Financieros,2297907,US1729674242,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.36,138.02,"1,509,723.00","208,371,968.46","208,371,968.46",Cuidado de la Salud,2475833,US4781601046,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,1.34,80.44,"2,557,655.00","205,737,768.20","205,737,768.20",Energía,2326618,US30231G1022,New York Stock Exchange Inc.
WMT,WALMART INC,Equity,1.25,98.22,"1,954,516.00","191,972,561.52","191,972,561.52",Productos básicos de consumo,2936921,US9311421039,New York Stock Exchange Inc.
DWDP,DOWDUPONT INC,Equity,1.13,55.03,"3,149,907.00","173,339,382.21","173,339,382.21",Materiales,BYP66M4,US26078J1007,New York Stock Exchange Inc.
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,1.13,138.79,"1,247,739.00","173,173,695.81","173,173,695.81",Tecnología de la Información,2005973,US4592001014,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.00,101.32,"1,505,067.00","152,493,388.44","152,493,388.44",Productos básicos de consumo,2704407,US7427181091,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.99,181.61,"837,431.00","152,085,843.91","152,085,843.91",Consumo discrecional,2434209,US4370761029,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,0.95,56.40,"2,579,855.00","145,503,822.00","145,503,822.00",Productos básicos de consumo,2692632,US02209S1033,New York Stock Exchange Inc.
COST,COSTCO WHOLESALE CORP,Equity,0.92,233.84,"601,642.00","140,687,965.28","140,687,965.28",Productos básicos de consumo,2701271,US22160K1051,NASDAQ
CMCSA,COMCAST CORP CLASS A,Equity,0.88,39.87,"3,365,995.00","134,202,220.65","134,202,220.65",Comunicación,2044545,US20030N1019,NASDAQ
GE,GENERAL ELECTRIC,Equity,0.80,10.30,"11,942,172.00","123,004,371.60","123,004,371.60",Industriales,2380498,US3696041033,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,0.75,45.70,"2,524,620.00","115,375,134.00","115,375,134.00",Productos básicos de consumo,2206657,US1912161007,New York Stock Exchange Inc.
GILD,GILEAD SCIENCES INC,Equity,0.75,64.79,"1,776,090.00","115,072,871.10","115,072,871.10",Cuidado de la Salud,2369174,US3755581036,NASDAQ
INTC,INTEL CORP,Equity,0.72,53.44,"2,067,844.00","110,505,583.36","110,505,583.36",Tecnología de la Información,2463247,US4581401001,NASDAQ
