26-mar-2019,,,,,,,,,,,
iShares U.S. Consumer Services ETF,,,,,,,,,,,
Inception Date,12 jun 2000,,,,,,,,,,
Fund Holdings as of,26 mar 2019,,,,,,,,,,
Total Net Assets,"USD 852.798.179,24",,,,,,,,,,
Number of Securities,"168,00",,,,,,,,,,
Share,"4.200.000,00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Intercambio
AMZN,AMAZON COM INC,Equity,20.77,"1,783.76","99,312.00","177,148,773.12","177,148,773.12",Consumo discrecional,2000019,US0231351067,NASDAQ
DIS,WALT DISNEY,Equity,4.64,110.14,"359,498.00","39,595,109.72","39,595,109.72",Comunicación,2270726,US2546871060,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,4.62,189.34,"207,921.00","39,367,762.14","39,367,762.14",Consumo discrecional,2434209,US4370761029,New York Stock Exchange Inc.
CMCSA,COMCAST CORP CLASS A,Equity,4.61,39.63,"992,729.00","39,341,850.27","39,341,850.27",Comunicación,2044545,US20030N1019,NASDAQ
NFLX,NETFLIX INC,Equity,4.43,359.97,"104,959.00","37,782,091.23","37,782,091.23",Comunicación,2857817,US64110L1061,NASDAQ
MCD,MCDONALDS CORP,Equity,4.25,187.48,"193,132.00","36,208,387.36","36,208,387.36",Consumo discrecional,2550707,US5801351017,New York Stock Exchange Inc.
WMT,WALMART INC,Equity,4.10,98.32,"355,298.00","34,932,899.36","34,932,899.36",Productos básicos de consumo,2936921,US9311421039,New York Stock Exchange Inc.
COST,COSTCO WHOLESALE CORP,Equity,3.03,239.07,"107,907.00","25,797,326.49","25,797,326.49",Productos básicos de consumo,2701271,US22160K1051,NASDAQ
SBUX,STARBUCKS CORP,Equity,2.58,72.96,"301,332.00","21,985,182.72","21,985,182.72",Consumo discrecional,2842255,US8552441094,NASDAQ
LOW,LOWES COMPANIES INC,Equity,2.47,105.96,"198,941.00","21,079,788.36","21,079,788.36",Consumo discrecional,2536763,US5486611073,New York Stock Exchange Inc.
BKNG,BOOKING HOLDINGS INC,Equity,2.27,"1,768.87","10,926.00","19,326,673.62","19,326,673.62",Consumo discrecional,BDRXDB4,US09857L1089,NASDAQ
TJX,TJX INC,Equity,2.02,52.84,"325,698.00","17,209,882.32","17,209,882.32",Consumo discrecional,2989301,US8725401090,New York Stock Exchange Inc.
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Equity,1.82,356.03,"43,562.00","15,509,378.86","15,509,378.86",Comunicación,BZ6VT82,US16119P1084,NASDAQ
WBA,WALGREEN BOOTS ALLIANCE INC,Equity,1.40,61.92,"192,883.00","11,943,315.36","11,943,315.36",Productos básicos de consumo,BTN1Y44,US9314271084,NASDAQ
TGT,TARGET CORP,Equity,1.20,79.63,"128,141.00","10,203,867.83","10,203,867.83",Consumo discrecional,2259101,US87612E1064,New York Stock Exchange Inc.
ROST,ROSS STORES INC,Equity,1.00,90.90,"93,692.00","8,516,602.80","8,516,602.80",Consumo discrecional,2746711,US7782961038,NASDAQ
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Equity,0.98,123.56,"67,598.00","8,352,408.88","8,352,408.88",Consumo discrecional,2210614,US5719032022,NASDAQ
DG,DOLLAR GENERAL CORP,Equity,0.97,118.77,"69,569.00","8,262,710.13","8,262,710.13",Consumo discrecional,B5B1S13,US2566771059,New York Stock Exchange Inc.
SYY,SYSCO CORP,Equity,0.92,66.28,"118,027.00","7,822,829.56","7,822,829.56",Productos básicos de consumo,2868165,US8718291078,New York Stock Exchange Inc.
YUM,YUM BRANDS INC,Equity,0.90,98.75,"77,760.00","7,678,800.00","7,678,800.00",Consumo discrecional,2098876,US9884981013,New York Stock Exchange Inc.
ORLY,OREILLY AUTOMOTIVE INC,Equity,0.89,384.68,"19,775.00","7,607,047.00","7,607,047.00",Consumo discrecional,B65LWX6,US67103H1077,NASDAQ
DAL,DELTA AIR LINES INC,Equity,0.86,49.09,"149,060.00","7,317,355.40","7,317,355.40",Industriales,B1W9D46,US2473617023,New York Stock Exchange Inc.
AZO,AUTOZONE INC,Equity,0.76,997.31,"6,530.00","6,512,434.30","6,512,434.30",Consumo discrecional,2065955,US0533321024,New York Stock Exchange Inc.
DLTR,DOLLAR TREE INC,Equity,0.69,101.77,"57,891.00","5,891,567.07","5,891,567.07",Consumo discrecional,2272476,US2567461080,NASDAQ
HLT,HILTON WORLDWIDE HOLDINGS INC,Equity,0.69,83.50,"70,400.00","5,878,400.00","5,878,400.00",Consumo discrecional,BYVMW06,US43300A2033,New York Stock Exchange Inc.
LUV,SOUTHWEST AIRLINES,Equity,0.69,48.75,"120,319.00","5,865,551.25","5,865,551.25",Industriales,2831543,US8447411088,New York Stock Exchange Inc.
OMC,OMNICOM GROUP INC,Equity,0.64,72.60,"74,680.00","5,421,768.00","5,421,768.00",Comunicación,2279303,US6819191064,New York Stock Exchange Inc.
LVS,LAS VEGAS SANDS CORP,Equity,0.63,60.10,"89,236.00","5,363,083.60","5,363,083.60",Consumo discrecional,B02T2J7,US5178341070,New York Stock Exchange Inc.
CCL,CARNIVAL CORP,Equity,0.59,51.71,"96,946.00","5,013,077.66","5,013,077.66",Consumo discrecional,2523044,PA1436583006,New York Stock Exchange Inc.
KR,KROGER,Equity,0.56,24.47,"193,480.00","4,734,455.60","4,734,455.60",Productos básicos de consumo,2497406,US5010441013,New York Stock Exchange Inc.
INFO,IHS MARKIT LTD,Equity,0.55,53.27,"88,151.00","4,695,803.77","4,695,803.77",Industriales,BD0Q558,BMG475671050,NASDAQ
ULTA,ULTA BEAUTY INC,Equity,0.55,342.90,"13,690.00","4,694,301.00","4,694,301.00",Consumo discrecional,B28TS42,US90384S3031,NASDAQ
CBS,CBS CORP CLASS B,Equity,0.55,47.32,"98,878.00","4,678,906.96","4,678,906.96",Comunicación,B0SRLH6,US1248572026,New York Stock Exchange Inc.
RCL,ROYAL CARIBBEAN CRUISES LTD,Equity,0.55,113.11,"41,281.00","4,669,293.91","4,669,293.91",Consumo discrecional,2754907,LR0008862868,New York Stock Exchange Inc.
UAL,UNITED CONTINENTAL HOLDINGS INC,Equity,0.49,77.49,"53,891.00","4,176,013.59","4,176,013.59",Industriales,B4QG225,US9100471096,NASDAQ
CMG,CHIPOTLE MEXICAN GRILL INC,Equity,0.48,688.82,"5,928.00","4,083,324.96","4,083,324.96",Consumo discrecional,B0X7DZ3,US1696561059,New York Stock Exchange Inc.
BBY,BEST BUY INC,Equity,0.47,70.50,"56,967.00","4,016,173.50","4,016,173.50",Consumo discrecional,2094670,US0865161014,New York Stock Exchange Inc.
LBTYK,LIBERTY GLOBAL PLC CLASS C,Equity,0.42,24.75,"145,212.00","3,593,997.00","3,593,997.00",Comunicación,B8W67B1,GB00B8W67B19,NASDAQ
DRI,DARDEN RESTAURANTS INC,Equity,0.42,119.10,"30,159.00","3,591,936.90","3,591,936.90",Consumo discrecional,2289874,US2371941053,New York Stock Exchange Inc.
CAH,CARDINAL HEALTH INC,Equity,0.41,47.79,"72,637.00","3,471,322.23","3,471,322.23",Cuidado de la Salud,2175672,US14149Y1082,New York Stock Exchange Inc.
