26-mar-2019,,,,,,,,,,,
iShares U.S. Financial Services ETF,,,,,,,,,,,
Inception Date,12 jun 2000,,,,,,,,,,
Fund Holdings as of,26 mar 2019,,,,,,,,,,
Total Net Assets,"USD 1.323.436.772,91",,,,,,,,,,
Number of Securities,"120,00",,,,,,,,,,
Share,"10.700.000,00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Intercambio
JPM,JPMORGAN CHASE & CO,Equity,11.60,99.92,"1,529,101.00","152,787,771.92","152,787,771.92",Financieros,2190385,US46625H1005,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,9.64,155.30,"817,352.00","126,934,765.60","126,934,765.60",Tecnología de la Información,B2PZN04,US92826C8394,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,8.67,27.21,"4,194,983.00","114,145,487.43","114,145,487.43",Financieros,2295677,US0605051046,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,7.47,233.29,"421,557.00","98,345,032.53","98,345,032.53",Tecnología de la Información,B121557,US57636Q1040,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,7.11,49.01,"1,912,163.00","93,715,108.63","93,715,108.63",Financieros,2649100,US9497461015,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,5.10,61.22,"1,098,185.00","67,230,885.70","67,230,885.70",Financieros,2297907,US1729674242,New York Stock Exchange Inc.
AXP,AMERICAN EXPRESS,Equity,2.68,109.50,"322,967.00","35,364,886.50","35,364,886.50",Financieros,2026082,US0258161092,New York Stock Exchange Inc.
USB,US BANCORP,Equity,2.59,48.51,"702,654.00","34,085,745.54","34,085,745.54",Financieros,2736035,US9029733048,New York Stock Exchange Inc.
GS,GOLDMAN SACHS GROUP INC,Equity,2.32,190.69,"159,948.00","30,500,484.12","30,500,484.12",Financieros,2407966,US38141G1040,New York Stock Exchange Inc.
CME,CME GROUP INC CLASS A,Equity,2.08,164.15,"167,085.00","27,427,002.75","27,427,002.75",Financieros,2965839,US12572Q1058,NASDAQ
PNC,PNC FINANCIAL SERVICES GROUP INC,Equity,1.95,121.46,"211,838.00","25,729,843.48","25,729,843.48",Financieros,2692665,US6934751057,New York Stock Exchange Inc.
MS,MORGAN STANLEY,Equity,1.93,41.88,"606,491.00","25,399,843.08","25,399,843.08",Financieros,2262314,US6174464486,New York Stock Exchange Inc.
BLK,BLACKROCK INC,Equity,1.82,422.67,"56,824.00","24,017,800.08","24,017,800.08",Financieros,2494504,US09247X1019,New York Stock Exchange Inc.
SPGI,S&P GLOBAL INC,Equity,1.82,206.13,"116,095.00","23,930,662.35","23,930,662.35",Financieros,BYV2325,US78409V1044,New York Stock Exchange Inc.
SCHW,CHARLES SCHWAB CORP,Equity,1.79,42.55,"553,976.00","23,571,678.80","23,571,678.80",Financieros,2779397,US8085131055,New York Stock Exchange Inc.
BK,BANK OF NEW YORK MELLON CORP,Equity,1.58,50.84,"410,194.00","20,854,262.96","20,854,262.96",Financieros,B1Z77F6,US0640581007,New York Stock Exchange Inc.
ICE,INTERCONTINENTAL EXCHANGE INC,Equity,1.49,73.99,"265,445.00","19,640,275.55","19,640,275.55",Financieros,BFSSDS9,US45866F1049,New York Stock Exchange Inc.
COF,CAPITAL ONE FINANCIAL CORP,Equity,1.34,80.66,"218,453.00","17,620,418.98","17,620,418.98",Financieros,2654461,US14040H1059,New York Stock Exchange Inc.
BBT,BB AND T CORP,Equity,1.23,45.33,"356,529.00","16,161,459.57","16,161,459.57",Financieros,2830904,US0549371070,New York Stock Exchange Inc.
MCO,MOODYS CORP,Equity,1.05,177.91,"77,566.00","13,799,767.06","13,799,767.06",Financieros,2252058,US6153691059,New York Stock Exchange Inc.
STI,SUNTRUST BANKS INC,Equity,0.91,57.71,"207,113.00","11,952,491.23","11,952,491.23",Financieros,2860990,US8679141031,New York Stock Exchange Inc.
STT,STATE STREET CORP,Equity,0.89,66.18,"176,926.00","11,708,962.68","11,708,962.68",Financieros,2842040,US8574771031,New York Stock Exchange Inc.
TROW,T ROWE PRICE GROUP INC,Equity,0.84,99.89,"110,396.00","11,027,456.44","11,027,456.44",Financieros,2702337,US74144T1088,NASDAQ
DFS,DISCOVER FINANCIAL SERVICES,Equity,0.82,70.58,"153,442.00","10,829,936.36","10,829,936.36",Financieros,B1YLC43,US2547091080,New York Stock Exchange Inc.
MTB,M&T BANK CORP,Equity,0.76,155.58,"64,725.00","10,069,915.50","10,069,915.50",Financieros,2340168,US55261F1049,New York Stock Exchange Inc.
SYF,SYNCHRONY FINANCIAL,Equity,0.74,31.77,"305,145.00","9,694,456.65","9,694,456.65",Financieros,BP96PS6,US87165B1035,New York Stock Exchange Inc.
NTRS,NORTHERN TRUST CORP,Equity,0.69,89.51,"102,054.00","9,134,853.54","9,134,853.54",Financieros,2648668,US6658591044,NASDAQ
FITB,FIFTH THIRD BANCORP,Equity,0.68,24.98,"360,805.00","9,012,908.90","9,012,908.90",Financieros,2336747,US3167731005,NASDAQ
AMP,AMERIPRISE FINANCE INC,Equity,0.60,125.87,"63,312.00","7,969,081.44","7,969,081.44",Financieros,B0J7D57,US03076C1062,New York Stock Exchange Inc.
FRC,FIRST REPUBLIC BANK,Equity,0.59,100.63,"76,998.00","7,748,308.74","7,748,308.74",Financieros,B4WHY15,US33616C1009,New York Stock Exchange Inc.
MSCI,MSCI INC,Equity,0.58,194.44,"39,400.00","7,660,936.00","7,660,936.00",Financieros,B2972D2,US55354G1004,New York Stock Exchange Inc.
KEY,KEYCORP,Equity,0.55,15.41,"471,355.00","7,263,580.55","7,263,580.55",Financieros,2490911,US4932671088,New York Stock Exchange Inc.
XTSLA,BLK CSH FND TREASURY SL AGENCY,Money Market,0.54,1.00,"7,151,517.00","7,151,517.50","7,151,517.50",Efectivo y Derivados,--,US0669224778,--
CFG,CITIZENS FINANCIAL GROUP INC,Equity,0.53,32.22,"215,116.00","6,931,037.52","6,931,037.52",Financieros,BQRX1X3,US1746101054,New York Stock Exchange Inc.
RF,REGIONS FINANCIAL CORP,Equity,0.50,13.93,"475,525.00","6,624,063.25","6,624,063.25",Financieros,B01R311,US7591EP1005,New York Stock Exchange Inc.
AMTD,TD AMERITRADE HOLDING CORP,Equity,0.47,49.64,"125,852.00","6,247,293.28","6,247,293.28",Financieros,2983154,US87236Y1082,NASDAQ
HBAN,HUNTINGTON BANCSHARES INC,Equity,0.47,12.57,"489,125.00","6,148,301.25","6,148,301.25",Financieros,2445966,US4461501045,NASDAQ
CMA,COMERICA INC,Equity,0.41,72.84,"74,291.00","5,411,356.44","5,411,356.44",Financieros,2212870,US2003401070,New York Stock Exchange Inc.
SIVB,SVB FINANCIAL GROUP,Equity,0.41,219.89,"24,595.00","5,408,194.55","5,408,194.55",Financieros,2808053,US78486Q1013,NASDAQ
ETFC,E TRADE FINANCIAL CORP,Equity,0.40,45.64,"115,092.00","5,252,798.88","5,252,798.88",Financieros,2299011,US2692464017,NASDAQ
ALLY,ALLY FINANCIAL INC,Equity,0.38,26.55,"188,148.00","4,995,329.40","4,995,329.40",Financieros,B72XK05,US02005N1000,New York Stock Exchange Inc.
CBOE,CBOE GLOBAL MARKETS INC,Equity,0.38,94.77,"52,427.00","4,968,506.79","4,968,506.79",Financieros,B5834C5,US12503M1080,Cboe BZX formerly known as BATS
FNF,FIDELITY NATIONAL FINANCIAL INC,Equity,0.36,36.51,"128,648.00","4,696,938.48","4,696,938.48",Financieros,BNBRDD4,US31620R3030,New York Stock Exchange Inc.
NDAQ,NASDAQ INC,Equity,0.35,85.82,"54,105.00","4,643,291.10","4,643,291.10",Financieros,2965107,US6311031081,NASDAQ
RJF,RAYMOND JAMES INC,Equity,0.35,78.10,"59,314.00","4,632,423.40","4,632,423.40",Financieros,2718992,US7547301090,New York Stock Exchange Inc.
BEN,FRANKLIN RESOURCES INC,Equity,0.34,32.74,"138,082.00","4,520,804.68","4,520,804.68",Financieros,2350684,US3546131018,New York Stock Exchange Inc.
FDS,FACTSET RESEARCH SYSTEMS INC,Equity,0.33,246.30,"17,776.00","4,378,228.80","4,378,228.80",Financieros,2329770,US3030751057,New York Stock Exchange Inc.
MKTX,MARKETAXESS HOLDINGS INC,Equity,0.33,243.68,"17,606.00","4,290,230.08","4,290,230.08",Financieros,B03Q9D0,US57060D1081,NASDAQ
ZION,ZIONS BANCORPORATION,Equity,0.30,44.98,"86,986.00","3,912,630.28","3,912,630.28",Financieros,2989828,US9897011071,NASDAQ
IVZ,INVESCO LTD,Equity,0.27,19.28,"185,532.00","3,577,056.96","3,577,056.96",Financieros,B28XP76,BMG491BT1088,New York Stock Exchange Inc.
