26-mar-2019,,,,,,,,,,,
iShares U.S. Financials ETF,,,,,,,,,,,
Inception Date,22 may 2000,,,,,,,,,,
Fund Holdings as of,26 mar 2019,,,,,,,,,,
Total Net Assets,"USD 1.712.620.415,32",,,,,,,,,,
Number of Securities,"284,00",,,,,,,,,,
Share,"14.600.000,00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Intercambio
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,7.74,200.62,"651,545.00","130,712,957.90","130,712,957.90",Financieros,2073390,US0846707026,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,6.49,99.92,"1,097,069.00","109,619,134.48","109,619,134.48",Financieros,2190385,US46625H1005,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,5.39,155.30,"586,415.00","91,070,249.50","91,070,249.50",Tecnología de la Información,B2PZN04,US92826C8394,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,4.85,27.21,"3,009,728.00","81,894,698.88","81,894,698.88",Financieros,2295677,US0605051046,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,4.18,233.29,"302,450.00","70,558,560.50","70,558,560.50",Tecnología de la Información,B121557,US57636Q1040,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,3.98,49.01,"1,371,893.00","67,236,475.93","67,236,475.93",Financieros,2649100,US9497461015,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,2.86,61.22,"787,900.00","48,235,238.00","48,235,238.00",Financieros,2297907,US1729674242,New York Stock Exchange Inc.
AMT,AMERICAN TOWER REIT CORP,Equity,1.71,195.05,"147,808.00","28,829,950.40","28,829,950.40",Bienes Raíces,B7FBFL2,US03027X1000,New York Stock Exchange Inc.
AXP,AMERICAN EXPRESS,Equity,1.50,109.50,"231,712.00","25,372,464.00","25,372,464.00",Financieros,2026082,US0258161092,New York Stock Exchange Inc.
USB,US BANCORP,Equity,1.45,48.51,"504,129.00","24,455,297.79","24,455,297.79",Financieros,2736035,US9029733048,New York Stock Exchange Inc.
GS,GOLDMAN SACHS GROUP INC,Equity,1.30,190.69,"114,759.00","21,883,393.71","21,883,393.71",Financieros,2407966,US38141G1040,New York Stock Exchange Inc.
CB,CHUBB LTD,Equity,1.25,137.33,"153,587.00","21,092,102.71","21,092,102.71",Financieros,B3BQMF6,CH0044328745,New York Stock Exchange Inc.
CME,CME GROUP INC CLASS A,Equity,1.16,164.15,"119,877.00","19,677,809.55","19,677,809.55",Financieros,2965839,US12572Q1058,NASDAQ
SPG,SIMON PROPERTY GROUP REIT INC,Equity,1.11,181.24,"103,524.00","18,762,689.76","18,762,689.76",Bienes Raíces,2812452,US8288061091,New York Stock Exchange Inc.
PNC,PNC FINANCIAL SERVICES GROUP INC,Equity,1.09,121.46,"151,986.00","18,460,219.56","18,460,219.56",Financieros,2692665,US6934751057,New York Stock Exchange Inc.
MS,MORGAN STANLEY,Equity,1.08,41.88,"435,135.00","18,223,453.80","18,223,453.80",Financieros,2262314,US6174464486,New York Stock Exchange Inc.
CCI,CROWN CASTLE INTERNATIONAL REIT CO,Equity,1.03,125.54,"139,244.00","17,480,691.76","17,480,691.76",Bienes Raíces,BTGQCX1,US22822V1017,New York Stock Exchange Inc.
BLK,BLACKROCK INC,Equity,1.02,422.67,"40,769.00","17,231,833.23","17,231,833.23",Financieros,2494504,US09247X1019,New York Stock Exchange Inc.
SPGI,S&P GLOBAL INC,Equity,1.02,206.13,"83,297.00","17,170,010.61","17,170,010.61",Financieros,BYV2325,US78409V1044,New York Stock Exchange Inc.
SCHW,CHARLES SCHWAB CORP,Equity,1.00,42.55,"397,474.00","16,912,518.70","16,912,518.70",Financieros,2779397,US8085131055,New York Stock Exchange Inc.
MMC,MARSH & MCLENNAN INC,Equity,0.93,92.70,"169,239.00","15,688,455.30","15,688,455.30",Financieros,2567741,US5717481023,New York Stock Exchange Inc.
