26-mar-2019,,,,,,,,,,,
iShares U.S. Healthcare ETF,,,,,,,,,,,
Inception Date,12 jun 2000,,,,,,,,,,
Fund Holdings as of,26 mar 2019,,,,,,,,,,
Total Net Assets,"USD 2.397.250.312,98",,,,,,,,,,
Number of Securities,"129,00",,,,,,,,,,
Share,"12.450.000,00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Intercambio
JNJ,JOHNSON & JOHNSON,Equity,9.96,138.57,"1,701,614.00","235,792,651.98","235,792,651.98",Cuidado de la Salud,2475833,US4781601046,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,6.35,42.42,"3,547,328.00","150,477,653.76","150,477,653.76",Cuidado de la Salud,2684703,US7170811035,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,6.30,243.39,"613,098.00","149,221,922.22","149,221,922.22",Cuidado de la Salud,2917766,US91324P1021,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,5.77,82.92,"1,649,272.00","136,757,634.24","136,757,634.24",Cuidado de la Salud,2778844,US58933Y1055,New York Stock Exchange Inc.
ABT,ABBOTT LABORATORIES,Equity,3.74,79.00,"1,122,210.00","88,654,590.00","88,654,590.00",Cuidado de la Salud,2002305,US0028241000,New York Stock Exchange Inc.
MDT,MEDTRONIC PLC,Equity,3.30,91.07,"856,929.00","78,040,524.03","78,040,524.03",Cuidado de la Salud,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,3.21,80.76,"942,506.00","76,116,784.56","76,116,784.56",Cuidado de la Salud,B92SR70,US00287Y1091,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,3.16,188.27,"397,605.00","74,857,093.35","74,857,093.35",Cuidado de la Salud,2023607,US0311621009,NASDAQ
LLY,ELI LILLY,Equity,3.05,131.02,"551,844.00","72,302,600.88","72,302,600.88",Cuidado de la Salud,2516152,US5324571083,New York Stock Exchange Inc.
TMO,THERMO FISHER SCIENTIFIC INC,Equity,2.95,271.44,"257,226.00","69,821,425.44","69,821,425.44",Cuidado de la Salud,2886907,US8835561023,New York Stock Exchange Inc.
DHR,DANAHER CORP,Equity,2.22,131.08,"401,451.00","52,622,197.08","52,622,197.08",Cuidado de la Salud,2250870,US2358511028,New York Stock Exchange Inc.
