26-Mar-2019,,,,,,,,,,,
iShares U.S. Medical Devices ETF,,,,,,,,,,,
Inception Date,"May 01, 2006",,,,,,,,,,
Fund Holdings as of,"Mar 26, 2019",,,,,,,,,,
Total Net Assets,"$3,573,234,073.76",,,,,,,,,,
Number of Securities (excluding cash and derivatives),56.00,,,,,,,,,,
Share,"15,550,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
ABT,ABBOTT LABORATORIES,Equity,13.68,79.00,"6,189,394.00","488,962,126.00","488,962,126.00",Health Care,2002305,US0028241000,New York Stock Exchange Inc.
MDT,MEDTRONIC PLC,Equity,12.05,91.07,"4,726,269.00","430,421,317.83","430,421,317.83",Health Care,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
TMO,THERMO FISHER SCIENTIFIC INC,Equity,10.77,271.44,"1,417,742.00","384,831,888.48","384,831,888.48",Health Care,2886907,US8835561023,New York Stock Exchange Inc.
DHR,DANAHER CORP,Equity,8.12,131.08,"2,212,681.00","290,038,225.48","290,038,225.48",Health Care,2250870,US2358511028,New York Stock Exchange Inc.
EW,EDWARDS LIFESCIENCES CORP,Equity,4.50,190.28,"844,622.00","160,714,674.16","160,714,674.16",Health Care,2567116,US28176E1082,New York Stock Exchange Inc.
ISRG,INTUITIVE SURGICAL INC,Equity,4.42,567.64,"278,486.00","158,079,793.04","158,079,793.04",Health Care,2871301,US46120E6023,NASDAQ
SYK,STRYKER CORP,Equity,4.35,196.08,"793,309.00","155,552,028.72","155,552,028.72",Health Care,2853688,US8636671013,New York Stock Exchange Inc.
BAX,BAXTER INTERNATIONAL INC,Equity,4.27,78.80,"1,934,366.00","152,428,040.80","152,428,040.80",Health Care,2085102,US0718131099,New York Stock Exchange Inc.
BDX,BECTON DICKINSON,Equity,4.16,247.00,"601,135.00","148,480,345.00","148,480,345.00",Health Care,2087807,US0758871091,New York Stock Exchange Inc.
BSX,BOSTON SCIENTIFIC CORP,Equity,3.98,37.84,"3,755,850.00","142,121,364.00","142,121,364.00",Health Care,2113434,US1011371077,New York Stock Exchange Inc.
ZBH,ZIMMER BIOMET HOLDINGS INC,Equity,2.95,126.92,"830,539.00","105,412,009.88","105,412,009.88",Health Care,2783815,US98956P1021,New York Stock Exchange Inc.
IDXX,IDEXX LABORATORIES INC,Equity,2.15,220.00,"349,378.00","76,863,160.00","76,863,160.00",Health Care,2459202,US45168D1046,NASDAQ
WAT,WATER CORP,Equity,2.02,248.77,"290,512.00","72,270,670.24","72,270,670.24",Health Care,2937689,US9418481035,New York Stock Exchange Inc.
RMD,RESMED INC,Equity,1.67,102.32,"582,208.00","59,571,522.56","59,571,522.56",Health Care,2732903,US7611521078,New York Stock Exchange Inc.
TFX,TELEFLEX INC,Equity,1.59,304.04,"186,986.00","56,851,223.44","56,851,223.44",Health Care,2881407,US8793691069,New York Stock Exchange Inc.
ABMD,ABIOMED INC,Equity,1.47,286.00,"183,184.00","52,390,624.00","52,390,624.00",Health Care,2003698,US0036541003,NASDAQ
HOLX,HOLOGIC INC,Equity,1.44,47.24,"1,087,841.00","51,389,608.84","51,389,608.84",Health Care,2433530,US4364401012,NASDAQ
VAR,VARIAN MEDICAL SYSTEMS INC,Equity,1.44,139.12,"368,768.00","51,303,004.16","51,303,004.16",Health Care,2927516,US92220P1057,New York Stock Exchange Inc.
DXCM,DEXCOM INC,Equity,1.24,120.95,"365,620.00","44,221,739.00","44,221,739.00",Health Care,B0796X4,US2521311074,NASDAQ
STE,STERIS,Equity,1.19,123.24,"343,611.00","42,346,619.64","42,346,619.64",Health Care,BVVBC02,GB00BVVBC028,New York Stock Exchange Inc.
HRC,HILL ROM HOLDINGS INC,Equity,0.79,104.77,"270,798.00","28,371,506.46","28,371,506.46",Health Care,2425924,US4314751029,New York Stock Exchange Inc.
MASI,MASIMO CORP,Equity,0.75,134.73,"198,797.00","26,783,919.81","26,783,919.81",Health Care,B1YWR63,US5747951003,NASDAQ
BIO,BIO RAD LABORATORIES INC CLASS A,Equity,0.70,307.69,"81,835.00","25,179,811.15","25,179,811.15",Health Care,2098508,US0905722072,New York Stock Exchange Inc.
PODD,INSULET CORP,Equity,0.66,96.76,"242,742.00","23,487,715.92","23,487,715.92",Health Care,B1XGNW4,US45784P1012,NASDAQ
TNDM,TANDEM DIABETES CARE INC,Equity,0.60,68.86,"313,414.00","21,581,688.04","21,581,688.04",Health Care,BF3W461,US8753722037,NASDAQ
PEN,PENUMBRA INC,Equity,0.59,155.11,"136,390.00","21,155,452.90","21,155,452.90",Health Care,BZ0V201,US70975L1070,New York Stock Exchange Inc.
LIVN,LIVANOVA PLC,Equity,0.56,98.32,"202,561.00","19,915,797.52","19,915,797.52",Health Care,BYMT0J1,GB00BYMT0J19,NASDAQ
BRKR,BRUKER CORP,Equity,0.51,38.30,"478,116.00","18,311,842.80","18,311,842.80",Health Care,2616137,US1167941087,NASDAQ
IART,INTEGRA LIFESCIENCES HOLDINGS CORP,Equity,0.50,55.21,"325,563.00","17,974,333.23","17,974,333.23",Health Care,2248693,US4579852082,NASDAQ
WMGI,WRIGHT MEDICAL GROUP NV,Equity,0.49,31.66,"549,424.00","17,394,763.84","17,394,763.84",Health Care,BZ2JCC5,NL0011327523,NASDAQ
GMED,GLOBUS MEDICAL INC CLASS A,Equity,0.48,49.07,"351,634.00","17,254,680.38","17,254,680.38",Health Care,B7D65M0,US3795772082,New York Stock Exchange Inc.
NUVA,NUVASIVE INC,Equity,0.40,57.28,"252,545.00","14,465,777.60","14,465,777.60",Health Care,B00GJC2,US6707041058,NASDAQ
GKOS,GLAUKOS CORP,Equity,0.40,79.93,"180,873.00","14,457,178.89","14,457,178.89",Health Care,BYMWL19,US3773221029,New York Stock Exchange Inc.
CNMD,CONMED CORP,Equity,0.34,81.55,"151,103.00","12,322,449.65","12,322,449.65",Health Care,2216010,US2074101013,NASDAQ
ITGR,INTEGER HOLDINGS CORP,Equity,0.34,80.29,"153,089.00","12,291,515.81","12,291,515.81",Health Care,BD06LM7,US45826H1095,New York Stock Exchange Inc.
NVRO,NEVRO CORP,Equity,0.34,62.62,"193,017.00","12,086,724.54","12,086,724.54",Health Care,BS7K7C9,US64157F1030,New York Stock Exchange Inc.
BEAT,BIOTELEMETRY INC,Equity,0.32,65.17,"178,161.00","11,610,752.37","11,610,752.37",Health Care,BCD7L64,US0906721065,NASDAQ
CMD,CANTEL MEDICAL CORP,Equity,0.32,66.45,"174,007.00","11,562,765.15","11,562,765.15",Health Care,2188153,US1380981084,New York Stock Exchange Inc.
IRTC,IRHYTHM TECHNOLOGIES INC,Equity,0.29,80.74,"129,968.00","10,493,616.32","10,493,616.32",Health Care,BYT4ST5,US4500561067,NASDAQ
CSII,CARDIOVASCULAR SYSTEMS INC,Equity,0.26,38.17,"243,372.00","9,289,509.24","9,289,509.24",Health Care,B17HG57,US1416191062,NASDAQ
VREX,VAREX IMAGING CORP,Equity,0.26,33.60,"275,141.00","9,244,737.60","9,244,737.60",Health Care,BDQYWV1,US92214X1063,NASDAQ
INGN,INOGEN INC,Equity,0.23,92.64,"90,561.00","8,389,571.04","8,389,571.04",Health Care,BJSVLL5,US45780L1044,NASDAQ
STAA,STAAR SURGICAL,Equity,0.21,37.32,"197,724.00","7,379,059.68","7,379,059.68",Health Care,2836292,US8523123052,NASDAQ
OFIX,ORTHOFIX MEDICAL INC,Equity,0.21,56.54,"130,170.00","7,359,811.80","7,359,811.80",Health Care,BGGJFT6,US68752M1080,NASDAQ
CRY,CRYOLIFE INC,Equity,0.19,28.65,"239,896.00","6,873,020.40","6,873,020.40",Health Care,2239017,US2289031005,New York Stock Exchange Inc.
TCMD,TACTILE SYSTEMS TECHNOLOGY INC,Equity,0.18,53.25,"123,438.00","6,573,073.50","6,573,073.50",Health Care,BZB1XF2,US87357P1003,NASDAQ
ATRC,ATRICURE INC,Equity,0.18,27.06,"242,704.00","6,567,570.24","6,567,570.24",Health Care,B0C8KV2,US04963C2098,NASDAQ
ANGO,ANGIODYNAMICS INC,Equity,0.17,21.92,"281,676.00","6,174,337.92","6,174,337.92",Health Care,B00CR04,US03475V1017,NASDAQ
BABY,NATUS MEDICAL INC,Equity,0.16,25.80,"226,455.00","5,842,539.00","5,842,539.00",Health Care,2771133,US6390501038,NASDAQ
XTSLA,BLK CSH FND TREASURY SL AGENCY,Money Market,0.15,1.00,"5,282,968.00","5,282,967.74","5,282,967.74",Cash and/or Derivatives,--,US0669224778,--
AXGN,AXOGEN INC,Equity,0.14,21.52,"231,651.00","4,985,129.52","4,985,129.52",Health Care,B7254K9,US05463X1063,NASDAQ
HSKA,HESKA CORP,Equity,0.13,87.80,"54,913.00","4,821,361.40","4,821,361.40",Health Care,B44C366,US42805E3062,NASDAQ
LMAT,LEMAITRE VASCULAR INC,Equity,0.13,30.45,"150,656.00","4,587,475.20","4,587,475.20",Health Care,B1G6TJ0,US5255582018,NASDAQ
VRAY,VIEWRAY INC,Equity,0.13,7.99,"573,463.00","4,581,969.37","4,581,969.37",Health Care,BYSGPK2,US92672L1070,NASDAQ
SRDX,SURMODICS INC,Equity,0.12,41.70,"102,544.00","4,276,084.80","4,276,084.80",Health Care,2502678,US8688731004,NASDAQ
ARAY,ACCURAY INC,Equity,0.11,4.63,"884,754.00","4,096,411.02","4,096,411.02",Health Care,B1R2HW6,US0043971052,NASDAQ
TRXC,TRANSENTERIX INC,Equity,0.09,2.10,"1,583,034.00","3,324,371.40","3,324,371.40",Health Care,BLBP5R2,US89366M2017,Nyse Mkt Llc
USD,USD CASH,Cash,0.07,100.00,"2,620,778.00","2,620,777.94","2,620,777.94",Cash and/or Derivatives,--,--,--
