26-Mar-2019,,,,,,,,,,,
iShares U.S. Pharmaceuticals ETF,,,,,,,,,,,
Inception Date,"May 01, 2006",,,,,,,,,,
Fund Holdings as of,"Mar 26, 2019",,,,,,,,,,
Total Net Assets,"$383,522,902.38",,,,,,,,,,
Number of Securities (excluding cash and derivatives),44.00,,,,,,,,,,
Share,"2,500,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
PFE,PFIZER INC,Equity,21.43,42.42,"1,937,658.00","82,195,452.36","82,195,452.36",Health Care,2684703,US7170811035,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,21.27,138.57,"588,685.00","81,574,080.45","81,574,080.45",Health Care,2475833,US4781601046,New York Stock Exchange Inc.
ELAN,ELANCO ANIMAL HEALTH INC,Equity,4.97,32.74,"582,731.00","19,078,612.94","19,078,612.94",Health Care,BF5L3T2,US28414H1032,New York Stock Exchange Inc.
AGN,ALLERGAN,Equity,4.47,149.39,"114,810.00","17,151,465.90","17,151,465.90",Health Care,BY9D546,IE00BY9D5467,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,4.38,82.92,"202,774.00","16,814,020.08","16,814,020.08",Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
ZTS,ZOETIS INC CLASS A,Equity,4.32,98.82,"167,650.00","16,567,173.00","16,567,173.00",Health Care,B95WG16,US98978V1035,New York Stock Exchange Inc.
MYL,MYLAN NV,Equity,4.20,28.18,"572,213.00","16,124,962.34","16,124,962.34",Health Care,BVFMFG8,NL0011031208,NASDAQ
LLY,ELI LILLY,Equity,3.99,131.02,"116,802.00","15,303,398.04","15,303,398.04",Health Care,2516152,US5324571083,New York Stock Exchange Inc.
BMY,BRISTOL MYERS SQUIBB,Equity,3.76,48.34,"298,498.00","14,429,393.32","14,429,393.32",Health Care,2126335,US1101221083,New York Stock Exchange Inc.
JAZZ,JAZZ PHARMACEUTICALS PLC,Equity,3.22,136.54,"90,353.00","12,336,798.62","12,336,798.62",Health Care,B4Q5ZN4,IE00B4Q5ZN47,NASDAQ
CTLT,CATALENT INC,Equity,2.47,40.87,"232,109.00","9,486,294.83","9,486,294.83",Health Care,BP96PQ4,US1488061029,New York Stock Exchange Inc.
PRGO,PERRIGO PLC,Equity,2.46,47.44,"199,229.00","9,451,423.76","9,451,423.76",Health Care,BGH1M56,IE00BGH1M568,New York Stock Exchange Inc.
HZNP,HORIZON PHARMA PLC,Equity,2.02,26.68,"289,854.00","7,733,304.72","7,733,304.72",Health Care,BQPVQZ6,IE00BQPVQZ61,NASDAQ
FOLD,AMICUS THERAPEUTICS INC,Equity,1.22,13.48,"347,259.00","4,681,051.32","4,681,051.32",Health Care,B19FQ48,US03152W1099,NASDAQ
ZGNX,ZOGENIX INC,Equity,0.95,54.30,"66,873.00","3,631,203.90","3,631,203.90",Health Care,BYTJZL1,US98978L2043,NASDAQ
IRWD,IRONWOOD PHARMA INC CLASS A,Equity,0.85,13.29,"246,405.00","3,274,722.45","3,274,722.45",Health Care,B3MZ6K5,US46333X1081,NASDAQ
MNK,MALLINCKRODT,Equity,0.74,21.38,"133,032.00","2,844,224.16","2,844,224.16",Health Care,BBJTYC4,IE00BBGT3753,New York Stock Exchange Inc.
MDCO,MEDICINES,Equity,0.74,27.07,"104,718.00","2,834,716.26","2,834,716.26",Health Care,2616773,US5846881051,NASDAQ
AERI,AERIE PHARMACEUTICALS INC,Equity,0.73,44.78,"62,274.00","2,788,629.72","2,788,629.72",Health Care,BFRTDG1,US00771V1089,NASDAQ
MYOK,MYOKARDIA INC,Equity,0.72,52.10,"53,247.00","2,774,168.70","2,774,168.70",Health Care,BYNZF59,US62857M1053,NASDAQ
