26-mar-2019,,,,,,,,,,,
iShares U.S. Technology ETF,,,,,,,,,,,
Inception Date,15 may 2000,,,,,,,,,,
Fund Holdings as of,26 mar 2019,,,,,,,,,,
Total Net Assets,"USD 4.065.132.677,60",,,,,,,,,,
Number of Securities,"152,00",,,,,,,,,,
Share,"21.400.000,00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Intercambio
MSFT,MICROSOFT CORP,Equity,15.78,117.91,"5,464,474.00","644,316,129.34","644,316,129.34",Tecnología de la Información,2588173,US5949181045,NASDAQ
AAPL,APPLE INC,Equity,14.59,186.79,"3,190,500.00","595,953,495.00","595,953,495.00",Tecnología de la Información,2046251,US0378331005,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,6.98,167.68,"1,699,078.00","284,901,399.04","284,901,399.04",Comunicación,B7TL820,US30303M1027,NASDAQ
GOOG,ALPHABET INC CLASS C,Equity,6.35,"1,184.62","218,926.00","259,344,118.12","259,344,118.12",Comunicación,BYY88Y7,US02079K1079,NASDAQ
GOOGL,ALPHABET INC CLASS A,Equity,6.21,"1,189.84","213,217.00","253,694,115.28","253,694,115.28",Comunicación,BYVY8G0,US02079K3059,NASDAQ
INTC,INTEL CORP,Equity,4.19,53.44,"3,202,953.00","171,165,808.32","171,165,808.32",Tecnología de la Información,2463247,US4581401001,NASDAQ
CSCO,CISCO SYSTEMS INC,Equity,4.09,53.23,"3,135,311.00","166,892,604.53","166,892,604.53",Tecnología de la Información,2198163,US17275R1023,NASDAQ
ORCL,ORACLE CORP,Equity,2.37,53.28,"1,814,887.00","96,697,179.36","96,697,179.36",Tecnología de la Información,2661568,US68389X1054,New York Stock Exchange Inc.
ADBE,ADOBE INC,Equity,2.26,265.59,"347,379.00","92,260,388.61","92,260,388.61",Tecnología de la Información,2008154,US00724F1012,NASDAQ
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,2.18,140.22,"633,800.00","88,871,436.00","88,871,436.00",Tecnología de la Información,2005973,US4592001014,New York Stock Exchange Inc.
CRM,SALESFORCE.COM INC,Equity,2.13,159.40,"544,865.00","86,851,481.00","86,851,481.00",Tecnología de la Información,2310525,US79466L3024,New York Stock Exchange Inc.
