26-mar-2019,,,,,,,,,,,
iShares U.S. Telecommunications ETF,,,,,,,,,,,
Inception Date,22 may 2000,,,,,,,,,,
Fund Holdings as of,26 mar 2019,,,,,,,,,,
Total Net Assets,"USD 508.609.621,30",,,,,,,,,,
Number of Securities,"43,00",,,,,,,,,,
Share,"17.050.000,00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Intercambio
VZ,VERIZON COMMUNICATIONS INC,Equity,23.57,60.63,"1,942,786.00","117,791,115.18","117,791,115.18",Comunicación,2090571,US92343V1044,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,22.30,53.23,"2,093,561.00","111,440,252.03","111,440,252.03",Tecnología de la Información,2198163,US17275R1023,NASDAQ
ANET,ARISTA NETWORKS INC,Equity,4.75,309.80,"76,582.00","23,725,103.60","23,725,103.60",Tecnología de la Información,BN33VM5,US0404131064,New York Stock Exchange Inc.
T,AT&T INC,Equity,4.56,31.39,"725,760.00","22,781,606.40","22,781,606.40",Comunicación,2831811,US00206R1023,New York Stock Exchange Inc.
TMUS,T MOBILE US INC,Equity,4.37,73.34,"297,657.00","21,830,164.38","21,830,164.38",Comunicación,B94Q9V0,US8725901040,NASDAQ
MSI,MOTOROLA SOLUTIONS INC,Equity,4.22,140.40,"150,190.00","21,086,676.00","21,086,676.00",Tecnología de la Información,B5BKPQ4,US6200763075,New York Stock Exchange Inc.
GRMN,GARMIN LTD,Equity,3.41,85.22,"200,053.00","17,048,516.66","17,048,516.66",Consumo discrecional,B3Z5T14,CH0114405324,NASDAQ
CTL,CENTURYLINK INC,Equity,3.34,12.30,"1,358,717.00","16,712,219.10","16,712,219.10",Comunicación,2185046,US1567001060,New York Stock Exchange Inc.
FFIV,F5 NETWORKS INC,Equity,3.00,152.86,"98,067.00","14,990,521.62","14,990,521.62",Tecnología de la Información,2427599,US3156161024,NASDAQ
JNPR,JUNIPER NETWORKS INC,Equity,3.00,26.09,"574,019.00","14,976,155.71","14,976,155.71",Tecnología de la Información,2431846,US48203R1041,New York Stock Exchange Inc.
ZAYO,ZAYO GROUP HOLDINGS INC,Equity,1.91,28.68,"333,259.00","9,557,868.12","9,557,868.12",Comunicación,BRJ3H07,US98919V1052,New York Stock Exchange Inc.
CIEN,CIENA CORP,Equity,1.77,37.30,"237,297.00","8,851,178.10","8,851,178.10",Tecnología de la Información,B1FLZ21,US1717793095,New York Stock Exchange Inc.
ARRS,ARRIS INTERNATIONAL PLC,Equity,1.71,31.61,"270,028.00","8,535,585.08","8,535,585.08",Tecnología de la Información,BZ04Y37,GB00BZ04Y379,NASDAQ
VSAT,VIASAT INC,Equity,1.45,77.15,"93,797.00","7,236,438.55","7,236,438.55",Tecnología de la Información,2946243,US92552V1008,NASDAQ
LITE,LUMENTUM HOLDINGS INC,Equity,1.34,53.41,"125,552.00","6,705,732.32","6,705,732.32",Tecnología de la Información,BYM9ZP2,US55024U1097,NASDAQ
COMM,COMMSCOPE HOLDING INC,Equity,1.34,21.07,"317,399.00","6,687,596.93","6,687,596.93",Tecnología de la Información,BFRBX34,US20337X1090,NASDAQ
S,SPRINT CORP,Equity,1.21,6.40,"942,229.00","6,030,265.60","6,030,265.60",Comunicación,BC4FF21,US85207U1051,New York Stock Exchange Inc.
TDS,TELEPHONE AND DATA SYSTEMS INC,Equity,0.98,31.70,"154,678.00","4,903,292.60","4,903,292.60",Comunicación,B6YR5K3,US8794338298,New York Stock Exchange Inc.
VIAV,VIAVI SOLUTIONS INC,Equity,0.92,12.18,"376,156.00","4,581,580.08","4,581,580.08",Tecnología de la Información,BYXB201,US9255501051,NASDAQ
UBNT,UBIQUITI NETWORKS INC,Equity,0.91,145.16,"31,413.00","4,559,911.08","4,559,911.08",Tecnología de la Información,B76VD62,US90347A1007,NASDAQ
FNSR,FINISAR CORP,Equity,0.91,23.28,"194,519.00","4,528,402.32","4,528,402.32",Tecnología de la Información,2517832,US31787A5074,NASDAQ
IRDM,IRIDIUM COMMUNICATIONS INC,Equity,0.88,27.19,"161,103.00","4,380,390.57","4,380,390.57",Comunicación,B2QH310,US46269C1027,NASDAQ
VG,VONAGE HOLDINGS CORP,Equity,0.71,9.72,"364,077.00","3,538,828.44","3,538,828.44",Comunicación,B15JLG1,US92886T2015,New York Stock Exchange Inc.
SHEN,SHENANDOAH TELECOMMUNICATIONS,Equity,0.71,46.50,"76,041.00","3,535,906.50","3,535,906.50",Comunicación,2676692,US82312B1061,NASDAQ
XTSLA,BLK CSH FND TREASURY SL AGENCY,Money Market,0.71,1.00,"3,529,995.00","3,529,995.27","3,529,995.27",Efectivo y Derivados,--,US0669224778,--
ACIA,ACACIA COMMUNICATIONS INC,Equity,0.63,56.15,"56,056.00","3,147,544.40","3,147,544.40",Tecnología de la Información,BYXPCC5,US00401C1080,NASDAQ
NTCT,NETSCOUT SYSTEMS INC,Equity,0.63,27.23,"115,569.00","3,146,943.87","3,146,943.87",Tecnología de la Información,2447285,US64115T1043,NASDAQ
PLT,PLANTRONICS INC,Equity,0.57,45.00,"63,535.00","2,859,075.00","2,859,075.00",Tecnología de la Información,2692030,US7274931085,New York Stock Exchange Inc.
SATS,ECHOSTAR CORP CLASS A,Equity,0.57,36.07,"78,626.00","2,836,039.82","2,836,039.82",Tecnología de la Información,B2NC471,US2787681061,NASDAQ
EXTR,EXTREME NETWORKS INC,Equity,0.44,7.45,"292,174.00","2,176,696.30","2,176,696.30",Tecnología de la Información,2407052,US30226D1063,NASDAQ
ADTN,ADTRAN INC,Equity,0.38,14.17,"132,726.00","1,880,727.42","1,880,727.42",Tecnología de la Información,2052924,US00738A1060,NASDAQ
NTGR,NETGEAR INC,Equity,0.36,33.11,"54,714.00","1,811,580.54","1,811,580.54",Tecnología de la Información,2688363,US64111Q1040,NASDAQ
CNSL,CONSOLIDATED COMMUNICATIONS HOLDIN,Equity,0.36,10.62,"168,419.00","1,788,609.78","1,788,609.78",Comunicación,B07LSQ7,US2090341072,NASDAQ
USM,UNITED STATES CELLULAR CORP,Equity,0.33,47.42,"34,339.00","1,628,355.38","1,628,355.38",Comunicación,2918996,US9116841084,New York Stock Exchange Inc.
CBB,CINCINNATI BELL INC,Equity,0.29,9.99,"143,510.00","1,433,664.90","1,433,664.90",Comunicación,BD5CWW7,US1718715022,New York Stock Exchange Inc.
ATNI,ATN INTERNATIONAL INC,Equity,0.28,55.49,"25,019.00","1,388,304.31","1,388,304.31",Comunicación,BDC84D3,US00215F1075,NASDAQ
CMTL,COMTECH TELECOMMUNICATIONS CORP,Equity,0.28,21.55,"63,853.00","1,376,032.15","1,376,032.15",Tecnología de la Información,2215341,US2058262096,NASDAQ
GSAT,GLOBALSTAR VOTING INC,Equity,0.27,0.43,"3,149,503.00","1,353,026.49","1,353,026.49",Comunicación,B1GHPM8,US3789734080,Nyse Mkt Llc
ORBC,ORBCOMM INC,Equity,0.26,6.61,"198,318.00","1,310,881.98","1,310,881.98",Comunicación,B19FR01,US68555P1003,NASDAQ
CAMP,CALAMP CORP,Equity,0.25,12.39,"101,362.00","1,255,875.18","1,255,875.18",Tecnología de la Información,2164700,US1281261099,NASDAQ
SPOK,SPOK HOLDINGS INC,Equity,0.20,13.71,"73,631.00","1,009,481.01","1,009,481.01",Comunicación,BNZB473,US84863T1060,NASDAQ
QTNA,QUANTENNA COMMUNICATIONS INC,Equity,0.19,20.53,"45,651.00","937,215.03","937,215.03",Tecnología de la Información,BD3WGB6,US74766D1000,NASDAQ
FTR,FRONTIER COMMUNICATIONS CORP,Equity,0.17,2.21,"393,992.00","870,722.32","870,722.32",Comunicación,BF0HZC2,US35906A3068,NASDAQ
AAOI,APPLIED OPTOELECTRONICS INC,Equity,0.16,12.35,"63,655.00","786,139.25","786,139.25",Tecnología de la Información,BDW0D09,US03823U1025,NASDAQ
USD,USD CASH,Cash,-0.58,100.00,"-2,896,728.00","-2,896,728.36","-2,896,728.36",Efectivo y Derivados,--,--,--
