Years ,Horizon Return (%) 
1 Year ,7.93
2 Years ,4.85
3 Years ,10.78
4 Years ,14.63
5 Years ,14.76
6 Years ,13.33
7 Years ,14.5
8 Years ,13.64
9 Years ,10.26
10 Years ,9.11
11 Years ,10.17
12 Years ,10.11
13 Years ,10.11
14 Years ,10.1
15 Years ,8.76
16 Years ,6.48
17 Years ,3.07
18 Years ,10.18
19 Years ,24.12
20 Years ,22.26
21 Years ,26.18
22 Years ,33.63
23 Years ,33.83
24 Years ,29.68
25 Years ,28.2
26 Years ,25.68
27 Years ,24.13
28 Years ,21.46
29 Years ,19.99
30 Years ,18.56
